,gene_name,drug_name,database
0,AATK,Doxorubicin,CTD
1,AATK,Fulvestrant,CTD
2,ABCA1,Dasatinib,CTD
3,ABCA1,Docetaxel,CTD
4,ABCA1,Mitoxantrone,CTD
5,ABCA1,Tamoxifen,CTD
6,ABCA1,Temozolomide,CTD
7,ABCA1,Vincristine,CTD
8,ABCA1,Vorinostat,CTD
9,ABL1,AT13148,ChEMBL
10,ABL1,AZD1208,ChEMBL
11,ABL1,AZD2014,ChEMBL
12,ABL1,AZD5363,ChEMBL
13,ABL1,AZD5438,ChEMBL
14,ABL1,AZD5582,ChEMBL
15,ABL1,AZD6482,ChEMBL
16,ABL1,AZD7762,ChEMBL
17,ABL1,AZD8055,ChEMBL
18,ABL1,AZD8186,ChEMBL
19,ABL1,Afatinib,ChEMBL
20,ABL1,Afuresertib,ChEMBL
21,ABL1,Alisertib,"ChEMBL, DGIdb"
22,ABL1,Alpelisib,ChEMBL
23,ABL1,Axitinib,"ChEMBL, DGIdb"
24,ABL1,BI-2536,ChEMBL
25,ABL1,BMS-345541,ChEMBL
26,ABL1,BMS-754807,ChEMBL
27,ABL1,Bortezomib,CTD
28,ABL1,Buparlisib,ChEMBL
29,ABL1,Camptothecin,ChEMBL
30,ABL1,Cediranib,"ChEMBL, DGIdb"
31,ABL1,Cisplatin,CTD
32,ABL1,Crizotinib,"ChEMBL, DGIdb"
33,ABL1,Dabrafenib,ChEMBL
34,ABL1,Dactolisib,ChEMBL
35,ABL1,Dasatinib,"BioGrid, CTD, PharmaGKB"
36,ABL1,Dinaciclib,ChEMBL
37,ABL1,Doramapimod,ChEMBL
38,ABL1,Doxorubicin,CTD
39,ABL1,Entospletinib,ChEMBL
40,ABL1,Erlotinib,"ChEMBL, DGIdb"
41,ABL1,Foretinib,"ChEMBL, DGIdb"
42,ABL1,Fulvestrant,CTD
43,ABL1,GSK1904529A,ChEMBL
44,ABL1,GSK2578215A,ChEMBL
45,ABL1,GSK269962A,ChEMBL
46,ABL1,GSK343,ChEMBL
47,ABL1,GSK591,ChEMBL
48,ABL1,Gefitinib,ChEMBL
49,ABL1,I-BRD9,ChEMBL
50,ABL1,Ibrutinib,ChEMBL
51,ABL1,JQ1,ChEMBL
52,ABL1,KU-55933,ChEMBL
53,ABL1,LCL161,ChEMBL
54,ABL1,Lapatinib,ChEMBL
55,ABL1,Leflunomide,ChEMBL
56,ABL1,Linsitinib,ChEMBL
57,ABL1,MK-1775,ChEMBL
58,ABL1,MK-2206,ChEMBL
59,ABL1,MK-8776,ChEMBL
60,ABL1,NU7441,ChEMBL
61,ABL1,Nilotinib,"BioGrid, ChEMBL, DGIdb, PharmaGKB"
62,ABL1,OF-1,ChEMBL
63,ABL1,OSI-027,ChEMBL
