UniProt_ID	gene name
P46109	CRKL
Q13191	CBLB
P61769	B2M
P36897	TGFBR1
F1MRS1	Not Found
Q8TF05	PPP4R1
P41240	CSK
P08069	IGF1R
Q63767	Not Found
Q60974	Not Found
P12755	SKI
Q96ST3	SIN3A
P03259	Not Found
O76036	NCR1
O95944	NCR2
P14653	HOXB1
P42566	EPS15
P42567	Not Found
Q9Z0R4	Not Found
P39054	Not Found
P39053	Not Found
Q9WVE9	Not Found
F1PHV6	Not Found
Q62132	Not Found
P22681	CBL
Q99848	EBNA1BP2
P12904	Not Found
O00571	DDX3X
P27958	Not Found
"chebi:""CHEBI:15713"""	Not Found
"chebi:""CHEBI:15996"""	Not Found
"chebi:""CHEBI:16284"""	Not Found
"chebi:""CHEBI:15422"""	Not Found
"chebi:""CHEBI:16311"""	Not Found
"chebi:""CHEBI:17625"""	Not Found
"chebi:""CHEBI:16497"""	Not Found
"chebi:""CHEBI:17677"""	Not Found
Q9Y6Q6	TNFRSF11A
O95487	SEC24B
P53992	SEC24C
Q15436	SEC23A
P63272	SUPT4H1
O00267	SUPT5H
P43694	GATA4
P52952	NKX2-5
Q60749	Not Found
P10686	Not Found
P39688	Not Found
Q60631	Not Found
Q9WU01	Not Found
P20936	RASA1
Q9R226	Not Found
Q12824	SMARCB1
P51532	SMARCA4
P62826	RAN
P03255	Not Found
P03129	Not Found
Q01860	POU5F1
P31751	AKT2
Q16760	DGKD
P11151	Not Found
"chebi:""CHEBI:28304"""	Not Found
P30533	LRPAP1
"chebi:""CHEBI:7542"""	Not Found
Q99523	SORT1
Q6PHU5	Not Found
P42345	MTOR
Q16254	E2F4
Q90998	Not Found
Q06900	Not Found
Q90999	Not Found
P08631	HCK
P22682	Not Found
P49768	PSEN1
Q99569	PKP4
Q9Y4K3	TRAF6
Q99558	MAP3K14
O15111	CHUK
O95163	IKBKAP
P68400	CSNK2A1
P67870	CSNK2B
P51812	RPS6KA3
O14519	CDK2AP1
P10398	ARAF
P46777	RPL5
Q9UNN5	FAF1
P48995	TRPC1
Q13563	PKD2
P98161	PKD1
Q8IWL2	SFTPA1
Q9UGM3	DMBT1
O43524	FOXO3
P31749	AKT1
Q66677	Not Found
O95999	BCL10
Q9Z0H7	Not Found
Q07955	SRSF1
Q96SB4	SRPK1
O54781	Not Found
O70551	Not Found
Q00403	GTF2B
Q92793	CREBBP
Q00987	MDM2
Q99418	CYTH2
Q9NP97	DYNLRB1
O54918	Not Found
Q07817	BCL2L1
P10415	BCL2
P42768	WAS
Q15370	TCEB2
P16333	NCK1
Q497A5	Not Found
P21575	Not Found
Q05193	DNM1
Q06124	PTPN11
P20138	CD33
P29350	PTPN6
O14727	APAF1
P99999	CYCS
A0A8C0SIL9	Not Found
Q8BN78	Not Found
P30999	Not Found
O60716	CTNND1
P19785	Not Found
Q9Y3P8	SIT1
Q63538	Not Found
Q13424	SNTA1
Q03135	CAV1
O75955	FLOT1
Q63524	Not Found
G3HFR3	Not Found
Q28735	Not Found
P05112	IL4
P56524	HDAC4
Q13547	HDAC1
O15379	HDAC3
Q9UQL6	HDAC5
P62805	HIST1H4A
Q9UBN7	HDAC6
Q15223	PVRL1
Q92692	PVRL2
P03070	Not Found
Q92769	HDAC2
P06400	RB1
P62993	GRB2
Q13094	LCP2
P00533	EGFR
Q16836	HADH
Q14790	CASP8
Q13158	FADD
O43557	TNFSF14
P06239	LCK
P26662	Not Found
P37840	SNCA
Q9Y6H5	SNCAIP
P37377	Not Found
Q99966	CITED1
P05412	JUN
P15336	ATF2
Q5EG65	Not Found
P02340	Not Found
P55211	CASP9
O43353	RIPK2
Q09472	EP300
P24941	CDK2
P24864	CCNE1
Q13263	TRIM28
P23198	Not Found
O14640	DVL1
O70239	Not Found
Q92997	DVL3
P54259	ATN1
P54258	Not Found
Q9UQB8	BAIAP2
P09619	PDGFRB
P26664	Not Found
P52565	ARHGDIA
Q8N474	SFRP1
P09544	WNT2
O60353	FZD6
P15498	VAV1
Q6ZTM8	Not Found
Q14974	KPNB1
Q9Y3B3	TMED7
P49755	TMED10
O60921	HUS1
Q99638	RAD9A
O60671	RAD1
P37275	ZEB1
P28166	Not Found
P03372	ESR1
Q99623	PHB2
P62873	GNB1
P60953	CDC42
P10275	AR
P55072	VCP
Q01853	Not Found
P06789	Not Found
P03116	Not Found
P04014	Not Found
Q13045	FLII
Q9Y608	LRRFIP2
P49810	PSEN2
Q99828	CIB1
P48058	GRIA4
P17612	PRKACA
P08575	PTPRC
Q8CCI5	Not Found
Q9CQJ4	Not Found
O35730	Not Found
P30658	Not Found
P25490	YY1
P03122	Not Found
Q16637	SMN1
P62493	Not Found
Q92830	KAT2A
Q92831	KAT2B
P20226	TBP
Q14191	WRN
Q15365	PCBP1
P11940	PABPC1
Q15366	PCBP2
P60896	SHFM1
P51587	BRCA2
O15360	FANCA
Q03060	CREM
P49427	CDC34
Q99640	PKMYT1
P06493	CDK1
P14635	CCNB1
P06463	Not Found
P03126	Not Found
P04019	Not Found
P10721	KIT
P27986	PIK3R1
P02545	LMNA
P03247	Not Found
Q16611	BAK1
Q12982	BNIP2
O60238	BNIP3L
Q12983	BNIP3
P07948	LYN
P29353	SHC1
P31994	FCGR2B
Q04759	PRKCQ
P06241	FYN
Q05655	PRKCD
Q92783	STAM
O95630	STAMBP
Q9Y616	IRAK3
Q99836	MYD88
O43187	IRAK2
P51617	IRAK1
P63146	UBE2B
P69905	HBA1
P19525	EIF2AK2
Q9XSK8	Not Found
Q17446	Not Found
P23708	Not Found
P08047	SP1
Q01714	Not Found
P18576	Not Found
Q8NI08	NCOA7
P27540	ARNT
Q9Y618	NCOR2
P35869	AHR
Q92729	PTPRU
P17301	ITGA2
Q08722	CD47
P60033	CD81
P06729	CD2
Q61097	Not Found
P31946	YWHAB
P27361	MAPK3
Q02750	MAP2K1
P36507	MAP2K2
P13489	RNH1
P03950	ANG
P61823	Not Found
P28482	MAPK1
P35236	PTPN7
Q99665	IL12RB2
P63085	Not Found
Q16539	MAPK14
O14543	SOCS3
O60674	JAK2
"chebi:""CHEBI:26667"""	Not Found
P41159	LEP
P25911	Not Found
P49710	Not Found
P81122	Not Found
Q64355	Not Found
Q61140	Not Found
O70469	Not Found
Q91YX7	Not Found
O60496	DOK2
P10321	HLA-C
Q9WV48	Not Found
Q9QX74	Not Found
Q9BYB0	SHANK3
P97836	Not Found
P78352	DLG4
Q9JLU4	Not Found
Q03692	COL10A1
P30101	PDIA3
P55196	MLLT4
O14807	MRAS
P35244	RPA3
P49106	Not Found
P46077	Not Found
P42644	Not Found
Q96300	Not Found
Q01525	Not Found
P62258	YWHAE
P28148	Not Found
Q16594	TAF9
Q08999	RBL2
O35430	Not Found
Q02294	Not Found
Q00975	CACNA1B
P11362	FGFR1
P70196	Not Found
Q9QZH6	Not Found
P53349	Not Found
Q9U6M0	Not Found
Q05048	CSTF1
Q99728	BARD1
O95602	POLR1A
P12004	PCNA
P33240	CSTF2
P38398	BRCA1
P32927	CSF2RB
P35436	Not Found
Q00960	Not Found
Q00961	Not Found
O54824	Not Found
P35561	Not Found
P49655	Not Found
Q62897	Not Found
Q01815	Not Found
Q01098	Not Found
Q62645	Not Found
Q99712	KCNJ15
P49759	CLK1
P49760	CLK2
Q92837	FRAT1
O15169	AXIN1
P49841	GSK3B
Q02248	Not Found
Q13144	EIF2B5
P06462	Not Found
Q01831	XPC
P54727	RAD23B
P55036	PSMD4
P54725	RAD23A
P01138	NGF
P09038	FGF2
P61020	RAB5B
P20339	RAB5A
Q15075	EEA1
P02652	APOA2
Q04206	RELA
Q04864	REL
Q15653	NFKBIB
P19838	NFKB1
Q13625	TP53BP2
Q8IZP0	ABI1
Q07889	SOS1
P06213	INSR
P60228	EIF3E
Q99613	EIF3C
P14373	TRIM27
Q63635	Not Found
P01308	INS
P19814	Not Found
Q9JJ50	Not Found
P07174	Not Found
Q13114	TRAF3
Q12933	TRAF2
Q9BUZ4	TRAF4
P03230	Not Found
P25942	CD40
P20334	Not Found
P43489	TNFRSF4
P28908	TNFRSF8
Q9QXM1	Not Found
P04637	TP53
P51178	PLCD1
O14920	IKBKB
Q14289	PTK2B
Q02858	Not Found
Q03160	Not Found
Q14451	GRB7
Q61831	Not Found
Q91Y86	Not Found
Q9ESN9	Not Found
P47809	Not Found
P31938	Not Found
O08696	Not Found
Q08050	FOXM1
P29597	TYK2
P31947	SFN
Q64512	Not Found
O88665	Not Found
Q13257	MAD2L1
Q9UI95	MAD2L2
Q9Y297	BTRC
Q9UKT5	FBXO4
P63209	Not Found
Q9UKT8	FBXW2
P56817	BACE1
Q13444	ADAM15
Q96R06	SPAG5
Q99962	SH3GL2
Q9UKS6	PACSIN3
O88839	Not Found
Q99JB8	Not Found
Q62420	Not Found
Q13443	ADAM9
P50591	TNFSF10
P56945	BCAR1
O43426	SYNJ1
P49418	AMPH
Q99961	SH3GL1
P50570	DNM2
Q9UQ16	DNM3
Q9Y2T3	GDA
Q92796	DLG3
P17948	FLT1
Q9P0L0	VAPA
Q92963	RIT1
P70425	Not Found
Q12967	RALGDS
P46939	UTRN
P11532	DMD
Q86UL8	MAGI2
Q9Y4G8	RAPGEF2
Q13291	SLAMF1
O60880	SH2D1A
O14763	TNFRSF10B
P33897	ABCD1
Q61285	Not Found
P28288	ABCD3
P48410	Not Found
Q00597	FANCC
Q9QXK9	Not Found
P06240	Not Found
Q9NP31	SH2D2A
Q9QUN3	Not Found
Q8WV28	BLNK
Q03526	Not Found
P43403	ZAP70
Q9Y6I3	EPN1
Q9UP38	FZD1
Q05086	UBE3A
O43896	KIF1C
Q13153	PAK1
P53667	LIMK1
P14781	Not Found
P18433	PTPRA
O00623	PEX12
P50542	PEX5
O14745	SLC9A3R1
P46937	YAP1
P07947	YES1
P08151	GLI1
Q9UMX1	SUFU
P10071	GLI3
P05067	APP
P04040	CAT
P36711	Not Found
O60869	EDF1
Q04752	Not Found
P18846	ATF1
Q9GZY0	NXF2
P68509	Not Found
O15117	FYB
Q99068	Not Found
P98155	VLDLR
Q60841	Not Found
Q924X6	Not Found
P21860	ERBB3
P04626	ERBB2
Q15303	ERBB4
P48059	LIMS1
O55222	Not Found
Q9UHD2	TBK1
Q9WUN2	Not Found
P70347	Not Found
P05627	Not Found
Q9UKI8	TLK1
P04198	MYCN
P01106	MYC
Q15256	PTPRR
P42229	STAT5A
P51692	STAT5B
Q86TP1	PRUNE
P15531	NME1
P13612	ITGA4
P49023	PXN
P05556	ITGB1
G3GU78	Not Found
O43294	TGFB1I1
O60711	LPXN
G5EDB9	Not Found
P62834	RAP1A
O15151	MDM4
P27348	YWHAQ
Q14573	ITPR3
Q13507	TRPC3
P52594	AGFG1
O95405	ZFYVE9
P28562	DUSP1
P21802	FGFR2
P03120	Not Found
P61586	RHOA
Q07812	BAX
Q07813	Not Found
P51610	HCFC1
Q9UIK4	DAPK2
Q14315	FLNC
Q13326	SGCG
Q92629	SGCD
P08107	HSPA1A
P20783	NTF3
P34130	NTF4
P23560	BDNF
O76003	GLRX3
Q9NZN8	CNOT2
O95628	CNOT4
O75175	CNOT3
Q9UFF9	CNOT8
P31384	Not Found
P04632	CAPNS1
ensembl:ENSG00000271503	Not Found
Q01113	IL9R
P63104	YWHAZ
O92972	Not Found
Q5VT25	CDC42BPA
P29311	Not Found
P35813	PPM1A
P25963	NFKBIA
P63208	SKP1
Q13616	CUL1
Q9UKB1	FBXW11
Q9UPY8	MAPRE3
O95996	APC2
Q15691	MAPRE1
Q14192	FHL2
P01637	Not Found
P23246	SFPQ
O60264	SMARCA5
Q05397	PTK2
P29317	EPHA2
P15153	RAC2
P20659	Not Found
Q03164	MLL
Q9VW15	Not Found
P35570	Not Found
P18031	PTPN1
P19235	EPOR
Q9UKJ1	PILRA
Q9Y5S9	RBM8A
P61326	MAGOH
Q8BLR7	Not Found
Q92730	RND1
Q9UBU9	NXF1
P78406	RAE1
P35658	NUP214
P37198	NUP62
P49790	NUP153
Q9BUJ2	HNRNPUL1
P07830	Not Found
P35240	NF2
P0DPB3	Not Found
P0DPB4	Not Found
Q9UER7	DAXX
Q13976	PRKG1
Q9JMB0	Not Found
P31696	Not Found
O00468	AGRN
Q04631	Not Found
Q06547	GABPB1
O43889	CREB3
Q96B97	SH3KBP1
Q9WVQ1	Not Found
P38444	Not Found
P36544	CHRNA7
ensembl:ENSG00000102081	Not Found
P14921	ETS1
Q9Y2T1	AXIN2
P62714	PPP2CB
P12931	SRC
P19793	RXRA
Q03392	Not Found
P30261	Not Found
P38936	CDKN1A
P47110	Not Found
P87324	Not Found
P45973	CBX5
P46100	ATRX
P10914	IRF1
P06790	Not Found
Q6ZRS2	SRCAP
P20963	CD247
P16284	PECAM1
P40855	PEX19
O96011	PEX11B
O43808	SLC25A17
P49024	Not Found
P46108	CRK
Q9UQC2	GAB2
P26954	Not Found
P63000	RAC1
Q9JKS6	Not Found
P63011	Not Found
Q9UI14	RABAC1
Q9Z0S9	Not Found
O35394	Not Found
P07825	Not Found
Q06330	RBPJ
Q13573	SNW1
Q22836	Not Found
P46531	NOTCH1
P30305	CDC25B
Q04917	YWHAH
Q15811	ITSN1
Q9Y6D5	ARFGEF2
O96017	CHEK2
P62315	Not Found
P57678	GEMIN4
P62303	Not Found
P62317	Not Found
Q9UHI6	DDX20
P62320	Not Found
P29066	Not Found
P55085	F2RL1
P11345	Not Found
Q9WUD9	Not Found
Q13425	SNTB2
Q15700	DLG2
P18054	ALOX12
P16144	ITGB4
P13647	KRT5
Q60680	Not Found
P51946	CCNH
P19447	ERCC3
Q60520	Not Found
Q08705	Not Found
Q15326	ZMYND11
Q06413	MEF2C
Q02078	MEF2A
Q14814	MEF2D
Q9Z2V6	Not Found
P48052	CPA2
P43351	RAD52
P12694	BCKDHA
Q9UMZ2	SYNRG
Q9UJY4	GGA2
P84080	Not Found
Q9UJY5	GGA1
P51432	Not Found
Q15599	SLC9A3R2
Q61625	Not Found
Q12879	GRIN2A
Q9WU22	Not Found
Q07666	KHDRBS1
Q99873	PRMT1
O75554	WBP4
Q5TCQ9	MAGI3
O14514	BAI1
Q13224	GRIN2B
P60484	PTEN
Q07157	TJP1
O97758	Not Found
P30626	SRI
Q9JIL3	Not Found
O70467	Not Found
Q12906	ILF3
O75771	RAD51D
P25454	Not Found
O43543	XRCC2
P15923	TCF3
Q15672	TWIST1
P50463	Not Found
P11277	SPTB
P35569	Not Found
P15208	Not Found
Q62910	Not Found
Q99963	SH3GL3
"chebi:""CHEBI:73001"""	Not Found
Q8WTV0	SCARB1
Q6GTX8	LAIR1
P05107	ITGB2
Q9UNS2	COPS3
Q9Y4J8	DTNA
Q14118	DAG1
P98082	DAB2
P98164	LRP2
P98158	Not Found
P06730	EIF4E
P30291	WEE1
Q16531	DDB1
"chebi:""CHEBI:48828"""	Not Found
Q96KB5	PBK
Q12959	DLG1
P02686	MBP
O08686	Not Found
P16951	Not Found
Q9NY61	AATF
P52435	POLR2J
P13010	XRCC5
P35609	ACTN2
Q61824	Not Found
Q8TDR0	TRAF3IP1
O43823	AKAP8
Q92643	PIGK
O00410	IPO5
O14836	TNFRSF13B
Q9Y275	TNFSF13B
Q15942	ZYX
P14923	JUP
Q08481	Not Found
Q02156	PRKCE
P15924	DSP
Q9NR33	POLE4
Q9NRF9	POLE3
P56282	POLE2
Q07864	POLE
O00750	PIK3C2B
Q9NRA1	PDGFC
P16234	PDGFRA
Q9NRP7	STK36
P62136	PPP1CA
P41236	PPP1R2
Q13077	TRAF1
Q9NS68	TNFRSF19
P28827	PTPRM
O43561	LAT
P19174	PLCG1
P48509	CD151
P22460	KCNA5
Q9H3M7	TXNIP
P10599	TXN
P06332	Not Found
P51681	CCR5
P61073	CXCR4
Q02447	SP3
P10747	CD28
Q9Y6C2	EMILIN1
P42858	HTT
