index,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Gefitinib,Navitoclax,Vorinostat,Nilotinib,Olaparib,Axitinib,AZD7762,SB216763,KU-55933,Afatinib,Staurosporine,PLX-4720,NU7441,Doramapimod,Wee1 Inhibitor,Nutlin-3a (-),Mirin,PD173074,ZM447439,Alisertib,RO-3306,MK-2206,Palbociclib,Dactolisib,Pictilisib,AZD8055,PD0325901,Obatoclax Mesylate,5-Fluorouracil,Dasatinib,Paclitaxel,Crizotinib,Rapamycin,Sorafenib,BI-2536,Irinotecan,Oxaliplatin,BMS-536924,GSK1904529A,Tozasertib,PF-4708671,PRIMA-1MET,Erlotinib,Niraparib,MK-1775,Dinaciclib,Gemcitabine,Bortezomib,GSK269962A,SB505124,Tamoxifen,Fulvestrant,EPZ004777,YK-4-279,Daporinad,BMS-345541,AZ960,Talazoparib,XAV939,Trametinib,Dabrafenib,Temozolomide,AZD5438,IAP_5620,AZD2014,AZD1208,AZD1332,Ruxolitinib,Linsitinib,Epirubicin,Cyclophosphamide,Pevonedistat,Sapitinib,Uprosertib,LCL161,Lapatinib,Luminespib,Alpelisib,Taselisib,EPZ5676,SCH772984,IWP-2,Leflunomide,Entinostat,OSI-027,LGK974,VE-822,WZ4003,CZC24832,AZD5582,GSK2606414,PFI3,PCI-34051,Wnt-C59,I-BET-762,RVX-208,OTX015,GSK343,ML323,Entospletinib,PRT062607,Ribociclib,AGI-6780,Picolinici-acid,AZD5153,CDK9_5576,CDK9_5038,Eg5_9814,ERK_2440,ERK_6604,IRAK4_4710,JAK1_8709,AZD5991,PAK_5339,TAF1_5496,ULK1_4989,VSP34_8731,Selumetinib,IGF1R_3801,JAK_8517,AZD4547,Ibrutinib,Zoledronate,Acetalax,Carmustine,Topotecan,Teniposide,Mitoxantrone,Dactinomycin,Fludarabine,Nelarabine,Vincristine,Podophyllotoxin bromide,Dihydrorotenone,Gallibiscoquinazole,Elephantin,Sinularin,Sabutoclax,LY2109761,OF-1,MN-64,KRAS (G12C) Inhibitor-12,MG-132,BDP-00009066,Buparlisib,Ulixertinib,Venetoclax,ABT737,Afuresertib,AGI-5198,AZD3759,AZD5363,AZD6738,AZD8186,Osimertinib,Cediranib,Ipatasertib,GDC0810,GNE-317,GSK2578215A,I-BRD9,Telomerase Inhibitor IX,MIRA-1,NVP-ADW742,P22077,Savolitinib,UMI-77,WIKI4,Sepantronium bromide,MIM1,WEHI-539,BPD-00008900,Foretinib,BIBR-1532,Pyridostatin,AMG-319,MK-8776,Vinorelbine,VX-11e,LJI308,AZ6102,GSK591,VE821,AZD6482,AT13148,BMS-754807,JQ1,Cetuximab,Doxorubicin,Etoposide,Bleomycin,Bicalutamide,Bleomycin (50 uM),Pemetrexed,AICA Ribonucleotide
X-1004,0.7794261,0.67264915,0.82009584,0.7341654,0.5941233,0.8747878,0.63452005,0.6513456,0.8444566,0.84830093,0.7825315,0.6338469,0.8588666,0.85037774,0.7225763,0.40268457,0.86200607,0.78375715,0.858353,0.71538234,0.8491154,0.7592289,0.89458555,0.7438504,0.7340453,0.7541147,0.77034944,0.8063953,0.7553488,0.6751655,0.7273932,0.83559245,0.7042862,0.8259067,0.803378,0.8129073,0.8718454,0.8230534,0.75167954,0.56532615,0.7552016,0.81504875,0.7769171,0.87425965,0.8000542,0.83665687,0.79358554,0.8470152,0.83796495,0.6135846,0.49401942,0.68805444,0.71736014,0.7913288,0.69276565,0.8443732,0.8830712,0.88367254,0.6945926,0.58465457,0.81745666,0.7304181,0.75403166,0.883034,0.78800464,0.85965735,0.8907049,0.73037505,0.8148422,0.7082715,0.8919885,0.84636396,0.88746893,0.83867127,0.7110922,0.89459205,0.61679834,0.80685747,0.7285388,0.85983384,0.78009933,0.6290015,0.84597915,0.71223724,0.9083949,0.8382801,0.88936615,0.7871799,0.70865256,0.8278689,0.8569306,0.81223756,0.8530486,0.8831196,0.68391657,0.84624475,0.9093189,0.8452471,0.8633015,0.7780119,0.8805355,0.72639394,0.87454134,0.84298027,0.83199424,0.814237,0.8561279,0.85778725,0.8812359,0.694637,0.49773437,0.417946,0.64443517,0.7764561,0.81814134,0.8688852,0.8369677,0.65039635,0.6552671,0.80527705,0.5853891,0.64977103,0.8139757,0.70436263,0.7702761,0.87189424,0.8324257,0.88570815,0.7011963,0.87253606,0.68882596,0.6870668,0.71069086,0.55387205,0.80360746,0.89954484,0.4333079,0.67156005,0.7449987,0.87334025,0.7673501,0.8591826,0.4637717,0.88777316,0.84343034,0.8802735,0.80994916,0.5134265,0.78735435,0.678181,0.80983,0.81857026,0.66681516,0.7095008,0.8762505,0.8801934,0.75128204,0.7371796,0.7948491,0.83604,0.7460563,0.77631605,0.87485474,0.59933144,0.88674515,0.8627625,0.6115815,0.8903794,0.78286886,0.85527235,0.8599175,0.79297197,0.8383964,0.27527472,0.828089,0.7867585,0.88525665,0.6753404,0.8806352,0.816389,0.8799015,0.8235597,0.63548225,0.78865564,0.8882449,0.7755069,0.8773604,0.83068717,0.8125099,0.8222341,0.64311826,0.7263882,0.8633419,0.5218451,0.5874533,0.5443399,0.8834116,0.66315216,0.80605775,0.71717805
X-1008,0.8299101,0.7146497,0.8546811,0.81518483,0.64132917,0.89530873,0.69103736,0.703464,0.8931738,0.88004035,0.82744753,0.6668916,0.90435845,0.8884253,0.75193805,0.43167531,0.89245325,0.8289027,0.8978656,0.75347745,0.88197935,0.7938158,0.92254716,0.8055311,0.801933,0.8342261,0.80967873,0.84914094,0.7901802,0.70842576,0.79834056,0.8730144,0.746131,0.8555993,0.8215373,0.8591624,0.90238154,0.85485077,0.8081096,0.59731835,0.7941327,0.8561543,0.8122149,0.9022029,0.8587149,0.8700708,0.8343993,0.86304504,0.8772746,0.66489416,0.524963,0.7549484,0.7447983,0.85106885,0.6880314,0.8590199,0.90733504,0.90839165,0.7653688,0.6621466,0.84509397,0.77833474,0.8092648,0.90767807,0.844957,0.88657796,0.91059977,0.7772527,0.8527615,0.7277732,0.91569036,0.86738724,0.8995151,0.87235147,0.76738685,0.90973276,0.6954323,0.8338723,0.7654249,0.8869136,0.8131758,0.68711257,0.8660491,0.7578529,0.9282417,0.8741447,0.91321623,0.81631094,0.76291156,0.84081846,0.8865733,0.8528612,0.8703104,0.9099953,0.70199555,0.8892517,0.9239417,0.8873653,0.8969329,0.8170037,0.90061224,0.7851475,0.8961941,0.8686423,0.869797,0.85775596,0.90385604,0.88288707,0.8975688,0.75834626,0.5430151,0.46047062,0.70877045,0.80766886,0.8548844,0.8935356,0.86211634,0.73858404,0.68406844,0.85187525,0.6145571,0.665911,0.8600444,0.7342647,0.80057085,0.9094819,0.86812776,0.9097086,0.7318415,0.91166055,0.72893983,0.7454803,0.76795286,0.61902076,0.8505188,0.914672,0.55663675,0.70800734,0.7723137,0.89006144,0.79801315,0.900153,0.5148723,0.91407233,0.8685548,0.8973918,0.845981,0.5360916,0.79925656,0.7067615,0.8344751,0.8670262,0.72794896,0.7455897,0.90006477,0.89954895,0.7745433,0.78823614,0.8171509,0.8469538,0.7617651,0.8123117,0.89660895,0.63358873,0.8997746,0.8918152,0.64307487,0.91748697,0.81207937,0.88640535,0.88459563,0.8177804,0.873409,0.24172592,0.8696869,0.82756025,0.89810324,0.7182953,0.9072682,0.82518584,0.90619504,0.84307146,0.70549905,0.82532305,0.915863,0.79762495,0.8949768,0.87249064,0.8490653,0.84053606,0.6830663,0.8079535,0.89261,0.5568462,0.6580552,0.57572407,0.9061961,0.6781309,0.85551226,0.76552445
X-1027,0.7922028,0.6600322,0.85656935,0.7786283,0.57879686,0.8731365,0.6894912,0.69019055,0.8573929,0.8794167,0.7602948,0.67666036,0.88301057,0.85337096,0.731729,0.427131,0.87018234,0.7694265,0.8465103,0.75220644,0.8597489,0.7686002,0.90239793,0.76634765,0.7941865,0.7535738,0.7838957,0.8468127,0.7623457,0.7136009,0.7338962,0.8257561,0.74618536,0.8329574,0.8222403,0.83293825,0.8794825,0.8524029,0.7600281,0.44488794,0.8337909,0.83918464,0.7450501,0.8977138,0.79105157,0.81875074,0.82879424,0.8477079,0.85909706,0.6070403,0.51380366,0.6782103,0.73637843,0.7446404,0.7830366,0.86847717,0.8853037,0.9015176,0.7405237,0.61306685,0.82128084,0.77540666,0.812119,0.89766866,0.7010602,0.8644319,0.88509697,0.73194236,0.86304975,0.73862916,0.89899087,0.82765776,0.8998829,0.8659471,0.7272615,0.9159464,0.66159844,0.85243803,0.7840658,0.89750254,0.7866601,0.69661987,0.86443985,0.7376668,0.91295975,0.7507099,0.8931506,0.80439466,0.736097,0.89800733,0.87051153,0.8435614,0.8544953,0.8907171,0.7510689,0.85003823,0.91126084,0.864299,0.8695294,0.7981788,0.89026046,0.7278077,0.9112363,0.86955124,0.85622823,0.8375204,0.84230286,0.8819781,0.8997404,0.68290085,0.498347,0.4831565,0.64950806,0.775249,0.7930402,0.87835795,0.86670476,0.6976525,0.6796384,0.8212908,0.6758541,0.6509559,0.8069609,0.73539597,0.815691,0.86947435,0.8305775,0.9092848,0.77204204,0.8995268,0.7390169,0.7372845,0.75191957,0.5975777,0.8465655,0.8909059,0.4800142,0.72594863,0.7683628,0.9068846,0.79934335,0.88035995,0.5144956,0.896958,0.8664813,0.89992243,0.84326583,0.53163385,0.7893961,0.7064738,0.8078666,0.82460684,0.70869994,0.76970464,0.8802712,0.8744995,0.7972354,0.7520227,0.8091842,0.8500856,0.7703896,0.80031526,0.9127594,0.6287798,0.89275926,0.8670591,0.6091698,0.9154941,0.794578,0.8755214,0.8876334,0.8126014,0.8519955,0.31369832,0.8645755,0.8401429,0.88452715,0.65667444,0.8984008,0.84645736,0.88588333,0.83999926,0.6728143,0.78402686,0.894176,0.8110218,0.8980122,0.85050845,0.8107489,0.8459351,0.7130977,0.72478086,0.8823015,0.5420541,0.6355225,0.56998557,0.90440077,0.6768364,0.8218844,0.7614294
X-1095,0.7406777,0.6430372,0.80544937,0.72014993,0.57705766,0.83504987,0.63325655,0.6571859,0.82273436,0.8461078,0.70648986,0.6595366,0.84789395,0.81628954,0.7000143,0.47980654,0.8414686,0.7068326,0.790505,0.7280934,0.81969213,0.73694396,0.86475694,0.73182863,0.7430088,0.71393657,0.745264,0.78992045,0.7332769,0.69733965,0.75494194,0.75629723,0.6908229,0.77825767,0.7713774,0.8064984,0.83214056,0.81825376,0.73627996,0.52615684,0.78568643,0.7857563,0.70284027,0.843201,0.7198078,0.7494325,0.787812,0.81894934,0.8168104,0.59310126,0.51698387,0.65443003,0.73741806,0.7272653,0.7289798,0.80973977,0.8450496,0.86507857,0.7018201,0.6101935,0.7931537,0.7333095,0.790529,0.8397333,0.58496237,0.81105477,0.83589125,0.7062073,0.84102684,0.68996066,0.8655033,0.78473765,0.84702927,0.8084839,0.7004367,0.86586326,0.6744294,0.8097393,0.753566,0.8507143,0.7540867,0.66012174,0.81097376,0.696687,0.87537503,0.66677934,0.8585372,0.7867186,0.71493936,0.85540503,0.8231676,0.80387664,0.8204566,0.84161013,0.7267301,0.8055755,0.8602054,0.8211463,0.80070305,0.7510561,0.83883363,0.69028765,0.8678495,0.8105352,0.81080323,0.7827162,0.79669595,0.8613356,0.8512704,0.65639657,0.50930196,0.48394737,0.66216177,0.7330127,0.7214212,0.8359403,0.82125807,0.70922095,0.65454316,0.7844304,0.6985402,0.63032645,0.7357719,0.67050207,0.7761355,0.8335209,0.77799165,0.87098646,0.7195991,0.8613819,0.7069832,0.6889886,0.7237986,0.588877,0.80704534,0.8592628,0.50357276,0.70892835,0.7543613,0.87889147,0.7653473,0.8438648,0.54164356,0.8574211,0.81493354,0.8567382,0.8055603,0.4905954,0.74066216,0.6804436,0.7380548,0.7961742,0.6636867,0.7411161,0.832602,0.8394865,0.76920664,0.7224467,0.77440584,0.80697036,0.7201617,0.77364707,0.86711866,0.5998686,0.8586471,0.8200113,0.61272395,0.874029,0.75480723,0.8476186,0.84411097,0.7672487,0.8088717,0.35037997,0.82918555,0.78683066,0.846438,0.61112547,0.85913104,0.80924714,0.8442547,0.80252105,0.653557,0.6978692,0.85582113,0.7723166,0.85883385,0.8106521,0.74873686,0.8161144,0.55658025,0.68920577,0.82947236,0.53255635,0.6302719,0.54769886,0.8667516,0.65829206,0.77277654,0.72594184
X-1119,0.7870437,0.67662966,0.87066865,0.797442,0.60996896,0.85841334,0.69273704,0.7031288,0.87507516,0.8948553,0.7609095,0.6723716,0.88529676,0.85887456,0.7079888,0.47579402,0.8764237,0.7570615,0.8484114,0.77152085,0.8690437,0.76343286,0.90756416,0.79185945,0.7962428,0.76802796,0.8036243,0.837605,0.76994646,0.71328795,0.7828374,0.8066573,0.71524477,0.8189028,0.7854874,0.8418312,0.8707602,0.84582686,0.78390783,0.5892313,0.82710785,0.8466027,0.73791885,0.87208235,0.77926636,0.8081691,0.83573097,0.8478253,0.8674235,0.6296897,0.53373843,0.6914669,0.7487982,0.77416766,0.7584163,0.84640336,0.8962973,0.8941975,0.7536457,0.67842436,0.8258555,0.78782636,0.8292533,0.8919351,0.6378812,0.85696274,0.8910857,0.75077087,0.8926407,0.7330325,0.90329766,0.8185839,0.8887624,0.85798997,0.7358248,0.895076,0.68977004,0.8052538,0.80488265,0.8906174,0.78743887,0.6785799,0.84347427,0.7062419,0.90534395,0.6928751,0.888746,0.8085953,0.7727313,0.89361405,0.8623472,0.85573304,0.8490843,0.8788825,0.7525172,0.8268196,0.89987487,0.88047624,0.8606816,0.8115698,0.8805196,0.75410736,0.9027417,0.85452646,0.8521206,0.8189207,0.8500368,0.89111054,0.88561964,0.7133867,0.5460068,0.4871663,0.69482756,0.7559917,0.7743037,0.87526137,0.8635968,0.7839582,0.6919886,0.839181,0.668921,0.6557639,0.7714544,0.72176343,0.81436324,0.8655569,0.82516265,0.89986664,0.72906077,0.9000728,0.7252446,0.7507368,0.76021993,0.60596913,0.8441037,0.8993231,0.5238054,0.74160886,0.7901802,0.90000814,0.81193453,0.8745463,0.56630087,0.90857893,0.85123825,0.87641114,0.8555447,0.54774266,0.76903343,0.709151,0.7557842,0.8478372,0.72838,0.77156883,0.8836187,0.87276804,0.80454713,0.752685,0.7990115,0.8348203,0.76217544,0.8043212,0.90009177,0.6141337,0.8930764,0.85936767,0.6326593,0.90888304,0.7971988,0.89114785,0.8742684,0.81087583,0.8376967,0.3086461,0.87696433,0.8311286,0.88041735,0.64326173,0.88955045,0.8423056,0.8801649,0.8461467,0.6928649,0.7337839,0.89674,0.7947399,0.89382315,0.85623765,0.77633685,0.8601864,0.6881096,0.79390216,0.85299253,0.52369577,0.668187,0.5478212,0.9002639,0.6332468,0.83406454,0.7472537
X-1156,0.79538184,0.6651776,0.8585524,0.8107502,0.6022232,0.91123194,0.7351667,0.70957506,0.903264,0.8839314,0.778416,0.62402934,0.8636703,0.85246444,0.8205621,0.43205354,0.89768755,0.7590787,0.83919656,0.7677827,0.8652186,0.8025019,0.9152954,0.7570214,0.7777189,0.7481754,0.83986646,0.8767706,0.7815249,0.73105586,0.7332871,0.85015917,0.73068184,0.8545845,0.8531156,0.8793073,0.9078276,0.8803493,0.8280144,0.45820522,0.7783307,0.85733134,0.7735286,0.8959941,0.759245,0.8139916,0.8292012,0.8986031,0.8768189,0.6527569,0.50241584,0.6779699,0.76646364,0.79835504,0.7078805,0.8776103,0.9218382,0.91765887,0.73006165,0.6105461,0.839825,0.7329116,0.7652509,0.9040219,0.7575803,0.8467753,0.9026753,0.7731151,0.8973331,0.737005,0.92502093,0.8353288,0.91408366,0.8594807,0.6969127,0.9281781,0.6530897,0.9036534,0.8341185,0.90659106,0.86408013,0.6154047,0.87557054,0.78258586,0.93728584,0.82634443,0.91509145,0.83376384,0.7653576,0.90167665,0.8870308,0.87258565,0.8596401,0.9191237,0.74303573,0.8852003,0.92137575,0.8996284,0.8971683,0.8394223,0.92383873,0.7888246,0.9182445,0.8799561,0.867391,0.84347516,0.8393892,0.8960675,0.9246388,0.73725486,0.51796526,0.44597122,0.6993018,0.79395354,0.8131616,0.9149641,0.8727019,0.76243407,0.70128596,0.8621441,0.69126403,0.6964766,0.8311429,0.66898644,0.7775194,0.89388007,0.8798754,0.9260154,0.8635843,0.9079021,0.6791906,0.6632378,0.71269464,0.5761857,0.8743984,0.9184385,0.45403203,0.6794007,0.8346783,0.91912466,0.81227905,0.9171382,0.4617831,0.9173428,0.8931655,0.9067987,0.8568219,0.48215938,0.816788,0.7001871,0.831238,0.86616594,0.7494356,0.81572586,0.9178996,0.9213571,0.8308508,0.7631561,0.83787674,0.8938625,0.7761571,0.860934,0.9050571,0.6299545,0.9110566,0.9012427,0.5968341,0.91833997,0.7982892,0.8956027,0.92102325,0.8044782,0.8880529,0.20048982,0.8723659,0.8297106,0.9057536,0.68584746,0.9169868,0.8499563,0.9027185,0.86770403,0.70254457,0.81986296,0.91889024,0.80763376,0.9029235,0.8750753,0.82903564,0.8516875,0.6100576,0.70115745,0.9065494,0.46655902,0.60106254,0.5619046,0.9173538,0.55923843,0.8539408,0.79326063
X-1167,0.7602022,0.647531,0.85188985,0.76337785,0.5589437,0.84908897,0.68022776,0.6906624,0.8556905,0.87623,0.7474343,0.6368489,0.87787545,0.8447247,0.7017732,0.44793501,0.86701757,0.74891937,0.8271454,0.753137,0.8533982,0.76543343,0.89086676,0.7688418,0.7745095,0.7461409,0.7873484,0.82397306,0.76118475,0.697258,0.7913382,0.8015824,0.7015544,0.79664826,0.78747934,0.8307397,0.858596,0.8282965,0.76712394,0.57061446,0.79553556,0.8209909,0.7158866,0.86918277,0.74399155,0.7893285,0.82879454,0.82261705,0.8567838,0.61308736,0.51343894,0.65371877,0.7427659,0.7595424,0.7630957,0.8309059,0.8802988,0.8806103,0.7292387,0.61246634,0.81874925,0.75496066,0.81794494,0.8762212,0.62436193,0.8498574,0.87196183,0.7323595,0.88726425,0.7054612,0.87604904,0.8139269,0.87944144,0.84043646,0.7120465,0.89238054,0.65106386,0.8049134,0.7916244,0.87934214,0.77134776,0.6605857,0.83853346,0.70862955,0.89593714,0.67878616,0.8832585,0.789493,0.74819267,0.8888767,0.8480597,0.8437732,0.83138376,0.87362283,0.75811505,0.81990075,0.8964452,0.86197275,0.8431568,0.7950918,0.86258507,0.738417,0.8860455,0.8407473,0.836914,0.79897386,0.83401954,0.8776172,0.8827329,0.692961,0.5049696,0.48575827,0.66837484,0.7371619,0.76017106,0.8616643,0.85637903,0.7600427,0.67912066,0.82373214,0.666203,0.64081436,0.77102363,0.7028438,0.7923809,0.85291857,0.80637777,0.8918779,0.7323079,0.88968015,0.6982727,0.7357681,0.7380127,0.5804057,0.83574575,0.8849664,0.50131875,0.71703804,0.77262473,0.89252335,0.78702325,0.86275434,0.5282234,0.8977257,0.8393552,0.8689551,0.8364579,0.51390576,0.757538,0.67240125,0.753578,0.8318258,0.7098365,0.7639003,0.87414706,0.86387175,0.7848517,0.7291842,0.7862065,0.8251747,0.7470143,0.79781073,0.8788608,0.60862875,0.8738033,0.83992076,0.6288603,0.8994673,0.78258586,0.8672483,0.8677472,0.7935014,0.83511114,0.3221793,0.86390394,0.8055807,0.8780248,0.63713515,0.87174886,0.83133936,0.869829,0.82441676,0.6745099,0.7232118,0.88742095,0.77342355,0.8746159,0.84238344,0.75762796,0.83749497,0.6441204,0.7743893,0.8435699,0.52365583,0.64190596,0.52291536,0.8945347,0.6102169,0.80168945,0.75896376
X-1169,0.7750967,0.71675265,0.86311835,0.8309567,0.6232422,0.85687315,0.7531346,0.74076825,0.8924356,0.90440404,0.79945,0.66433936,0.88448244,0.88204193,0.7203908,0.43417153,0.89363915,0.7889304,0.8754881,0.78957117,0.8799704,0.8116531,0.9149872,0.80159116,0.8258519,0.78785306,0.8157807,0.85987055,0.77457243,0.72590035,0.770395,0.8429167,0.71860474,0.85105896,0.7585695,0.8654055,0.8983639,0.854718,0.824219,0.6121811,0.8257455,0.8701892,0.7595027,0.87810785,0.8222304,0.8402527,0.8390862,0.83330137,0.8862646,0.6851333,0.51341724,0.7119705,0.7450826,0.82763827,0.6983871,0.86020935,0.9038223,0.9076054,0.75173837,0.6756521,0.84324354,0.7662579,0.8510303,0.8976724,0.71414316,0.8805512,0.8964703,0.7815461,0.89314467,0.7395095,0.914484,0.8507507,0.9009279,0.8708926,0.75041044,0.90777797,0.6791692,0.78549165,0.81188196,0.8952021,0.79101866,0.6344065,0.84895027,0.7356455,0.9185345,0.78278655,0.90658957,0.8303656,0.7957402,0.88827986,0.88335747,0.8733286,0.8432707,0.8936642,0.7462606,0.8570502,0.9210387,0.89978456,0.8923384,0.8393879,0.89623123,0.78014237,0.90437853,0.86800987,0.8591134,0.84358424,0.8694071,0.8956729,0.9104974,0.73175776,0.5531907,0.47564766,0.74221045,0.7719299,0.80580163,0.8985996,0.8659791,0.8103147,0.6849577,0.8487315,0.67287225,0.6569503,0.80868644,0.7261173,0.8228304,0.899596,0.844529,0.9190184,0.7656617,0.9083383,0.713467,0.7395195,0.7767424,0.5977688,0.8428509,0.9101331,0.59426343,0.7339991,0.7979426,0.9091919,0.8082756,0.9071175,0.5473961,0.9257962,0.8698957,0.884494,0.8448859,0.5151432,0.7920166,0.6823878,0.80937546,0.8730987,0.7578244,0.7923452,0.9081873,0.8945043,0.8287016,0.784003,0.80481577,0.8442985,0.7744525,0.84216326,0.8923762,0.58213955,0.90918946,0.8903579,0.6198907,0.91403437,0.82172227,0.8906928,0.8872743,0.8043063,0.85636884,0.24362157,0.8722952,0.8291703,0.89380205,0.6797636,0.89693534,0.8367067,0.9035203,0.86345047,0.7137994,0.78486687,0.9115527,0.79160005,0.89696103,0.8773397,0.8079652,0.85485464,0.7100342,0.7923702,0.8623415,0.50021565,0.6686996,0.58961374,0.90416145,0.52050805,0.8562663,0.7446015
X-1172,0.73400044,0.6555077,0.79103625,0.7573387,0.6279396,0.8145773,0.68137556,0.6757142,0.8269798,0.8166823,0.73877144,0.6283963,0.80567765,0.793969,0.7274623,0.46853042,0.8109979,0.7038543,0.75628436,0.7222334,0.8061482,0.72272253,0.8480863,0.71415436,0.75048137,0.7162933,0.76524675,0.78725505,0.71314573,0.69075155,0.7114513,0.7890949,0.69763494,0.7784696,0.74257845,0.79909444,0.8321881,0.7907298,0.7523512,0.52317005,0.7366374,0.7968303,0.70472497,0.82150155,0.705773,0.74335617,0.7614784,0.8166569,0.7885804,0.62698156,0.5315014,0.6554639,0.708079,0.7425383,0.64251155,0.7924183,0.82403505,0.83462906,0.70080286,0.6259135,0.77197945,0.69403756,0.7352428,0.83889955,0.704144,0.7930383,0.82262903,0.7244014,0.81854814,0.6959209,0.8550585,0.78028756,0.8269669,0.7863974,0.6818534,0.84367037,0.6468681,0.79087585,0.75644845,0.82489514,0.7656103,0.63491493,0.80124164,0.7130424,0.8600405,0.74398863,0.8498552,0.7296303,0.7191315,0.8303402,0.81022483,0.804282,0.7837126,0.85562205,0.6830621,0.8019257,0.8541729,0.8357504,0.8186481,0.75537086,0.8265168,0.72912645,0.85429406,0.7998181,0.7800982,0.7820887,0.7967371,0.83586,0.8473742,0.68240577,0.5836879,0.5374476,0.68071306,0.72900194,0.74461997,0.83728737,0.7965398,0.7247691,0.65653455,0.7794522,0.66060567,0.6451127,0.7766813,0.6614153,0.72686774,0.8307171,0.8091017,0.83275545,0.77777725,0.84449434,0.6757989,0.6715553,0.68776464,0.5826121,0.79548645,0.8371421,0.56863105,0.67294586,0.76734596,0.8506239,0.74646133,0.84051573,0.5289521,0.85988325,0.8168573,0.8141106,0.7762403,0.537505,0.72954035,0.68116003,0.7589897,0.8152769,0.6946692,0.75457484,0.8334192,0.8404042,0.7708315,0.7220153,0.75849104,0.7956146,0.69187987,0.785167,0.83411413,0.61397547,0.8471081,0.83020544,0.6273433,0.8461799,0.74811876,0.816266,0.83891195,0.7292409,0.807897,0.3414029,0.80128855,0.7587067,0.8240877,0.62458444,0.83451325,0.7546541,0.8421495,0.7901934,0.6750233,0.74455416,0.83994395,0.7612884,0.8335086,0.7948044,0.73644286,0.7695453,0.6182723,0.69193625,0.8311893,0.53787315,0.6468601,0.5754163,0.845727,0.59127855,0.7873793,0.7155571
X-1173,0.7651743,0.6621089,0.8345335,0.7647659,0.5959707,0.8336397,0.6626368,0.67610794,0.8468472,0.87512314,0.7279096,0.6685652,0.8734562,0.83959615,0.69723344,0.52432555,0.86264014,0.74265313,0.8043487,0.7549354,0.8337546,0.75006914,0.88063073,0.7647632,0.7710546,0.7403743,0.7652619,0.81684816,0.74415755,0.6983035,0.7588019,0.7738531,0.70760643,0.8008512,0.7930232,0.81985724,0.84255356,0.81946355,0.75248504,0.5805273,0.8004594,0.81123316,0.6891893,0.8537093,0.7458139,0.7783969,0.80926985,0.816951,0.82792014,0.62186825,0.5409579,0.6793286,0.7332445,0.7391464,0.7345859,0.8248196,0.858381,0.8745476,0.73055,0.63895303,0.810843,0.742405,0.81392264,0.86453515,0.5931826,0.83666277,0.85038483,0.7282654,0.8683221,0.7137854,0.87835664,0.8061523,0.85118324,0.82480884,0.7158293,0.87734956,0.6693159,0.8089172,0.7786059,0.8672434,0.7518557,0.67854536,0.82153666,0.70519143,0.88536435,0.6619486,0.8557466,0.77599555,0.74473953,0.8774456,0.8394999,0.82541776,0.828307,0.848531,0.7621458,0.81155604,0.884916,0.8431236,0.81991994,0.77733475,0.8452867,0.7221508,0.8779465,0.820442,0.8285557,0.7965992,0.81319404,0.8641305,0.8592955,0.69529665,0.55619895,0.5204523,0.68622345,0.71996903,0.73574233,0.84221727,0.83407706,0.7508111,0.6692154,0.81093484,0.70185655,0.6237253,0.74090743,0.69479156,0.7897668,0.8278648,0.7982914,0.8744338,0.7254262,0.8799055,0.7268335,0.7294435,0.7505588,0.6194743,0.8236166,0.8707439,0.5522293,0.7305556,0.7637191,0.8847702,0.78891516,0.860685,0.57545346,0.8811619,0.8327366,0.8540786,0.82106245,0.5336781,0.76381105,0.6883,0.7500578,0.81674576,0.7122895,0.7524139,0.853524,0.84888124,0.780292,0.73069024,0.7673124,0.8094623,0.7414493,0.7908932,0.87891006,0.60177183,0.8662517,0.8215138,0.6301646,0.89317185,0.77304083,0.8631866,0.84489936,0.78165025,0.8235005,0.34641686,0.84685236,0.8077724,0.85572875,0.6241937,0.87301147,0.8230902,0.860565,0.81799567,0.6869889,0.70833606,0.87392163,0.77023256,0.88330764,0.82723993,0.75194204,0.82393765,0.5293526,0.73930377,0.8336114,0.55031633,0.68919456,0.58341414,0.8770517,0.6696134,0.8077391,0.74583834
