Task,Mean_MSE,Mean_Pearson
Oxaliplatin,1.6550884,0.6528339447239272
Ulixertinib,1.2671646,0.5261932747242154
Fulvestrant,0.79507846,0.5333209225909888
Uprosertib,2.136776,0.5104036753056128
Dactinomycin,1.5029564,0.5741483847132853
Docetaxel,3.6151602,0.5453221140761675
Camptothecin,2.5844877,0.5850511921077387
5-Fluorouracil,2.3932931,0.5377495547745997
Afatinib,1.8128313,0.47128401372911916
Taselisib,2.6734264,0.441241611701426
PD0325901,1.6469917,0.6634191856967536
Sapitinib,2.1174629,0.5364062715412891
Alpelisib,1.8082241,0.4372711039678851
SCH772984,1.9465755,0.6207433771400913
LGK974,0.9036402,0.550966144900596
Luminespib,2.616636,0.527282039541274
Linsitinib,1.377653,0.5137862188027948
GSK1904529A,1.1213211,0.44595807000301485
EPZ5676,0.88533145,0.5414264027470228
EPZ004777,0.8268166,0.5198744928358828
Irinotecan,2.3914747,0.6267486068142271
PLX-4720,1.7254425,0.4354574107289291
Nutlin-3a (-),1.7623056,0.6910040708423103
MG-132,0.6113748,0.4480845498928195
Staurosporine,1.5358521,0.4901492991526442
MK-2206,1.9777707,0.511414310540465
Trametinib,2.6537402,0.6903826172627937
Palbociclib,1.7441931,0.6021166567938382
MK-1775,1.2027872,0.6289009310580836
Cisplatin,2.2393491,0.6468891771285515
Pictilisib,1.5340842,0.3725832438841157
AZD7762,1.4305018,0.592956234447117
Olaparib,1.2231098,0.5854060775719647
Dasatinib,3.2132633,0.6082846852481575
AZD3759,0.9175725,0.45293031728055766
PD173074,1.6525631,0.4820590939360998
Vorinostat,0.72900313,0.6577387472115289
Dabrafenib,2.0947077,0.6075178132321881
Paclitaxel,2.9473686,0.5997669077423481
AZD4547,1.900146,0.4660360644613469
Lapatinib,2.1836011,0.4411544962150605
Sorafenib,1.087362,0.6216140861096369
Nilotinib,1.8701862,0.6388179018344758
Tamoxifen,0.99415684,0.47620477029716435
Gemcitabine,6.7782674,0.5936066419931098
Venetoclax,1.6780804,0.6989287109943708
Bortezomib,1.1390815,0.37715879643013484
Wee1 Inhibitor,1.529528,0.6306088359090589
Osimertinib,1.2749891,0.48378801039715097
AGI-5198,0.8240056,0.43409590546510807
Ipatasertib,1.7902035,0.45834699563542974
Erlotinib,1.2086197,0.46701171536000424
Sepantronium bromide,2.248334,0.3912940543955355
Cediranib,1.2450022,0.3588500447878913
Buparlisib,0.5956064,0.5097197641405451
YK-4-279,1.8069769,0.6280516770354967
AZD8186,1.6916758,0.3120103036297899
UMI-77,1.5180888,0.4148063536352287
Cytarabine,2.8445318,0.6771245823428628
BPD-00008900,1.248424,0.4320214654291082
MIM1,1.1377753,0.493181533489591
Dactolisib,1.8481263,0.421563249159308
NVP-ADW742,1.7658219,0.48631267833561376
Gefitinib,1.2445706,0.4795882812662446
Telomerase Inhibitor IX,1.1400143,0.5705020847863082
GDC0810,0.8966659,0.45658879316702533
WEHI-539,2.5299156,0.5191836774687352
BDP-00009066,1.1832951,0.46114409017522845
Epirubicin,1.682837,0.6107679354577312
GSK2578215A,0.93163127,0.46312449898773494
I-BRD9,1.2202822,0.6002659890182414
P22077,1.6279268,0.5281825156469896
AZD6738,1.5281533,0.5564891352703117
AZD5363,1.6261038,0.4917524889396012
BMS-536924,1.6399904,0.3651511256430234
ABT737,2.3348129,0.6652451417076265
WIKI4,0.9360909,0.23193445353698675
Afuresertib,1.7789087,0.4819457669518242
Savolitinib,1.2505387,0.428677279068063
Navitoclax,2.9477875,0.574772763039244
Cyclophosphamide,0.79892284,0.483384455788379
MIRA-1,1.0428437,0.6247494207807146
Pyridostatin,1.2651119,0.5128238400002737
Temozolomide,1.1082425,0.5957251568907332
Vinorelbine,2.7886827,0.6505751401123073
Vinblastine,3.0403721,0.6281872322661987
Pevonedistat,2.954813,0.5943603325145198
Foretinib,1.4072284,0.5281215565817393
BIBR-1532,0.98115236,0.48506219215438146
MK-8776,1.717676,0.6189587549759179
Talazoparib,3.023393,0.5952642540695192
AMG-319,1.0446887,0.5657003535711148
AZ6102,1.1439444,0.3845110621833152
VX-11e,1.4894813,0.551148446011473
LJI308,0.96760875,0.5017533770311017
AT13148,2.0678806,0.515806621558438
Rapamycin,1.652661,0.5463617612503594
GSK591,1.194064,0.44524700171522574
VE821,1.6165094,0.625855108497349
GNE-317,1.6121211,0.31971672075769747
Crizotinib,1.7930852,0.5365422659580691
Entinostat,1.676012,0.5925393053638006
Alisertib,3.1637325,0.6385458897943487
Fludarabine,2.7170675,0.5464613415398268
Mitoxantrone,3.1286774,0.6266160308080991
Niraparib,1.4929639,0.6291330392898086
JAK1_8709,1.271396,0.5122712447891729
Leflunomide,0.7627701,0.49828444307847447
