Task,Mean_MSE,Mean_Pearson
Task_1,1.5287699,0.6812100830410164
Task_2,1.2193655,0.5322844945477612
Task_3,0.67602396,0.5827740030315994
Task_4,2.069699,0.5225544564085473
Task_5,1.3922825,0.6006051253209532
Task_6,3.5760415,0.54922260102383
Task_7,2.52093,0.5929390397193336
Task_8,2.158975,0.5816159279196729
Task_9,1.8282491,0.46661645086173403
Task_10,2.677373,0.43957158792667567
Task_11,1.6718396,0.6588347138049971
Task_12,1.9960643,0.5600216640958657
Task_13,1.7488157,0.44638809750654856
Task_14,1.9121464,0.627664033560348
Task_15,0.79819965,0.5891059169122741
Task_16,2.6524584,0.5237927670186858
Task_17,1.2166281,0.5474465883364202
Task_18,0.92585677,0.5247916032035053
Task_19,0.58999187,0.6448727237020234
Task_20,0.5980453,0.6105207691257931
Task_21,2.3646333,0.62524220976597
Task_22,1.580985,0.46742136516616517
Task_23,1.6562265,0.7049187042312229
Task_24,0.61417097,0.42453801189225704
Task_25,1.5439376,0.48461976866508527
Task_26,1.8938555,0.5305748769336807
Task_27,2.7186167,0.6856490493680751
Task_28,1.5963455,0.6290254324562482
Task_29,1.2554302,0.6207425571809955
Task_30,2.2016826,0.6442852600208759
Task_31,1.5375181,0.36924111523329023
Task_32,1.4805557,0.5841462561783914
Task_33,1.0695503,0.618963388340888
Task_34,3.3605025,0.58119042526544
Task_35,0.8467986,0.47880483335463336
Task_36,1.4864097,0.5228444921300669
Task_37,0.7144654,0.6620121878976566
Task_38,2.048414,0.6038895440901733
Task_39,2.966488,0.5977623355123765
Task_40,1.8665069,0.4760426537573221
Task_41,2.1184273,0.4481087489560154
Task_42,1.0500675,0.6394656439205298
Task_43,1.8261772,0.6482526050621068
Task_44,0.88927907,0.5120226437218094
Task_45,6.68819,0.5961948470193358
Task_46,1.6960262,0.6949006118675944
Task_47,0.9299379,0.4429862382120049
Task_48,1.5165387,0.6346013518305941
Task_49,1.2718114,0.48127643358332745
Task_50,0.62234354,0.5313760267464068
Task_51,1.7308173,0.46488634374608734
Task_52,1.1654582,0.4871047090046698
Task_53,2.1693964,0.4034107338780933
Task_54,1.2271312,0.35598619165952344
Task_55,0.6113035,0.5003002143173951
Task_56,1.8446823,0.626732312014645
Task_57,1.5457644,0.3532397958488948
Task_58,1.5389391,0.39354494948206115
Task_59,2.8318207,0.675164656780988
Task_60,1.0223054,0.5109871113717079
Task_61,1.0277241,0.531999776921375
Task_62,1.881897,0.4091416446164901
Task_63,1.6942791,0.49536476607161734
Task_64,1.1764761,0.495682690151503
Task_65,1.1876315,0.5518023203712966
Task_66,0.725249,0.5145726126214403
Task_67,2.5150433,0.5147002268963138
Task_68,1.1528968,0.4610822178317256
Task_69,1.666438,0.612566593056266
Task_70,0.7127965,0.5397113945746349
Task_71,1.0644112,0.6316987813396008
Task_72,1.500851,0.5547096203517364
Task_73,1.5377836,0.555846675629967
Task_74,1.556625,0.5048911907533672
Task_75,1.5811282,0.3787270263018745
Task_76,2.3045146,0.6707654858119184
Task_77,0.8262529,0.27352598205557743
Task_78,1.7315341,0.4958634843045339
Task_79,1.2176052,0.43538405782961026
Task_80,2.8513024,0.5909780552357192
Task_81,0.59241265,0.5675737834032452
Task_82,0.7935527,0.6843955338220686
Task_83,1.1949929,0.5368304371684174
Task_84,0.84578085,0.6631625338665154
Task_85,2.7727225,0.6506278233118588
Task_86,2.9119465,0.6395860488619828
Task_87,2.94351,0.5933805575880706
Task_88,1.4036732,0.529940231641875
Task_89,0.80775434,0.5426062344513335
Task_90,1.674707,0.6314610687256371
Task_91,3.05258,0.5866022172937507
Task_92,0.8273632,0.6357165308930336
Task_93,1.0346678,0.43895004015961875
Task_94,1.455032,0.5492410793104893
Task_95,0.73382765,0.5791404427469377
Task_96,1.9772191,0.5189248333978109
Task_97,1.6553041,0.5408050487076258
Task_98,1.0048162,0.5042360082077896
Task_99,1.5330176,0.64201109960256
Task_100,1.6700201,0.2982101372832655
Task_101,1.7528452,0.5530649741321683
Task_102,1.6178948,0.5993797062414428
Task_103,3.2026355,0.6372164309643876
Task_104,2.4627135,0.5863722394850606
Task_105,3.127943,0.6254104625876944
Task_106,1.2598128,0.6812145691234196
Task_107,1.0925299,0.566409116282029
Task_108,0.5295319,0.6035982075352969
Task_109,0.8380639,0.44540894417434435
Task_110,1.2720636,0.43398119364653825
Task_111,1.0496984,0.6217702988987308
Task_112,1.6061707,0.6066462321974386
Task_113,0.619373,0.5235853752775338
Task_114,0.7924635,0.49146126198515877
Task_115,1.0551771,0.6207727271591542
Task_116,0.69404536,0.5904977456599219
Task_117,2.6532152,0.5551125217331444
Task_118,0.82436085,0.5737177716458004
Task_119,0.9693224,0.4688410899587059
Task_120,0.89440817,0.47506351343061687
Task_121,0.78017277,0.5577868519432988
Task_122,0.8261859,0.35942931767163094
Task_123,0.5676029,0.5705874315447411
Task_124,0.55693704,0.6438734639880564
Task_125,0.69538444,0.5709842224776033
