Task,Mean_MSE,Mean_Pearson
Oxaliplatin,1.5274252,0.6831644801292486
Ulixertinib,1.2273498,0.5277361837758011
Fulvestrant,0.6785769,0.5837514738678894
Uprosertib,2.0906765,0.5178269184008372
Dactinomycin,1.3979267,0.5985359542807402
Docetaxel,3.5815232,0.5490577321846348
Camptothecin,2.5477722,0.5888342271814262
5-Fluorouracil,2.1507318,0.5836301695297959
Afatinib,1.845622,0.4649972957118272
Taselisib,2.679458,0.44033765261205904
PD0325901,1.6795105,0.6553657319788597
Sapitinib,2.0030594,0.560957082785419
Alpelisib,1.7592102,0.4461627034002707
SCH772984,1.9280416,0.6218799577159876
LGK974,0.7985768,0.585314658657447
Luminespib,2.6784256,0.5210678257566693
Linsitinib,1.2184998,0.5459177289440126
GSK1904529A,0.9284158,0.5238984605376216
EPZ5676,0.5844858,0.6476150439390397
EPZ004777,0.60079426,0.6103190704787402
Irinotecan,2.3687398,0.6236898685951017
PLX-4720,1.6018105,0.46046394816398317
Nutlin-3a (-),1.6638527,0.7040738075426334
MG-132,0.61416054,0.4270372507645938
Staurosporine,1.5495772,0.4864027075991939
MK-2206,1.8919035,0.5333162545241008
Trametinib,2.7069752,0.6866404889432364
Palbociclib,1.5997137,0.6292394317512685
MK-1775,1.2664126,0.622935893498212
Cisplatin,2.1969774,0.6448145239956015
Pictilisib,1.5400845,0.3687722287335729
AZD7762,1.4933792,0.5865756510328363
Olaparib,1.0742017,0.6168389196461889
Dasatinib,3.3965855,0.5777068953621646
AZD3759,0.84267426,0.4836152368878701
PD173074,1.4856819,0.5244654022288942
Vorinostat,0.71632,0.6620498321104812
Dabrafenib,2.0742238,0.5977432004974158
Paclitaxel,2.9954026,0.5957902893363873
AZD4547,1.8550991,0.4820319538836091
Lapatinib,2.1103485,0.45167846770122355
Sorafenib,1.0565387,0.6398024093504258
Nilotinib,1.8287071,0.6490350524974907
Tamoxifen,0.88783026,0.513847965921025
Gemcitabine,6.671513,0.5976781720438494
Venetoclax,1.6897736,0.6972707480175998
Bortezomib,0.93991965,0.4421041219506811
Wee1 Inhibitor,1.5155004,0.6379838558698725
Osimertinib,1.2761511,0.48391097787336035
AGI-5198,0.6242501,0.5302702778490943
Ipatasertib,1.7428685,0.4638408405719559
Erlotinib,1.1603217,0.4862941459288133
Sepantronium bromide,2.165662,0.4066211219878069
Cediranib,1.2367231,0.35367315281345246
Buparlisib,0.61182606,0.5036642782562318
YK-4-279,1.8435758,0.6260550884551019
AZD8186,1.5461606,0.3541127939628445
UMI-77,1.5376505,0.4010388011050489
Cytarabine,2.8272583,0.6755310601994206
BPD-00008900,1.0339879,0.5079140232764746
MIM1,1.0244781,0.5358140834448832
Dactolisib,1.8829025,0.40945851915288345
NVP-ADW742,1.6896019,0.49876912750154506
Gefitinib,1.1737882,0.4970923197377189
Telomerase Inhibitor IX,1.1885809,0.5532057439860033
GDC0810,0.73839027,0.5086582714593041
WEHI-539,2.5194511,0.5167595886548852
BDP-00009066,1.1523237,0.4630583943815278
Epirubicin,1.6447283,0.6173799620717298
GSK2578215A,0.7175924,0.538373654875024
I-BRD9,1.0645193,0.6332133635949583
P22077,1.4900689,0.5559964270402428
AZD6738,1.554768,0.5548493324881913
AZD5363,1.5665973,0.5045410896510623
BMS-536924,1.5886668,0.3738165663501207
ABT737,2.3530748,0.6640968979980996
WIKI4,0.8283908,0.27849477554662183
Afuresertib,1.7354112,0.49635671808436355
Savolitinib,1.213818,0.4377677937875024
Navitoclax,2.8828793,0.5857703441972177
Cyclophosphamide,0.5993195,0.5647406106411584
MIRA-1,0.7919199,0.6842308262537432
Pyridostatin,1.1843358,0.540379814948843
Temozolomide,0.83791924,0.6653510088502054
Vinorelbine,2.774664,0.6499719440772709
Vinblastine,2.9158885,0.6389218976816881
Pevonedistat,2.9411829,0.5932084295891112
Foretinib,1.3998543,0.5334178872648813
BIBR-1532,0.8074915,0.5415677764316286
MK-8776,1.6668772,0.6346453580858712
Talazoparib,3.068292,0.5833440765682493
AMG-319,0.81951475,0.6389159320698624
AZ6102,1.0337337,0.4400056770470868
VX-11e,1.4627285,0.5475986162337232
LJI308,0.7335577,0.5797561086961373
AT13148,1.9786347,0.5203161666339585
Rapamycin,1.664436,0.5391018179666792
GSK591,1.0005655,0.5064653755360286
VE821,1.5345491,0.6427853148179066
GNE-317,1.6966337,0.2911610726634231
Crizotinib,1.7493623,0.556618370864708
Entinostat,1.617499,0.5986311277044521
Alisertib,3.2026098,0.6376516790973256
Fludarabine,2.4636965,0.5871880328532167
Mitoxantrone,3.1191814,0.6255421946417347
Niraparib,1.2581836,0.6804573659760873
JAK1_8709,1.0947381,0.5622427041249192
Leflunomide,0.53016776,0.6025638196320967
IRAK4_4710,0.84394217,0.435180316310821
Entospletinib,1.2717166,0.43663665608432134
BMS-345541,1.0524554,0.6206473623112087
Podophyllotoxin bromide,1.6200618,0.6039305449921092
Gallibiscoquinazole,0.61777943,0.5209345593988401
Sinularin,0.7941944,0.4918478325866005
PCI-34051,1.0655636,0.6185816522184865
Carmustine,0.6966823,0.5900489156369638
Topotecan,2.65573,0.5526886663572922
AGI-6780,0.832442,0.5717654435712191
VSP34_8731,0.97891855,0.46896689587462054
MN-64,0.8967171,0.4727671726506095
ML323,0.78815955,0.552416076636075
XAV939,0.82013255,0.36317279473394043
PFI3,0.5664689,0.577109449671948
Zoledronate,0.56008726,0.6451830974014747
CZC24832,0.6957199,0.5704034338567032
KRAS (G12C) Inhibitor-12,1.6253072,0.6011781760860968
ERK_2440,1.8468128,0.5174985325260503
Acetalax,2.9933927,0.618721095955782
LY2109761,0.70967025,0.535894382031496
AZD1332,2.1735508,0.3285583781445047
Mirin,1.0404322,0.570996822945795
OTX015,2.7440207,0.4664362369639345
Wnt-C59,0.87332654,0.5602787948295513
PRIMA-1MET,2.3640068,0.5450841411322624
PRT062607,1.5710306,0.48209145221773114
AZD5438,1.6311177,0.5648791494280966
Obatoclax Mesylate,1.0212942,0.3973305059180034
AZD2014,1.9237369,0.34147269661037577
OF-1,1.1382178,0.46082576346403575
Selumetinib,2.2205145,0.640868278618047
WZ4003,1.6379013,0.42490697053510934
Teniposide,2.3366618,0.6476856906119718
Picolinici-acid,0.5022557,0.5682430350132649
JAK_8517,2.2307823,0.4967038835004458
Elephantin,1.4071957,0.5904695757257113
Ruxolitinib,0.81675625,0.5715582082837805
VE-822,1.957888,0.6061830904204609
ERK_6604,1.666592,0.5626286189183497
IWP-2,0.57918924,0.6044869287058933
PAK_5339,0.7441831,0.5090459157863224
RVX-208,0.8747513,0.5453996955280092
TAF1_5496,1.7967752,0.5086452784861426
Dinaciclib,1.7374431,0.49648471931467714
Nelarabine,0.7573955,0.656042869556612
IGF1R_3801,2.9111998,0.4990114043725305
GSK343,0.5934951,0.5651305332652353
CDK9_5576,1.6793666,0.5270881709515266
LCL161,1.0400678,0.4512345125090693
I-BET-762,1.7837429,0.5429514029334327
AZD5153,2.7977448,0.5365495777406436
CDK9_5038,2.6666625,0.5407695546401322
AZD1208,0.68008786,0.6038219020601671
Dihydrorotenone,2.1273832,0.35778379863995385
ULK1_4989,1.8262323,0.5522024060582735
Sabutoclax,1.1524163,0.6145527395576315
AZ960,2.1784503,0.5598563087346272
IAP_5620,2.1186187,0.4367529901238318
Ibrutinib,2.3111448,0.5118144321303527
AZD5991,4.0164437,0.6997505864231411
Eg5_9814,2.0917206,0.5926283282482411
Vincristine,4.1135287,0.645200424647047
GSK2606414,1.1298279,0.5242064309749392
AZD5582,4.363459,0.4319265656931157
Daporinad,2.5112305,0.6212868176101024
OSI-027,1.4826717,0.6984637899602281
AZD8055,2.2773736,0.25800232479862084
SB216763,1.667367,0.21303500030225023
Axitinib,1.6735164,0.31923221990700407
RO-3306,1.3979396,0.39497496132925103
Tozasertib,1.8070879,0.628646776738158
GSK269962A,1.3684658,0.4366988821829914
KU-55933,1.484746,0.33018192835939947
PF-4708671,1.0505692,0.4835624417501044
AZD6482,3.0944004,0.2474029579679998
ZM447439,1.6109381,0.4467981137578361
JQ1,4.4141145,-0.10593655047753314
NU7441,1.2944144,0.3069921074934508
SB505124,1.7681195,-0.00429179061254939
Ribociclib,1.3747154,0.15049374106053434
Doramapimod,1.64018,0.12330503899317773
BMS-754807,3.6219566,0.4154140755523064
BI-2536,6.4144783,0.4102776565446173
Cetuximab,0.8500309,0.3508094032440035
Doxorubicin,1.4529182,0.4780907157366096
Etoposide,3.1998427,0.4249025453350274
Bleomycin,4.653376,0.38016720796119713
Bicalutamide,0.37808105,0.34654494059120083
Bleomycin (50 uM),2.587489,0.622718169392117
Pemetrexed,2.3973613,0.5759579233392854
