Task,Mean_MSE,Mean_Pearson
Oxaliplatin,1.4897581,0.6832076453933295
Ulixertinib,1.219536,0.5460022902508789
Fulvestrant,0.70221496,0.5735795574926731
Uprosertib,2.073023,0.5268245578755036
Dactinomycin,1.3585167,0.6028270888509831
Docetaxel,3.522028,0.5572070924551054
Camptothecin,2.499836,0.5984488616965247
5-Fluorouracil,2.2264488,0.5684369468743958
Afatinib,1.7713097,0.4824215258099516
Taselisib,2.6073906,0.4585301748310843
PD0325901,1.6360639,0.6666225585883778
Sapitinib,1.9803448,0.561566841614702
Alpelisib,1.7024494,0.462938374715342
SCH772984,1.881986,0.6364812880710443
LGK974,0.8199744,0.5861054543637186
Luminespib,2.602164,0.5303993148387056
Linsitinib,1.2323457,0.5570355523585456
GSK1904529A,0.9796014,0.4993192104367578
EPZ5676,0.658024,0.6193190198292803
EPZ004777,0.63977176,0.5944620502865615
Irinotecan,2.3691008,0.6337756649996011
PLX-4720,1.6034584,0.4694345991201981
Nutlin-3a (-),1.6144462,0.7157569691621969
MG-132,0.5894099,0.4635666197480206
Staurosporine,1.5067991,0.49554096643127205
MK-2206,1.908195,0.5326568617061966
Trametinib,2.6247585,0.6947251570165607
Palbociclib,1.619064,0.6296252884849997
MK-1775,1.200255,0.630029833645113
Cisplatin,2.230179,0.6521907712992626
Pictilisib,1.4868616,0.40112354018825025
AZD7762,1.4276024,0.598193234828485
Olaparib,1.1077343,0.6147003070581146
Dasatinib,3.2272384,0.6055579334426137
AZD3759,0.86274195,0.48497873060152114
PD173074,1.504332,0.5206157333798019
Vorinostat,0.6918785,0.6773532440450135
Dabrafenib,1.9729067,0.6297304112884062
Paclitaxel,2.8856308,0.6096835221754825
AZD4547,1.8301339,0.4912039643638537
Lapatinib,2.073167,0.4722039677476458
Sorafenib,1.0570081,0.6339900820629579
Nilotinib,1.821434,0.6504528261607724
Tamoxifen,0.901715,0.5165611488429914
Gemcitabine,6.687809,0.6050710567239375
Venetoclax,1.5850673,0.7162685752741611
Bortezomib,0.97837406,0.4182765708069032
Wee1 Inhibitor,1.498931,0.6425170347666084
Osimertinib,1.2469807,0.4941830125142572
