Task,Mean_MSE,Mean_Pearson
Oxaliplatin,1.4745293,0.6864376918764492
Ulixertinib,1.2295823,0.5409821476816138
Fulvestrant,0.71074224,0.5674121433214606
Uprosertib,2.0622585,0.5299724390782092
Dactinomycin,1.3691946,0.5995142272378137
Docetaxel,3.5769994,0.5491841191384436
Camptothecin,2.5297766,0.5925844442029874
5-Fluorouracil,2.216459,0.5705269019977459
Afatinib,1.7795366,0.479708622385584
Taselisib,2.6032467,0.46087309523505243
PD0325901,1.6338629,0.6668687402087778
Sapitinib,1.9841218,0.5605755908149835
Alpelisib,1.6925856,0.46599351253704696
SCH772984,1.8767246,0.6370758111762859
LGK974,0.81829923,0.5865540152977974
Luminespib,2.616179,0.527272362481048
Linsitinib,1.2319509,0.557515946288434
GSK1904529A,0.9796009,0.4990335052809738
EPZ5676,0.652365,0.6208894768677972
EPZ004777,0.63518286,0.5968099705531814
Irinotecan,2.3496609,0.6374891047999324
PLX-4720,1.6019484,0.4707092977845518
Nutlin-3a (-),1.5995959,0.7187341017365415
MG-132,0.5781058,0.4766027915212005
Staurosporine,1.5209827,0.48944275278059735
MK-2206,1.9161744,0.5311122780090329
Trametinib,2.6157298,0.6957385697002145
Palbociclib,1.629736,0.6269705923543626
MK-1775,1.2059785,0.627742430987564
Cisplatin,2.2165215,0.6541615062966954
Pictilisib,1.4964418,0.3980957876446991
AZD7762,1.4359053,0.5951141751898475
Olaparib,1.0996737,0.6175486644059726
Dasatinib,3.228876,0.6061740157518583
AZD3759,0.8652241,0.4831392472156322
PD173074,1.5088583,0.5188921782512056
Vorinostat,0.6952016,0.6751184110254211
Dabrafenib,1.9784693,0.6281371372851264
Paclitaxel,2.9091523,0.606179928227232
AZD4547,1.8547665,0.4824524042750388
Lapatinib,2.0817633,0.4700832872778172
Sorafenib,1.0628923,0.6322668845309478
Nilotinib,1.8025643,0.6544174565439103
Tamoxifen,0.91061515,0.513039895196441
Gemcitabine,6.7038274,0.604399562043577
Venetoclax,1.5902323,0.715319595557569
Bortezomib,0.9764946,0.42166223533582725
Wee1 Inhibitor,1.5009791,0.6427877440521967
Osimertinib,1.2455039,0.49503515178218227
AGI-5198,0.67543125,0.5026410690638997
Ipatasertib,1.6997608,0.4910062939933622
Erlotinib,1.1889685,0.47537095873350355
Sepantronium bromide,2.090761,0.440405228235979
Cediranib,1.1806582,0.39688478795377885
Buparlisib,0.62152356,0.4840610023997524
YK-4-279,1.7725081,0.6373576441831692
AZD8186,1.6404546,0.33046070067861705
UMI-77,1.4967122,0.41790796566216476
Cytarabine,2.839431,0.6821175101834455
BPD-00008900,1.0828162,0.49504713462654104
MIM1,1.0424417,0.5255476122705844
Dactolisib,1.8325654,0.4334723619695813
NVP-ADW742,1.7118326,0.5000848142606333
Gefitinib,1.171108,0.515236551644816
Telomerase Inhibitor IX,1.1542188,0.5712428313120257
GDC0810,0.73826486,0.5112077257802022
WEHI-539,2.439173,0.5376510635540415
BDP-00009066,1.1786205,0.4625534993944132
Epirubicin,1.6262699,0.6314085121308768
GSK2578215A,0.7710518,0.5231487611144902
I-BRD9,1.0683247,0.641344935275329
P22077,1.5498953,0.5506233837240617
AZD6738,1.4606878,0.580601785135707
AZD5363,1.5463489,0.5163698121046095
BMS-536924,1.6134495,0.3830446016842461
ABT737,2.1902518,0.6893563758899988
WIKI4,0.83513904,0.27208369410085714
Afuresertib,1.685191,0.5161717657765404
Savolitinib,1.2388868,0.4349696825448645
Navitoclax,2.855629,0.5920234167008375
Cyclophosphamide,0.6224672,0.5579378517382759
MIRA-1,0.8656168,0.6678121121100746
Pyridostatin,1.1760422,0.5393834868026254
Temozolomide,0.90273476,0.6477024078320671
Vinorelbine,2.7187316,0.6591530511299498
Vinblastine,2.9135168,0.6423978124266972
Pevonedistat,2.907443,0.6069370855314559
Foretinib,1.3878565,0.5379608268515798
BIBR-1532,0.8576037,0.5163710509175606
MK-8776,1.6106406,0.64536844462886
Talazoparib,3.0309098,0.5934645836062301
AMG-319,0.8659814,0.6258436760592709
AZ6102,1.0894928,0.4144281860292411
VX-11e,1.4496273,0.562914748307625
LJI308,0.788315,0.5673539248117817
AT13148,2.0063105,0.530355802239647
Rapamycin,1.6999928,0.5279375427117687
GSK591,1.0997546,0.4634747117233575
VE821,1.5763263,0.6304791086987052
GNE-317,1.6478168,0.3089269560215015
Crizotinib,1.7244167,0.552729308804597
Entinostat,1.6509547,0.5979876141090742
Alisertib,3.1984527,0.6334093715294696
Fludarabine,2.5163872,0.5782722022901768
Mitoxantrone,3.1072385,0.6325843145839478
Niraparib,1.3068666,0.6718477463353881
JAK1_8709,1.1040479,0.5690843198070233
