Task,Mean_MSE,Mean_Pearson
Oxaliplatin,1.6107978,0.6605581993459216
Ulixertinib,1.2187681,0.5458628489548926
Fulvestrant,0.7650981,0.5480749448237157
Uprosertib,2.1015575,0.5182387207769931
Dactinomycin,1.4859915,0.5768837073008606
Docetaxel,3.6144083,0.5465009542958333
Camptothecin,2.541361,0.5936737405726271
5-Fluorouracil,2.3444462,0.5447968687985282
Afatinib,1.778202,0.48132301323381926
Taselisib,2.6457236,0.44655975005377496
PD0325901,1.6347572,0.6662753763110628
Sapitinib,2.083641,0.5421361625656461
Alpelisib,1.7833382,0.441993437607906
SCH772984,1.9213601,0.6280439036720912
LGK974,0.8996954,0.5576113779265977
Luminespib,2.598296,0.5346108219477524
Linsitinib,1.2942877,0.5345464751881273
GSK1904529A,1.0864947,0.4567390236534618
EPZ5676,0.829931,0.5586786428150349
EPZ004777,0.7912038,0.5401207818226248
Irinotecan,2.357914,0.6331773543733563
PLX-4720,1.6949778,0.44569250722585646
Nutlin-3a (-),1.7715478,0.6873845471487883
MG-132,0.6116608,0.44325989751474065
Staurosporine,1.5800236,0.4772690057133003
MK-2206,1.9592904,0.5188229597399389
Trametinib,2.6155503,0.6956326801990059
Palbociclib,1.6541023,0.6231879771831642
MK-1775,1.2000194,0.629761971926239
Cisplatin,2.2001529,0.6540266597676329
Pictilisib,1.4961337,0.39237440647496546
AZD7762,1.4230253,0.5968314726151359
Olaparib,1.1926498,0.5870377562336941
Dasatinib,3.2173111,0.6057018016812941
AZD3759,0.9025759,0.46350373890841506
PD173074,1.5698795,0.5056091943342249
Vorinostat,0.69825774,0.6727162540678794
Dabrafenib,2.0133095,0.6243396162518678
Paclitaxel,2.9410858,0.6038804689268369
AZD4547,1.8762707,0.4774868630670149
Lapatinib,2.1321223,0.45549857330890325
Sorafenib,1.0811732,0.6248873756916772
Nilotinib,1.86756,0.6398821054795011
Tamoxifen,0.9651708,0.4910429356334256
Gemcitabine,6.669582,0.6032905624814043
Venetoclax,1.626792,0.7087443158008688
Bortezomib,1.1520519,0.3703968363764551
Wee1 Inhibitor,1.4811171,0.6454421102774384
Osimertinib,1.257268,0.4883069544948153
AGI-5198,0.8204469,0.43739858439902274
Ipatasertib,1.750631,0.47443485695747967
Erlotinib,1.2197347,0.4635620976821053
Sepantronium bromide,2.2654922,0.3851861536751855
Cediranib,1.2081499,0.3784721110791975
Buparlisib,0.6059882,0.4955236697784588
YK-4-279,1.7572598,0.6401303808761514
AZD8186,1.6816448,0.30551108732367066
UMI-77,1.5442195,0.39754203110852543
Cytarabine,2.8529255,0.675896307961635
BPD-00008900,1.1923434,0.456896586883963
MIM1,1.120648,0.4980141883437292
Dactolisib,1.8160919,0.4417664455517085
NVP-ADW742,1.7098475,0.5008694811036061
Gefitinib,1.232748,0.4879174463260638
Telomerase Inhibitor IX,1.1410354,0.5738844217523358
GDC0810,0.8494516,0.4734135634885896
WEHI-539,2.5614412,0.5060977231567899
BDP-00009066,1.1721476,0.4614060147059123
Epirubicin,1.639841,0.6252653075288068
GSK2578215A,0.8994058,0.47694069707820663
I-BRD9,1.1700689,0.6159716335712249
P22077,1.636396,0.5307840182926965
AZD6738,1.5073527,0.5622698417027224
AZD5363,1.5961819,0.4990486063643626
BMS-536924,1.6230345,0.3689956039580113
ABT737,2.273814,0.6760398977542886
WIKI4,0.92414045,0.2224289955956202
Afuresertib,1.7241892,0.5035643118624583
Savolitinib,1.2710081,0.41874720863145143
Navitoclax,2.9481456,0.574355512013258
Cyclophosphamide,0.7596078,0.5079659219212602
MIRA-1,1.0164827,0.629721374601192
Pyridostatin,1.2442099,0.5174130941476078
Temozolomide,1.0736318,0.6041337108322838
Vinorelbine,2.726867,0.6603157289662774
Vinblastine,2.9745705,0.6385141011796683
Pevonedistat,2.915735,0.6026751839089447
Foretinib,1.395744,0.5333692323366567
BIBR-1532,0.973646,0.47914742575337943
MK-8776,1.6602868,0.632871941483903
Talazoparib,3.067651,0.5852958169192289
AMG-319,0.98936313,0.5835863374183744
AZ6102,1.1128858,0.3999428267115279
VX-11e,1.456304,0.5624755332540067
LJI308,0.9216899,0.5210782697291213
AT13148,2.0200765,0.5273241318208335
Rapamycin,1.6900936,0.5362644867741183
GSK591,1.2150413,0.4235818228678275
VE821,1.6268293,0.6212901767380902
GNE-317,1.6010221,0.3302127451539917
Crizotinib,1.7723192,0.5406191846815561
Entinostat,1.6625743,0.5935616953035977
Alisertib,3.2225564,0.6300884822175195
Fludarabine,2.6264699,0.5627543827487239
Mitoxantrone,3.1098588,0.6298436040230876
Niraparib,1.4209715,0.6447829225999808
JAK1_8709,1.1856285,0.5445466337070791
Leflunomide,0.726593,0.5157783945302664
IRAK4_4710,1.046503,0.35849862104731356
Entospletinib,1.3735183,0.39138988210245024
BMS-345541,1.1338812,0.6000711070176289
Podophyllotoxin bromide,1.6298352,0.5945153234395967
Gallibiscoquinazole,0.6365619,0.5179023872087386
Sinularin,0.887773,0.4598140203215368
PCI-34051,1.2172813,0.5759282566187182
Carmustine,1.0175694,0.4763199766461925
Topotecan,2.667773,0.5606363987525124
AGI-6780,0.9264083,0.5411016828217231
VSP34_8731,1.0178403,0.434527587782714
MN-64,1.0493883,0.41951949625509927
ML323,0.9074841,0.5276993053504775
XAV939,0.94094133,0.31949475080279144
PFI3,0.7759204,0.48984362074517457
Zoledronate,0.68748075,0.5979424140425328
CZC24832,0.89042205,0.5036371108950799
KRAS (G12C) Inhibitor-12,1.7216052,0.5745001760764362
ERK_2440,1.9299139,0.49765187497049884
Acetalax,3.214103,0.5894154351472197
LY2109761,0.95287913,0.43121158758271133
AZD1332,2.2410266,0.3213450415796729
Mirin,1.2333935,0.5228739686694717
OTX015,2.6943815,0.48138195762255775
Wnt-C59,1.0093259,0.5140220612213073
PRIMA-1MET,2.5502126,0.5260940046380306
PRT062607,1.6109813,0.47335222645032854
AZD5438,1.6736051,0.5532597852188285
Obatoclax Mesylate,1.0552427,0.37951246292657675
AZD2014,1.9605747,0.3245833896883153
OF-1,1.2692531,0.4309386226344589
Selumetinib,2.3298137,0.6232370803956323
WZ4003,1.752605,0.3918339388394884
Teniposide,2.2610815,0.6608705222886441
Picolinici-acid,0.688175,0.4735767997705293
JAK_8517,2.2506692,0.48935133842605066
Elephantin,1.5105314,0.5770046784208595
Ruxolitinib,0.96041745,0.5182600600418766
VE-822,2.0236244,0.5938701327544154
ERK_6604,1.7281274,0.5467155820821614
IWP-2,0.62648755,0.5750736969353666
PAK_5339,0.7473438,0.5064282885932083
RVX-208,1.0402865,0.48721546620190653
TAF1_5496,1.894813,0.4888044640624458
Dinaciclib,1.7545007,0.4929566546569797
Nelarabine,1.0219015,0.5889451173736577
IGF1R_3801,2.9224052,0.4985382612646636
GSK343,0.6544228,0.535028187718973
CDK9_5576,1.6470672,0.5268417791740557
LCL161,1.2292572,0.38584189222032883
I-BET-762,1.8455453,0.5347908360810546
AZD5153,2.715865,0.5561467431798902
CDK9_5038,2.6622667,0.5458702915962425
AZD1208,0.9135089,0.519188709918756
Dihydrorotenone,2.1409278,0.35442488842777947
ULK1_4989,1.8302402,0.5503495172489387
Sabutoclax,1.1585158,0.6096469921067782
AZ960,2.1406705,0.5586194816077567
IAP_5620,2.2093747,0.4342608375135771
Ibrutinib,2.3420305,0.5183854500317285
AZD5991,3.922034,0.7110611183864499
Eg5_9814,2.100077,0.5847908157115675
Vincristine,4.0666943,0.6491219503626455
GSK2606414,1.2130586,0.4904180192498025
AZD5582,4.258407,0.45781357025261177
Daporinad,2.7186089,0.5940273826898789
OSI-027,1.5918833,0.6797535488582293
AZD8055,2.0013578,0.34776863738916736
SB216763,1.7972103,0.21946206286302872
Axitinib,1.5732387,0.3689668769274596
RO-3306,1.5605577,0.2811042732581745
Tozasertib,1.8087686,0.652673621268337
GSK269962A,1.3731343,0.42985974405380917
KU-55933,1.4576877,0.39306582119692174
PF-4708671,1.130116,0.42215056355828523
AZD6482,3.2215064,0.177601169932174
ZM447439,1.6339575,0.4654355331019495
JQ1,4.2112994,-0.008911362931368044
NU7441,1.2385163,0.36021221502445594
SB505124,1.7262872,0.06553932812779559
Ribociclib,1.1566917,0.38847813938262243
Doramapimod,2.1254942,0.01767220034654308
BMS-754807,3.6432755,0.4154373155133159
BI-2536,5.8957343,0.4627117902217683
Cetuximab,1.1882504,0.2091765691136982
Doxorubicin,1.463686,0.481292461804172
Etoposide,3.0806706,0.45990295302020173
Bleomycin,4.455547,0.4145496781218938
Bicalutamide,0.44548893,0.2870064568206108
Bleomycin (50 uM),2.6433804,0.621314996981455
Pemetrexed,2.4761708,0.565488656185849
AICA Ribonucleotide,1.5711498,0.4327466433353666
