Task,Mean_MSE,Mean_Pearson
Oxaliplatin,1.5021931,0.6811898413843536
Ulixertinib,1.2487866,0.5355339616394557
Fulvestrant,0.71153,0.566164820021288
Uprosertib,2.08099,0.5248894902355972
Dactinomycin,1.39748,0.5963150750766323
Docetaxel,3.5415173,0.5556688174139631
Camptothecin,2.5099852,0.5965762753800933
5-Fluorouracil,2.2305586,0.5687888222816909
Afatinib,1.8667771,0.45518366656398596
Taselisib,2.6271107,0.4564466397018783
PD0325901,1.6570638,0.6636747197115387
Sapitinib,2.0006819,0.5593072717208695
Alpelisib,1.7289199,0.45153472652592663
SCH772984,1.8977951,0.6329146656824542
LGK974,0.8197848,0.5818028367280338
Luminespib,2.6592565,0.5198107790384466
Linsitinib,1.274332,0.5460550713996315
GSK1904529A,0.9840026,0.5070400034780188
EPZ5676,0.67716455,0.6168596462810103
EPZ004777,0.6554176,0.5876223474915302
Irinotecan,2.3566484,0.6327155374999565
PLX-4720,1.616064,0.47013950841721036
Nutlin-3a (-),1.6339461,0.7106596891657402
MG-132,0.59726185,0.45153645555559435
Staurosporine,1.5276326,0.4850569364202623
MK-2206,1.9066753,0.5337190197592571
Trametinib,2.5919826,0.700834094763077
Palbociclib,1.6619898,0.622459307561143
MK-1775,1.2216876,0.6234101966711517
Cisplatin,2.2254333,0.6487826419289427
Pictilisib,1.5265436,0.3833552347793137
AZD7762,1.4528216,0.5869397877922274
Olaparib,1.131317,0.6077281420716831
Dasatinib,3.3067806,0.5928881611816471
AZD3759,0.8740873,0.47543378069151637
PD173074,1.5345672,0.5155846510485276
Vorinostat,0.7333386,0.6591893329747295
Dabrafenib,2.008005,0.6204353960117289
Paclitaxel,2.9370816,0.602699187242108
AZD4547,1.8440495,0.4864827107477714
Lapatinib,2.1428783,0.44935522557667146
Sorafenib,1.0530645,0.6344858995342594
Nilotinib,1.828422,0.6490572497923803
Tamoxifen,0.9066518,0.5153212527379942
Gemcitabine,6.704003,0.6002871605496989
Venetoclax,1.6310978,0.7073459238329867
Bortezomib,0.9901202,0.41663875413053936
Wee1 Inhibitor,1.5162282,0.6362688841646631
Osimertinib,1.259612,0.4891339637997902
AGI-5198,0.6879286,0.49452579112182793
Ipatasertib,1.7142348,0.4824698181918472
Erlotinib,1.1522417,0.49787226825378444
Sepantronium bromide,2.1419613,0.4256706928428539
Cediranib,1.2065889,0.38026180080543615
Buparlisib,0.6042219,0.5049807988397954
YK-4-279,1.8100325,0.6278087205622835
AZD8186,1.5861946,0.36329929987298665
UMI-77,1.5201334,0.4104907972934959
Cytarabine,2.8727856,0.6757894811520561
BPD-00008900,1.1094726,0.48449748760785694
MIM1,1.0776747,0.5082990055669679
Dactolisib,1.849977,0.4262634366971951
NVP-ADW742,1.7333721,0.4975683921828223
Gefitinib,1.2273887,0.48560178175261787
Telomerase Inhibitor IX,1.1697364,0.5626949283886326
GDC0810,0.76877904,0.49543236842877086
WEHI-539,2.4906862,0.5234242546641501
BDP-00009066,1.1556761,0.4692664595724298
Epirubicin,1.6529232,0.6230871189110623
GSK2578215A,0.7875731,0.5124335933597123
I-BRD9,1.0904882,0.6328551934372312
P22077,1.5675769,0.5446642500151712
AZD6738,1.524551,0.556383443886529
AZD5363,1.5478071,0.5146063861708574
BMS-536924,1.6127949,0.377682337030037
ABT737,2.2341793,0.6816641588469482
WIKI4,0.85141546,0.2617582252976777
Afuresertib,1.707956,0.5069310782163766
Savolitinib,1.2268158,0.4327530811908707
Navitoclax,2.8636115,0.5891217654126891
Cyclophosphamide,0.6625586,0.5375360097288745
MIRA-1,0.88380164,0.6644739523477603
Pyridostatin,1.2140898,0.53073146696245
Temozolomide,0.8997602,0.6505165056907497
Vinorelbine,2.7806263,0.6520647072399909
Vinblastine,2.9699376,0.6358639224433557
Pevonedistat,2.899114,0.6035530270297292
Foretinib,1.4120932,0.5293313904040277
BIBR-1532,0.87300324,0.5147928448057012
MK-8776,1.6393175,0.6388848379186925
Talazoparib,3.0372818,0.5933851902772569
AMG-319,0.8945713,0.6146146497922087
AZ6102,1.0915622,0.41435657414154137
VX-11e,1.4668598,0.5541844379260598
LJI308,0.8083241,0.557297231861731
AT13148,2.0130827,0.5263628506673177
Rapamycin,1.6701431,0.5398849065462062
GSK591,1.0907744,0.47139338512929707
VE821,1.5747083,0.6317852706226637
GNE-317,1.6272864,0.313979184973032
Crizotinib,1.7590948,0.5441205362626004
Entinostat,1.6564606,0.6003859320796429
Alisertib,3.255848,0.6275254872782916
Fludarabine,2.5789566,0.5668241154091785
Mitoxantrone,3.1717856,0.623294989599709
Niraparib,1.3428072,0.6651316807065495
JAK1_8709,1.1514521,0.5559507031686355
Leflunomide,0.6118559,0.5546786071641818
IRAK4_4710,0.9261343,0.40577834221415104
Entospletinib,1.3382143,0.4009881777434175
BMS-345541,1.0822896,0.614237534236971
Podophyllotoxin bromide,1.6172819,0.6028987883763391
Gallibiscoquinazole,0.63620144,0.5078461386520602
Sinularin,0.8411081,0.4748621613041759
PCI-34051,1.1440209,0.591435218427188
Carmustine,0.79806596,0.5444477040762282
Topotecan,2.6455896,0.5668990307126259
AGI-6780,0.85950226,0.5590245499877041
VSP34_8731,1.0035108,0.44273925370543626
MN-64,0.96859807,0.4417844534301972
ML323,0.8119946,0.5570642939956035
XAV939,0.8630652,0.34554514320166335
PFI3,0.6531952,0.5390151400207344
Zoledronate,0.6165526,0.6230654512517275
CZC24832,0.7829452,0.541953096002311
KRAS (G12C) Inhibitor-12,1.6470274,0.5869472581525427
ERK_2440,1.9084352,0.5045104331136295
Acetalax,3.0258567,0.612982023723736
LY2109761,0.7838316,0.4981658773394293
AZD1332,2.20189,0.3300114234748894
Mirin,1.1060506,0.5592153501748222
OTX015,2.770355,0.46690476071507364
