Task,Mean_MSE,Mean_Pearson
Oxaliplatin,1.4682417,0.6910216953639909
Ulixertinib,1.2229667,0.5308122805179304
Fulvestrant,0.68103534,0.5775685681662335
Uprosertib,2.0423632,0.5324328267934381
Dactinomycin,1.3683171,0.6027196899795523
Docetaxel,3.5229676,0.5532344668765695
Camptothecin,2.529542,0.5897902887955496
5-Fluorouracil,2.1260245,0.5864890213170296
Afatinib,1.8285866,0.46833834438640404
Taselisib,2.6167967,0.45301447655702204
PD0325901,1.6677485,0.657733137354417
Sapitinib,1.989499,0.5617323777043634
Alpelisib,1.7099456,0.45697762293329447
SCH772984,1.8931136,0.626718991559883
LGK974,0.78987473,0.5842632267054203
Luminespib,2.6417124,0.5217021900070207
Linsitinib,1.2055206,0.5589883499191958
GSK1904529A,0.926718,0.5238061631549694
EPZ5676,0.5993352,0.6409443910138285
EPZ004777,0.6042904,0.602848499437396
Irinotecan,2.3603613,0.6255237291001244
PLX-4720,1.5654864,0.47996007780869787
Nutlin-3a (-),1.5981733,0.7145892973857522
MG-132,0.61297727,0.42670492053496584
Staurosporine,1.5165588,0.49043474849740337
MK-2206,1.8718252,0.5379548267521891
Trametinib,2.6326535,0.6944014551460427
Palbociclib,1.5954133,0.6296969371091036
MK-1775,1.2328359,0.6253974220552544
Cisplatin,2.1836667,0.6488004354336544
Pictilisib,1.5162101,0.3815812278032504
AZD7762,1.4688014,0.584391432177357
Olaparib,1.0926529,0.6101760907075723
Dasatinib,3.2972298,0.5943815696163711
AZD3759,0.84986734,0.48033716690822725
PD173074,1.4881439,0.5236033428448309
Vorinostat,0.72373295,0.6590137954484345
Dabrafenib,2.0320814,0.6102269165888882
Paclitaxel,2.9632227,0.5981371493565608
AZD4547,1.8294773,0.4872976405871337
Lapatinib,2.114594,0.45199227518140733
Sorafenib,1.0526689,0.6359422221664464
Nilotinib,1.8035372,0.6537927751028262
Tamoxifen,0.89185613,0.5118174713910619
Gemcitabine,6.6549573,0.5993977699750641
Venetoclax,1.645881,0.7034056156020103
Bortezomib,0.9300918,0.44668096265056106
Wee1 Inhibitor,1.5217199,0.6342624178389803
Osimertinib,1.2669743,0.48551960315853976
AGI-5198,0.61908686,0.5325179709392952
Ipatasertib,1.724329,0.47163129665391884
Erlotinib,1.1541657,0.48673224896193235
Sepantronium bromide,2.1337593,0.4218786977856394
Cediranib,1.2321411,0.3578448496261777
Buparlisib,0.59803724,0.502945436139077
YK-4-279,1.8109199,0.6273861495638782
AZD8186,1.5598454,0.35457697371320007
UMI-77,1.5157324,0.4104479800815191
Cytarabine,2.8349226,0.6750511325102675
