Drug,MSE_gene
Oxaliplatin,1.8477689
Ulixertinib,1.3259366
Fulvestrant,0.766315
Uprosertib,2.146785
Dactinomycin,1.4678549
Docetaxel,3.7707691
Camptothecin,2.6822603
5-Fluorouracil,2.469741
Afatinib,1.7931322
Taselisib,2.4875536
PD0325901,1.8100495
Sapitinib,2.0638309
Alpelisib,1.7914222
SCH772984,1.8228197
LGK974,0.85397315
Luminespib,2.5107803
Linsitinib,1.3199424
GSK1904529A,1.0846143
EPZ5676,0.71234405
EPZ004777,0.72675115
Irinotecan,2.4248433
PLX-4720,1.9444262
Nutlin-3a (-),1.718657
MG-132,0.5675591
Staurosporine,1.43396
MK-2206,1.851826
Trametinib,2.5066295
Palbociclib,1.6182766
MK-1775,1.0714462
Cisplatin,2.1550725
Pictilisib,1.4849201
AZD7762,1.4943192
Olaparib,1.2433556
Dasatinib,3.271751
AZD3759,0.80389804
PD173074,1.7684488
Vorinostat,0.7628091
Dabrafenib,2.0958729
Paclitaxel,2.9340758
AZD4547,2.1915262
Lapatinib,2.1502604
Sorafenib,1.1612349
Nilotinib,1.9487076
Tamoxifen,0.9293665
Gemcitabine,6.8145614
Venetoclax,2.0792456
Bortezomib,0.88806105
Wee1 Inhibitor,1.6858315
Osimertinib,1.0952693
AGI-5198,0.6672502
Ipatasertib,1.5556599
Erlotinib,1.0470523
Sepantronium bromide,1.8024734
Cediranib,1.4259449
Buparlisib,0.5592724
YK-4-279,1.6994005
AZD8186,1.5295906
UMI-77,1.4691869
Cytarabine,2.8030958
BPD-00008900,1.1698226
MIM1,0.9399948
Dactolisib,1.8560259
NVP-ADW742,1.7636828
Gefitinib,1.3061789
Telomerase Inhibitor IX,1.0621322
GDC0810,0.8197355
WEHI-539,2.4740949
BDP-00009066,1.0838113
Epirubicin,1.62097
GSK2578215A,0.8143642
I-BRD9,1.1917179
P22077,1.397008
AZD6738,1.503919
AZD5363,1.4545138
BMS-536924,1.4894624
ABT737,2.5722597
WIKI4,0.8447412
Afuresertib,1.5903121
Savolitinib,1.3293686
Navitoclax,2.7808607
Cyclophosphamide,0.66572076
MIRA-1,0.9240786
Pyridostatin,1.1963743
Temozolomide,0.93124723
Vinorelbine,2.7514608
Vinblastine,3.1924014
Pevonedistat,2.944404
Foretinib,1.3571732
BIBR-1532,1.0159404
MK-8776,1.6569499
Talazoparib,3.022729
AMG-319,0.8786456
AZ6102,0.9780145
VX-11e,1.4805728
LJI308,0.6811691
AT13148,1.9472036
Rapamycin,1.6747063
GSK591,1.0533881
VE821,1.610775
GNE-317,1.739842
Crizotinib,1.8946466
Entinostat,1.892714
Alisertib,3.5177402
Fludarabine,2.5145984
Mitoxantrone,3.536659
Niraparib,1.4204758
JAK1_8709,1.136681
Leflunomide,0.6220865
IRAK4_4710,0.9744583
Entospletinib,1.343406
BMS-345541,1.0857815
Podophyllotoxin bromide,1.7164938
Gallibiscoquinazole,0.6401388
Sinularin,0.897901
PCI-34051,1.2516735
Carmustine,0.89280593
Topotecan,2.6718552
AGI-6780,0.9592707
VSP34_8731,1.1962744
MN-64,1.0754219
ML323,0.8771873
XAV939,0.91576284
PFI3,0.7290961
Zoledronate,0.6630723
CZC24832,0.8289375
KRAS (G12C) Inhibitor-12,1.6160161
ERK_2440,1.8921257
Acetalax,2.9740074
LY2109761,0.8320428
AZD1332,2.105995
Mirin,1.0451871
OTX015,2.6128638
Wnt-C59,0.9888282
PRIMA-1MET,2.6263463
PRT062607,1.7446945
AZD5438,1.811671
Obatoclax Mesylate,1.1046709
AZD2014,2.1737354
OF-1,1.3415138
Selumetinib,2.203881
WZ4003,1.7792386
Teniposide,2.1650505
Picolinici-acid,0.62832534
JAK_8517,2.225997
Elephantin,1.4796499
Ruxolitinib,0.9726965
VE-822,2.1802678
ERK_6604,1.5837599
IWP-2,0.6588692
PAK_5339,0.7529992
RVX-208,0.96698004
TAF1_5496,2.0801592
Dinaciclib,1.8146338
Nelarabine,0.78716964
IGF1R_3801,2.7193642
GSK343,0.67363507
CDK9_5576,1.7679392
LCL161,1.0840327
I-BET-762,1.6354288
AZD5153,2.6953712
CDK9_5038,2.726715
AZD1208,0.76628387
Dihydrorotenone,2.3305113
ULK1_4989,1.8041683
Sabutoclax,1.0158738
AZ960,2.1343377
IAP_5620,1.7178364
Ibrutinib,2.1255155
AZD5991,3.7217934
Eg5_9814,2.2465236
Vincristine,4.362927
GSK2606414,1.1491879
AZD5582,4.2020817
Daporinad,2.491621
OSI-027,1.6706487
AZD8055,2.0924876
SB216763,1.5138608
Axitinib,1.7575517
RO-3306,0.9816428
Tozasertib,1.7833768
GSK269962A,1.3859324
KU-55933,1.0654109
PF-4708671,1.0154033
AZD6482,1.9200841
ZM447439,0.8221106
JQ1,3.6810687
NU7441,1.0919044
SB505124,2.8871827
Ribociclib,1.3339105
Doramapimod,1.1053227
BMS-754807,3.640317
BI-2536,3.147836
Cetuximab,0.86575437
Doxorubicin,1.3919204
Etoposide,2.9618757
Bleomycin,4.5223513
Bicalutamide,0.41065025
Bleomycin (50 uM),2.5061214
Pemetrexed,2.5929372
AICA Ribonucleotide,1.2923278
