Drug,MSE_gene
Oxaliplatin,1.85559
Ulixertinib,1.3061622
Fulvestrant,0.7573061
Uprosertib,2.2119353
Dactinomycin,1.4602777
Docetaxel,3.9193826
Camptothecin,2.79652
5-Fluorouracil,2.4445162
Afatinib,1.727846
Taselisib,2.6396978
PD0325901,1.8040444
Sapitinib,2.0424874
Alpelisib,1.8160055
SCH772984,1.8280026
LGK974,0.8367965
Luminespib,2.6160998
Linsitinib,1.2522548
GSK1904529A,0.99978226
EPZ5676,0.5746363
EPZ004777,0.6366376
Irinotecan,2.4615824
PLX-4720,1.8038002
Nutlin-3a (-),1.7720304
MG-132,0.5772686
Staurosporine,1.4143986
MK-2206,1.8889797
Trametinib,2.5959296
Palbociclib,1.6177402
MK-1775,1.0911337
Cisplatin,2.1988153
Pictilisib,1.5380764
AZD7762,1.4990494
Olaparib,1.2399678
Dasatinib,3.2992039
AZD3759,0.7693229
PD173074,1.7868817
Vorinostat,0.7274
Dabrafenib,2.051473
Paclitaxel,3.0860133
AZD4547,2.2113454
Lapatinib,2.1391246
Sorafenib,1.1276289
Nilotinib,1.9236624
Tamoxifen,0.94630545
Gemcitabine,6.8685994
Venetoclax,2.051551
Bortezomib,0.9033176
Wee1 Inhibitor,1.6721346
Osimertinib,1.0893166
AGI-5198,0.6095768
Ipatasertib,1.6420928
Erlotinib,1.0120875
Sepantronium bromide,1.795607
Cediranib,1.5124105
Buparlisib,0.5766088
YK-4-279,1.7608225
AZD8186,1.4847356
UMI-77,1.488043
Cytarabine,2.8586993
BPD-00008900,1.0582727
MIM1,0.8820197
Dactolisib,1.9753788
NVP-ADW742,1.7523828
Gefitinib,1.2279108
Telomerase Inhibitor IX,1.1162786
GDC0810,0.7807396
WEHI-539,2.4763863
BDP-00009066,1.080398
Epirubicin,1.6448914
GSK2578215A,0.7480107
I-BRD9,1.1490892
P22077,1.3971845
AZD6738,1.5221503
AZD5363,1.4889141
BMS-536924,1.4344383
ABT737,2.557226
WIKI4,0.7996859
Afuresertib,1.6113778
Savolitinib,1.2995701
Navitoclax,2.7612486
Cyclophosphamide,0.6276585
MIRA-1,0.8371301
Pyridostatin,1.199236
Temozolomide,0.9026185
Vinorelbine,2.8238783
Vinblastine,3.2487562
Pevonedistat,3.005676
Foretinib,1.3261852
BIBR-1532,0.92076284
MK-8776,1.6513331
Talazoparib,3.096861
AMG-319,0.835812
AZ6102,0.9524044
VX-11e,1.4682491
LJI308,0.5832601
AT13148,1.8804817
Rapamycin,1.7227161
GSK591,0.9253026
VE821,1.5303203
GNE-317,1.8148983
Crizotinib,1.8533324
Entinostat,1.8800151
Alisertib,3.478453
Fludarabine,2.394057
Mitoxantrone,3.5794017
Niraparib,1.3454295
JAK1_8709,1.0879391
Leflunomide,0.53399086
IRAK4_4710,0.9143021
Entospletinib,1.2432337
BMS-345541,1.0436708
Podophyllotoxin bromide,1.7632378
Gallibiscoquinazole,0.63328314
Sinularin,0.8312543
PCI-34051,1.1540669
Carmustine,0.7598899
Topotecan,2.8216534
AGI-6780,0.90992916
VSP34_8731,1.1393957
MN-64,0.9855443
ML323,0.8054733
XAV939,0.8570176
PFI3,0.5829104
Zoledronate,0.562945
CZC24832,0.69921714
KRAS (G12C) Inhibitor-12,1.6402082
ERK_2440,1.8881687
Acetalax,2.9134395
LY2109761,0.7522683
AZD1332,2.006296
Mirin,0.9818699
OTX015,2.5635176
Wnt-C59,0.9112724
PRIMA-1MET,2.5285327
PRT062607,1.6608777
AZD5438,1.7675132
Obatoclax Mesylate,1.1076525
AZD2014,2.1023366
OF-1,1.3341848
Selumetinib,2.169827
WZ4003,1.649538
Teniposide,2.3193545
Picolinici-acid,0.5197554
JAK_8517,2.1829522
Elephantin,1.4653065
Ruxolitinib,0.8327629
VE-822,2.107216
ERK_6604,1.4861473
IWP-2,0.6306028
PAK_5339,0.7511796
RVX-208,0.8588243
TAF1_5496,2.0692194
Dinaciclib,1.8230067
Nelarabine,0.6145919
IGF1R_3801,2.6500852
GSK343,0.6321843
CDK9_5576,1.7527944
LCL161,0.9380423
I-BET-762,1.5807465
AZD5153,2.7161357
CDK9_5038,2.7813663
AZD1208,0.6687144
Dihydrorotenone,2.3946397
ULK1_4989,1.8697315
Sabutoclax,1.0502845
AZ960,2.1736786
IAP_5620,1.715576
Ibrutinib,2.081765
AZD5991,3.717231
Eg5_9814,2.247276
Vincristine,4.470614
GSK2606414,1.056289
AZD5582,4.081491
Daporinad,2.4817708
OSI-027,1.6744741
AZD8055,2.4141996
SB216763,1.5986718
Axitinib,1.9262471
RO-3306,0.95996195
Tozasertib,2.1074042
GSK269962A,1.3437103
KU-55933,1.0607588
PF-4708671,0.88305575
AZD6482,1.83439
ZM447439,1.0925921
JQ1,3.98741
NU7441,0.95295954
SB505124,3.0514524
Ribociclib,1.7389789
Doramapimod,0.9000628
BMS-754807,3.4585257
BI-2536,3.244682
Cetuximab,0.7283437
Doxorubicin,1.4093
Etoposide,3.1125405
Bleomycin,4.7426133
Bicalutamide,0.3929153
Bleomycin (50 uM),2.591862
Pemetrexed,2.595343
AICA Ribonucleotide,1.1108235
