Drug,corr_gene
Oxaliplatin,0.6473041256822538
Ulixertinib,0.5022400779933368
Fulvestrant,0.5753180835367109
Uprosertib,0.5158754348428713
Dactinomycin,0.5809210531972245
Docetaxel,0.5199996140972301
Camptothecin,0.5827578873163664
5-Fluorouracil,0.6023735324737494
Afatinib,0.48656896596582866
Taselisib,0.46373903991940213
PD0325901,0.6552509136974605
Sapitinib,0.5540451322637283
Alpelisib,0.421774553066114
SCH772984,0.6507894599770339
LGK974,0.5691514150331758
Luminespib,0.48782690074167656
Linsitinib,0.5491071724155232
GSK1904529A,0.5160676836889386
EPZ5676,0.6540924169373229
EPZ004777,0.6017784626722656
Irinotecan,0.6341432160621061
PLX-4720,0.399090114258559
Nutlin-3a (-),0.6937136775733648
MG-132,0.4522451948999166
Staurosporine,0.4684005122799621
MK-2206,0.5128485632351236
Trametinib,0.6840962395907584
Palbociclib,0.5877274975959034
MK-1775,0.6667815115691327
Cisplatin,0.6594540580888032
Pictilisib,0.3438759194890743
AZD7762,0.5867531828905466
Olaparib,0.5644115471808945
Dasatinib,0.5670071268348985
AZD3759,0.5119399440272577
PD173074,0.431589287411007
Vorinostat,0.6584167867515218
Dabrafenib,0.5844211986359584
Paclitaxel,0.5959707960619134
AZD4547,0.4132447118954503
Lapatinib,0.44918192982434596
Sorafenib,0.6193100286421962
Nilotinib,0.678929852094682
Tamoxifen,0.49651046563586587
Gemcitabine,0.6001560591800712
Venetoclax,0.6668267676372599
Bortezomib,0.44737574757116855
Wee1 Inhibitor,0.640008549627924
Osimertinib,0.5223431258321728
AGI-5198,0.523814135045775
Ipatasertib,0.4621688991167996
Erlotinib,0.571156133935952
Sepantronium bromide,0.49430777579779944
Cediranib,0.28296144392014666
Buparlisib,0.5056521719185232
YK-4-279,0.6431841354668913
AZD8186,0.3570783386284899
UMI-77,0.3757732624032636
Cytarabine,0.6834222925180113
BPD-00008900,0.49130172521396676
MIM1,0.5564902941562977
Dactolisib,0.3371591111806531
NVP-ADW742,0.4883697723304017
Gefitinib,0.4551638423748685
Telomerase Inhibitor IX,0.5677266160045542
GDC0810,0.49667805078402266
WEHI-539,0.5424862644873087
BDP-00009066,0.49969456644011134
Epirubicin,0.6283208752444935
GSK2578215A,0.5216725909736025
I-BRD9,0.5983650039242978
P22077,0.5635388704225932
AZD6738,0.567037810311368
AZD5363,0.4974428477976055
BMS-536924,0.41820494858548096
ABT737,0.6659163616249275
WIKI4,0.2993321793790185
Afuresertib,0.48429998360302395
Savolitinib,0.42430594886924866
Navitoclax,0.6072726328905131
Cyclophosphamide,0.5622364815285346
MIRA-1,0.6717383868846752
Pyridostatin,0.4946710193646526
Temozolomide,0.6944329754942198
Vinorelbine,0.6511431387891631
Vinblastine,0.6306367921220626
Pevonedistat,0.5955384216496367
Foretinib,0.5598284636722299
BIBR-1532,0.5266138356897382
MK-8776,0.6518003879827845
Talazoparib,0.572576892929451
AMG-319,0.6643947558074307
AZ6102,0.4772209718593268
VX-11e,0.5617705015067296
LJI308,0.6476475546238025
AT13148,0.5250474075994007
Rapamycin,0.5174000927194289
GSK591,0.5210899260660611
VE821,0.6675924248120562
GNE-317,0.19851079863044174
Crizotinib,0.5588688082222255
Entinostat,0.5489811134158976
Alisertib,0.628558117211502
Fludarabine,0.6208068820553261
Mitoxantrone,0.5926381098441007
Niraparib,0.6503119322266138
JAK1_8709,0.5604787594780827
Leflunomide,0.5940767553776054
IRAK4_4710,0.3933383619610469
Entospletinib,0.43645910311134206
