Drug,MSE_gene
Oxaliplatin,1.8240077
Ulixertinib,1.3080165
Fulvestrant,0.78587985
Uprosertib,2.172151
Dactinomycin,1.3873032
Docetaxel,3.5770116
Camptothecin,2.6088042
5-Fluorouracil,2.4444668
Afatinib,1.7273397
Taselisib,2.540819
PD0325901,1.8678285
Sapitinib,1.9965423
Alpelisib,1.7674129
SCH772984,1.861079
LGK974,0.8270919
Luminespib,2.551787
Linsitinib,1.2637346
GSK1904529A,1.0643141
EPZ5676,0.68541586
EPZ004777,0.70759296
Irinotecan,2.4501064
PLX-4720,1.8864543
Nutlin-3a (-),1.7170221
MG-132,0.568114
Staurosporine,1.469028
MK-2206,1.8529023
Trametinib,2.6054435
Palbociclib,1.5745043
MK-1775,1.0600417
Cisplatin,2.1838863
Pictilisib,1.4419248
AZD7762,1.4504365
Olaparib,1.3134049
Dasatinib,3.0701165
AZD3759,0.82897174
PD173074,1.7238365
Vorinostat,0.7244173
Dabrafenib,1.9916544
Paclitaxel,2.9049127
AZD4547,2.1596417
Lapatinib,2.10806
Sorafenib,1.1282129
Nilotinib,1.9183476
Tamoxifen,0.9280677
Gemcitabine,6.901287
Venetoclax,2.0781193
Bortezomib,0.9165509
Wee1 Inhibitor,1.719134
Osimertinib,1.1039082
AGI-5198,0.65762657
Ipatasertib,1.5766025
Erlotinib,1.1210551
Sepantronium bromide,1.7008346
Cediranib,1.3879883
Buparlisib,0.5625497
YK-4-279,1.6872792
AZD8186,1.6200212
UMI-77,1.4784218
Cytarabine,2.747851
BPD-00008900,1.1141756
MIM1,0.9303225
Dactolisib,1.8274491
NVP-ADW742,1.7271992
Gefitinib,1.2424561
Telomerase Inhibitor IX,1.0661715
GDC0810,0.81229275
WEHI-539,2.343563
BDP-00009066,1.1142892
Epirubicin,1.5874292
GSK2578215A,0.7976236
I-BRD9,1.196231
P22077,1.4431608
AZD6738,1.4446375
AZD5363,1.4330337
BMS-536924,1.5153978
ABT737,2.4858592
WIKI4,0.82421553
Afuresertib,1.5156112
Savolitinib,1.3625823
Navitoclax,2.7299755
Cyclophosphamide,0.6667539
MIRA-1,0.92710793
Pyridostatin,1.1770117
Temozolomide,0.95227957
Vinorelbine,2.7194755
Vinblastine,3.0698116
Pevonedistat,2.9333723
Foretinib,1.3201847
BIBR-1532,1.0150664
MK-8776,1.6059264
Talazoparib,3.185028
AMG-319,0.8735597
AZ6102,1.0155919
VX-11e,1.4899118
LJI308,0.6830557
AT13148,1.9923677
Rapamycin,1.710009
GSK591,1.1022022
VE821,1.6119727
GNE-317,1.7366903
Crizotinib,1.8169036
Entinostat,1.9311714
Alisertib,3.4022267
Fludarabine,2.499497
Mitoxantrone,3.4300897
Niraparib,1.4435568
JAK1_8709,1.1145827
Leflunomide,0.57696277
IRAK4_4710,0.9439523
Entospletinib,1.3351674
BMS-345541,1.1056452
Podophyllotoxin bromide,1.7541935
Gallibiscoquinazole,0.64490867
Sinularin,0.88446176
PCI-34051,1.2432379
Carmustine,0.87699133
Topotecan,2.76158
AGI-6780,0.9818577
VSP34_8731,1.1967032
MN-64,1.0800912
ML323,0.8647181
XAV939,0.92209667
PFI3,0.68324065
Zoledronate,0.65473545
CZC24832,0.81858104
KRAS (G12C) Inhibitor-12,1.66439
ERK_2440,1.9155406
Acetalax,2.9644384
LY2109761,0.83624107
AZD1332,2.0868695
Mirin,1.0937963
OTX015,2.6443036
Wnt-C59,0.991505
PRIMA-1MET,2.5572414
PRT062607,1.676498
AZD5438,1.7718171
Obatoclax Mesylate,1.1206437
AZD2014,2.183146
OF-1,1.3720455
Selumetinib,2.1611862
WZ4003,1.779342
Teniposide,2.1698825
Picolinici-acid,0.6002518
JAK_8517,2.2041547
Elephantin,1.5058522
Ruxolitinib,0.9154318
VE-822,2.2006557
ERK_6604,1.5667561
IWP-2,0.648332
PAK_5339,0.774881
RVX-208,0.9506551
TAF1_5496,2.102243
Dinaciclib,1.8256472
Nelarabine,0.7892779
IGF1R_3801,2.7034812
GSK343,0.6989206
CDK9_5576,1.7327901
LCL161,1.0323421
I-BET-762,1.708413
AZD5153,2.7364998
CDK9_5038,2.7191892
AZD1208,0.77252823
Dihydrorotenone,2.3768604
ULK1_4989,1.835762
Sabutoclax,1.0147828
AZ960,2.0808828
IAP_5620,1.7282159
Ibrutinib,2.0852787
AZD5991,3.7732434
Eg5_9814,2.1999626
Vincristine,4.2726126
GSK2606414,1.1471504
AZD5582,4.1023455
Daporinad,2.3751972
OSI-027,1.6215161
AZD8055,2.1407044
SB216763,1.5875015
Axitinib,1.7004274
RO-3306,1.2934395
Tozasertib,1.7627592
GSK269962A,1.2988871
KU-55933,0.9659556
PF-4708671,1.0509907
AZD6482,1.952212
ZM447439,0.83721566
JQ1,4.1067896
NU7441,1.1797435
SB505124,2.8805718
Ribociclib,1.1169294
Doramapimod,0.8918705
BMS-754807,3.8277354
BI-2536,2.970308
Cetuximab,0.80466807
Doxorubicin,1.3773377
Etoposide,3.013702
Bleomycin,4.586035
Bicalutamide,0.41670775
Bleomycin (50 uM),2.5928328
Pemetrexed,2.5416017
AICA Ribonucleotide,1.2234169
