Drug,MSE_gene
Oxaliplatin,1.8850732
Ulixertinib,1.2519612
Fulvestrant,0.7819292
Uprosertib,2.247252
Dactinomycin,1.5239732
Docetaxel,3.9301808
Camptothecin,2.709355
5-Fluorouracil,2.536947
Afatinib,1.7268332
Taselisib,2.6530638
PD0325901,1.9734422
Sapitinib,1.9952596
Alpelisib,1.7794361
SCH772984,1.9098583
LGK974,0.8479578
Luminespib,2.7482736
Linsitinib,1.254923
GSK1904529A,1.0326389
EPZ5676,0.5902132
EPZ004777,0.63468236
Irinotecan,2.5932577
PLX-4720,1.8557411
Nutlin-3a (-),1.8007246
MG-132,0.6141963
Staurosporine,1.5138421
MK-2206,1.9013625
Trametinib,2.7559114
Palbociclib,1.5848931
MK-1775,1.1808038
Cisplatin,2.1688612
Pictilisib,1.4915813
AZD7762,1.562659
Olaparib,1.3233913
Dasatinib,3.1565595
AZD3759,0.79382765
PD173074,1.7971959
Vorinostat,0.735152
Dabrafenib,1.991954
Paclitaxel,3.2743669
AZD4547,2.2804356
Lapatinib,2.1626017
Sorafenib,1.1884975
Nilotinib,1.8766495
Tamoxifen,0.9479678
Gemcitabine,6.867961
Venetoclax,2.12176
Bortezomib,0.9673006
Wee1 Inhibitor,1.768283
Osimertinib,1.0948845
AGI-5198,0.59546584
Ipatasertib,1.5767645
Erlotinib,1.0909691
Sepantronium bromide,1.7360115
Cediranib,1.484401
Buparlisib,0.65878224
YK-4-279,1.9047681
AZD8186,1.5697522
UMI-77,1.4582783
Cytarabine,2.755996
BPD-00008900,1.0401919
MIM1,0.88626796
Dactolisib,1.9547533
NVP-ADW742,1.6625845
Gefitinib,1.1800265
Telomerase Inhibitor IX,1.1446882
GDC0810,0.7589573
WEHI-539,2.5457108
BDP-00009066,1.0819569
Epirubicin,1.6563343
GSK2578215A,0.75047344
I-BRD9,1.1340799
P22077,1.4205786
AZD6738,1.5114619
AZD5363,1.4671006
BMS-536924,1.4511995
ABT737,2.5579545
WIKI4,0.8371763
Afuresertib,1.6079261
Savolitinib,1.3477834
Navitoclax,2.7794101
Cyclophosphamide,0.5926326
MIRA-1,0.7908956
Pyridostatin,1.2453408
Temozolomide,0.9291628
Vinorelbine,2.8728256
Vinblastine,3.3293126
Pevonedistat,3.2070348
Foretinib,1.3105141
BIBR-1532,0.980752
MK-8776,1.6553236
Talazoparib,3.2610445
AMG-319,0.8983744
AZ6102,1.0037732
VX-11e,1.4186804
LJI308,0.5802447
AT13148,1.8114237
Rapamycin,1.719343
GSK591,0.9361475
VE821,1.5249794
GNE-317,1.8292544
Crizotinib,1.9158193
Entinostat,1.9078354
Alisertib,3.5685158
Fludarabine,2.3457026
Mitoxantrone,3.6593778
Niraparib,1.410146
JAK1_8709,1.1676466
Leflunomide,0.56540865
IRAK4_4710,0.93344545
Entospletinib,1.3211904
BMS-345541,1.0752372
Podophyllotoxin bromide,1.8855069
Gallibiscoquinazole,0.6569814
Sinularin,0.8452482
PCI-34051,1.0988277
Carmustine,0.76088333
Topotecan,2.8025014
AGI-6780,0.92039365
VSP34_8731,1.1719258
MN-64,0.96747404
ML323,0.7954851
XAV939,0.8412013
PFI3,0.5264824
Zoledronate,0.57511085
CZC24832,0.6626082
KRAS (G12C) Inhibitor-12,1.6031489
ERK_2440,1.9963722
Acetalax,2.9818943
LY2109761,0.71555644
AZD1332,1.9847782
Mirin,1.0487051
OTX015,2.5388637
Wnt-C59,0.9353205
PRIMA-1MET,2.5047188
PRT062607,1.5848461
AZD5438,1.7234558
Obatoclax Mesylate,1.1237787
AZD2014,2.1350646
OF-1,1.3146346
Selumetinib,2.200943
WZ4003,1.6334366
Teniposide,2.4106193
Picolinici-acid,0.4751028
JAK_8517,2.2862887
Elephantin,1.4571223
Ruxolitinib,0.84304565
VE-822,2.2268631
ERK_6604,1.5837685
IWP-2,0.6171576
PAK_5339,0.75604093
RVX-208,0.79730463
TAF1_5496,2.0702243
Dinaciclib,1.8481622
Nelarabine,0.59838396
IGF1R_3801,2.770705
GSK343,0.6159161
CDK9_5576,1.7567866
LCL161,0.89486825
I-BET-762,1.6195751
AZD5153,2.8279333
CDK9_5038,2.7691221
AZD1208,0.6663173
Dihydrorotenone,2.3374317
ULK1_4989,1.8717519
Sabutoclax,1.0539846
AZ960,2.2055204
IAP_5620,1.7283396
Ibrutinib,2.048897
AZD5991,3.7928555
Eg5_9814,2.3385837
Vincristine,4.4875746
GSK2606414,1.0700706
AZD5582,4.0804358
Daporinad,2.5512512
OSI-027,1.5913368
AZD8055,2.4100208
SB216763,1.6623992
Axitinib,1.6927472
RO-3306,0.9146597
Tozasertib,2.1966758
GSK269962A,1.069386
KU-55933,1.455467
PF-4708671,0.9169699
AZD6482,1.5877682
ZM447439,1.1093502
JQ1,3.957053
NU7441,1.1511476
SB505124,2.6614296
Ribociclib,1.8753585
Doramapimod,1.0665244
BMS-754807,4.1106563
BI-2536,3.4311163
Cetuximab,0.8405054
Doxorubicin,1.3992769
Etoposide,3.1069157
Bleomycin,4.7024927
Bicalutamide,0.44174367
Bleomycin (50 uM),2.5694518
Pemetrexed,2.62281
AICA Ribonucleotide,1.3026736
