Drug,MSE_gene
Oxaliplatin,1.8091279
Ulixertinib,1.3124623
Fulvestrant,0.7950505
Uprosertib,2.145352
Dactinomycin,1.4084871
Docetaxel,3.652127
Camptothecin,2.6749063
5-Fluorouracil,2.4168875
Afatinib,1.7219433
Taselisib,2.5320969
PD0325901,1.8712965
Sapitinib,2.0074162
Alpelisib,1.7587702
SCH772984,1.8478076
LGK974,0.8152795
Luminespib,2.5574727
Linsitinib,1.2631544
GSK1904529A,1.0675844
EPZ5676,0.6713591
EPZ004777,0.70908695
Irinotecan,2.460273
PLX-4720,1.8832345
Nutlin-3a (-),1.718473
MG-132,0.553218
Staurosporine,1.484593
MK-2206,1.8525486
Trametinib,2.5977435
Palbociclib,1.571185
MK-1775,1.0735407
Cisplatin,2.166244
Pictilisib,1.4518597
AZD7762,1.4546862
Olaparib,1.2908447
Dasatinib,3.057078
AZD3759,0.8345127
PD173074,1.74271
Vorinostat,0.72696966
Dabrafenib,2.0181637
Paclitaxel,2.9294405
AZD4547,2.188681
Lapatinib,2.1194227
Sorafenib,1.1350166
Nilotinib,1.8952944
Tamoxifen,0.93008065
Gemcitabine,6.911897
Venetoclax,2.0893455
Bortezomib,0.9053376
Wee1 Inhibitor,1.7428188
Osimertinib,1.0968355
AGI-5198,0.6543501
Ipatasertib,1.565553
Erlotinib,1.1159546
Sepantronium bromide,1.6753454
Cediranib,1.3957881
Buparlisib,0.5651598
YK-4-279,1.6837533
AZD8186,1.6163807
UMI-77,1.4687728
Cytarabine,2.752233
BPD-00008900,1.1128887
MIM1,0.9223396
Dactolisib,1.82139
NVP-ADW742,1.7512807
Gefitinib,1.2287948
Telomerase Inhibitor IX,1.0732896
GDC0810,0.80124617
WEHI-539,2.3438668
BDP-00009066,1.1269736
Epirubicin,1.5989473
GSK2578215A,0.80384636
I-BRD9,1.1802776
P22077,1.4305432
AZD6738,1.4502339
AZD5363,1.445203
BMS-536924,1.5221031
ABT737,2.4912634
WIKI4,0.82883424
Afuresertib,1.5079397
Savolitinib,1.3548374
Navitoclax,2.7238896
Cyclophosphamide,0.65249795
MIRA-1,0.9125035
Pyridostatin,1.1563649
Temozolomide,0.96757305
Vinorelbine,2.73585
Vinblastine,3.096321
Pevonedistat,2.923411
Foretinib,1.3005971
BIBR-1532,1.0187104
MK-8776,1.5915748
Talazoparib,3.1674783
AMG-319,0.88323945
AZ6102,1.0099888
VX-11e,1.4958656
LJI308,0.6698702
AT13148,1.9883229
Rapamycin,1.7229406
GSK591,1.0717192
VE821,1.5992543
GNE-317,1.750704
Crizotinib,1.8270886
Entinostat,1.9184916
Alisertib,3.4194653
Fludarabine,2.4631824
Mitoxantrone,3.4316301
Niraparib,1.4249796
JAK1_8709,1.1008376
Leflunomide,0.5750223
IRAK4_4710,0.932015
Entospletinib,1.3220769
BMS-345541,1.0900518
Podophyllotoxin bromide,1.7629311
Gallibiscoquinazole,0.6495495
Sinularin,0.8834062
PCI-34051,1.2349381
Carmustine,0.88201
Topotecan,2.78025
AGI-6780,0.97955394
VSP34_8731,1.1905398
MN-64,1.0615734
ML323,0.8786773
XAV939,0.90484047
PFI3,0.67114854
Zoledronate,0.6542346
CZC24832,0.80945414
KRAS (G12C) Inhibitor-12,1.6513315
ERK_2440,1.9143735
Acetalax,2.9789066
LY2109761,0.82860225
AZD1332,2.0925615
Mirin,1.0803535
OTX015,2.6162207
Wnt-C59,1.0022718
PRIMA-1MET,2.5324752
PRT062607,1.6704613
AZD5438,1.767008
Obatoclax Mesylate,1.1218908
AZD2014,2.165667
OF-1,1.3618613
Selumetinib,2.1787586
WZ4003,1.7622417
Teniposide,2.2025018
Picolinici-acid,0.5891844
JAK_8517,2.2186172
Elephantin,1.4974474
Ruxolitinib,0.9167095
VE-822,2.1735516
ERK_6604,1.5589681
IWP-2,0.65231997
PAK_5339,0.7715105
RVX-208,0.9464672
TAF1_5496,2.1012673
Dinaciclib,1.849181
Nelarabine,0.78791285
IGF1R_3801,2.6850486
GSK343,0.70452267
CDK9_5576,1.7094951
LCL161,1.0272706
I-BET-762,1.6910037
AZD5153,2.7042563
CDK9_5038,2.7011275
AZD1208,0.7797165
Dihydrorotenone,2.3652678
ULK1_4989,1.8311116
Sabutoclax,1.0250734
AZ960,2.0855467
IAP_5620,1.710477
Ibrutinib,2.099963
AZD5991,3.7903132
Eg5_9814,2.1882832
Vincristine,4.276554
GSK2606414,1.1342555
AZD5582,4.089592
Daporinad,2.416348
OSI-027,1.5981598
AZD8055,2.0805387
SB216763,1.6943384
Axitinib,1.8313085
RO-3306,1.3310043
Tozasertib,1.8226124
GSK269962A,1.332784
KU-55933,1.2027135
PF-4708671,0.888458
AZD6482,1.6702912
ZM447439,0.9634426
JQ1,4.2453413
NU7441,1.3109651
SB505124,2.7799988
Ribociclib,1.2339082
Doramapimod,1.0610516
BMS-754807,3.9225287
BI-2536,3.0333078
Cetuximab,0.81682533
Doxorubicin,1.3929803
Etoposide,3.0175428
Bleomycin,4.5437403
Bicalutamide,0.43019506
Bleomycin (50 uM),2.5791693
Pemetrexed,2.5629394
AICA Ribonucleotide,1.289538
