Drug,MSE_gene
Oxaliplatin,1.8941026
Ulixertinib,1.3692853
Fulvestrant,0.76445645
Uprosertib,2.152702
Dactinomycin,1.4315778
Docetaxel,3.7662518
Camptothecin,2.7190151
5-Fluorouracil,2.5387118
Afatinib,1.739342
Taselisib,2.5521631
PD0325901,1.9107738
Sapitinib,2.057903
Alpelisib,1.7971611
SCH772984,1.9089565
LGK974,0.8220346
Luminespib,2.4993975
Linsitinib,1.2770861
GSK1904529A,1.0992459
EPZ5676,0.7291468
EPZ004777,0.76042753
Irinotecan,2.4514086
PLX-4720,1.8447175
Nutlin-3a (-),1.7121425
MG-132,0.5806595
Staurosporine,1.4176507
MK-2206,1.8851057
Trametinib,2.711616
Palbociclib,1.6553429
MK-1775,1.0535855
Cisplatin,2.1386454
Pictilisib,1.4662898
AZD7762,1.3968805
Olaparib,1.2766749
Dasatinib,2.9667187
AZD3759,0.82977146
PD173074,1.795348
Vorinostat,0.78938276
Dabrafenib,2.0820312
Paclitaxel,2.942885
AZD4547,2.2535605
Lapatinib,2.1320603
Sorafenib,1.1511053
Nilotinib,1.9067615
Tamoxifen,0.97011554
Gemcitabine,6.7748513
Venetoclax,2.127286
Bortezomib,0.9116192
Wee1 Inhibitor,1.7373325
Osimertinib,1.1049947
AGI-5198,0.6655093
Ipatasertib,1.56222
Erlotinib,1.1427085
Sepantronium bromide,1.6861517
Cediranib,1.4194475
Buparlisib,0.5875014
YK-4-279,1.7264552
AZD8186,1.56539
UMI-77,1.4557681
Cytarabine,2.8426554
BPD-00008900,1.1467855
MIM1,0.9241583
Dactolisib,1.9043599
NVP-ADW742,1.7123153
Gefitinib,1.2410406
Telomerase Inhibitor IX,1.0727141
GDC0810,0.8278534
WEHI-539,2.3654118
BDP-00009066,1.115422
Epirubicin,1.6607155
GSK2578215A,0.82836616
I-BRD9,1.1725931
P22077,1.3904682
AZD6738,1.5306312
AZD5363,1.4269129
BMS-536924,1.5448836
ABT737,2.4658961
WIKI4,0.880017
Afuresertib,1.5352278
Savolitinib,1.3543329
Navitoclax,2.7253637
Cyclophosphamide,0.66137147
MIRA-1,0.89035606
Pyridostatin,1.1637207
Temozolomide,0.981218
Vinorelbine,2.7249486
Vinblastine,3.1788805
Pevonedistat,2.9495544
Foretinib,1.3193488
BIBR-1532,1.0042825
MK-8776,1.6037476
Talazoparib,2.9767046
AMG-319,0.87285566
AZ6102,0.9939316
VX-11e,1.5951796
LJI308,0.68561906
AT13148,1.9070679
Rapamycin,1.653287
GSK591,1.0248467
VE821,1.5445591
GNE-317,1.7956976
Crizotinib,1.9008657
Entinostat,1.9702867
Alisertib,3.40938
Fludarabine,2.6013346
Mitoxantrone,3.4389923
Niraparib,1.3978238
JAK1_8709,1.1980233
Leflunomide,0.5982886
IRAK4_4710,1.0124688
Entospletinib,1.3512213
BMS-345541,1.1183405
Podophyllotoxin bromide,1.7552146
Gallibiscoquinazole,0.62625575
Sinularin,0.8785855
PCI-34051,1.2846229
Carmustine,0.9312555
Topotecan,2.737894
AGI-6780,0.9492492
VSP34_8731,1.1967074
MN-64,1.0986984
ML323,0.87090784
XAV939,0.9531282
PFI3,0.7012957
Zoledronate,0.6893329
CZC24832,0.8298876
KRAS (G12C) Inhibitor-12,1.6273049
ERK_2440,1.9283457
Acetalax,3.1146843
LY2109761,0.82401156
AZD1332,2.1265552
Mirin,1.0636928
OTX015,2.60275
Wnt-C59,0.96899337
PRIMA-1MET,2.571692
PRT062607,1.7559772
AZD5438,1.8048773
Obatoclax Mesylate,1.1188388
AZD2014,2.1417367
OF-1,1.3547844
Selumetinib,2.2589931
WZ4003,1.8153447
Teniposide,2.2642267
Picolinici-acid,0.6503203
JAK_8517,2.2232993
Elephantin,1.5119025
Ruxolitinib,0.99811924
VE-822,2.2294912
ERK_6604,1.574645
IWP-2,0.67862266
PAK_5339,0.8051905
RVX-208,0.94531536
TAF1_5496,2.0932393
Dinaciclib,1.897077
Nelarabine,0.8362835
IGF1R_3801,2.6502693
GSK343,0.7206992
CDK9_5576,1.7287799
LCL161,1.0381655
I-BET-762,1.6901636
AZD5153,2.7183154
CDK9_5038,2.7775054
AZD1208,0.7892306
Dihydrorotenone,2.3355515
ULK1_4989,1.7751875
Sabutoclax,1.0352341
AZ960,2.132051
IAP_5620,1.7476056
Ibrutinib,2.1522655
AZD5991,3.5961955
Eg5_9814,2.201471
Vincristine,4.324503
GSK2606414,1.1295651
AZD5582,4.0651574
Daporinad,2.4600916
OSI-027,1.7648109
AZD8055,2.2927146
SB216763,1.5690963
Axitinib,1.4949439
RO-3306,0.8770229
Tozasertib,1.8294566
GSK269962A,1.3401494
KU-55933,0.83178556
PF-4708671,1.0523648
AZD6482,1.574302
ZM447439,0.81137323
JQ1,3.983885
NU7441,0.82748866
SB505124,2.8983922
Ribociclib,1.1333232
Doramapimod,0.8371692
BMS-754807,3.8879645
BI-2536,3.0330822
Cetuximab,0.88680613
Doxorubicin,1.3933879
Etoposide,2.9464977
Bleomycin,4.515265
Bicalutamide,0.4209753
Bleomycin (50 uM),2.668003
Pemetrexed,2.5431612
AICA Ribonucleotide,1.3455092
