Drug,MSE_gene
Oxaliplatin,1.9494363
Ulixertinib,1.3063741
Fulvestrant,0.84196496
Uprosertib,2.2045174
Dactinomycin,1.5525572
Docetaxel,3.7546442
Camptothecin,2.6528394
5-Fluorouracil,2.5610945
Afatinib,1.750402
Taselisib,2.5569236
PD0325901,1.8620933
Sapitinib,2.1144102
Alpelisib,1.8406212
SCH772984,1.91123
LGK974,0.9221189
Luminespib,2.522753
Linsitinib,1.3375186
GSK1904529A,1.2064457
EPZ5676,0.8773584
EPZ004777,0.88802135
Irinotecan,2.4522939
PLX-4720,2.0253813
Nutlin-3a (-),1.8609035
MG-132,0.5820588
Staurosporine,1.547319
MK-2206,1.9015074
Trametinib,2.6056676
Palbociclib,1.6075306
MK-1775,1.0608425
Cisplatin,2.155437
Pictilisib,1.4674729
AZD7762,1.4460331
Olaparib,1.3526422
Dasatinib,3.0789347
AZD3759,0.8669414
PD173074,1.7730926
Vorinostat,0.7329608
Dabrafenib,2.0617259
Paclitaxel,2.9678035
AZD4547,2.2153668
Lapatinib,2.162165
Sorafenib,1.1468198
Nilotinib,2.0191975
Tamoxifen,0.9862852
Gemcitabine,6.847406
Venetoclax,2.1163704
Bortezomib,1.0838003
Wee1 Inhibitor,1.7127281
Osimertinib,1.1236354
AGI-5198,0.79284376
Ipatasertib,1.6489376
Erlotinib,1.1323897
Sepantronium bromide,1.8837081
Cediranib,1.4428421
Buparlisib,0.56735927
YK-4-279,1.6837386
AZD8186,1.675596
UMI-77,1.5214275
Cytarabine,2.797697
BPD-00008900,1.2225927
MIM1,0.9932935
Dactolisib,1.8056644
NVP-ADW742,1.7272236
Gefitinib,1.2871028
Telomerase Inhibitor IX,1.0763543
GDC0810,0.9070893
WEHI-539,2.4470336
BDP-00009066,1.1399151
Epirubicin,1.633493
GSK2578215A,0.9215121
I-BRD9,1.3127774
P22077,1.4824625
AZD6738,1.5253558
AZD5363,1.5256182
BMS-536924,1.4974959
ABT737,2.572027
WIKI4,0.9087608
Afuresertib,1.5512533
Savolitinib,1.3768077
Navitoclax,2.792955
Cyclophosphamide,0.7716355
MIRA-1,1.0682508
Pyridostatin,1.213567
Temozolomide,1.0976602
Vinorelbine,2.791187
Vinblastine,3.2519128
Pevonedistat,2.946552
Foretinib,1.3589134
BIBR-1532,1.1092497
MK-8776,1.6584201
Talazoparib,3.123807
AMG-319,0.96464306
AZ6102,1.0366513
VX-11e,1.5189015
LJI308,0.79894876
AT13148,2.0447717
Rapamycin,1.7046275
GSK591,1.2044961
VE821,1.6864429
GNE-317,1.6800678
Crizotinib,1.8830459
Entinostat,1.9453685
Alisertib,3.4578736
Fludarabine,2.5626373
Mitoxantrone,3.460832
Niraparib,1.5433449
JAK1_8709,1.1891234
Leflunomide,0.72527564
IRAK4_4710,1.0484499
Entospletinib,1.4002366
BMS-345541,1.1993706
Podophyllotoxin bromide,1.7586371
Gallibiscoquinazole,0.65530425
Sinularin,0.94493717
PCI-34051,1.3561646
Carmustine,1.1249256
Topotecan,2.7360272
AGI-6780,1.0950615
VSP34_8731,1.2317111
MN-64,1.1913564
ML323,0.9983675
XAV939,1.0360459
PFI3,0.8643971
Zoledronate,0.75538576
CZC24832,0.98020864
KRAS (G12C) Inhibitor-12,1.7261618
ERK_2440,1.92994
Acetalax,3.1840503
LY2109761,1.0029085
AZD1332,2.121325
Mirin,1.263183
OTX015,2.5977995
Wnt-C59,1.1367232
PRIMA-1MET,2.7021234
PRT062607,1.738604
AZD5438,1.7894241
Obatoclax Mesylate,1.1478657
AZD2014,2.156135
OF-1,1.4803693
Selumetinib,2.3249402
WZ4003,1.8538222
Teniposide,2.206088
Picolinici-acid,0.7710877
JAK_8517,2.2949338
Elephantin,1.5810025
Ruxolitinib,1.0732493
VE-822,2.2639515
ERK_6604,1.5827299
IWP-2,0.69258976
PAK_5339,0.772667
RVX-208,1.0831796
TAF1_5496,2.1914618
Dinaciclib,1.851201
Nelarabine,1.0282468
IGF1R_3801,2.7348604
GSK343,0.74317473
CDK9_5576,1.7007952
LCL161,1.2125288
I-BET-762,1.7326733
AZD5153,2.7057528
CDK9_5038,2.687267
AZD1208,0.9557686
Dihydrorotenone,2.3401475
ULK1_4989,1.8637967
Sabutoclax,1.0462385
AZ960,2.094734
IAP_5620,1.8406584
Ibrutinib,2.189995
AZD5991,3.8178408
Eg5_9814,2.2705896
Vincristine,4.3274546
GSK2606414,1.2058138
AZD5582,4.0791526
Daporinad,2.5857992
OSI-027,1.811603
AZD8055,2.1575592
SB216763,1.6038716
Axitinib,1.6838331
RO-3306,1.0864395
Tozasertib,1.700761
GSK269962A,1.2156627
KU-55933,0.8359403
PF-4708671,1.0694915
AZD6482,1.9022248
ZM447439,0.80343294
JQ1,4.0410953
NU7441,1.1311117
SB505124,2.8000572
Ribociclib,0.90555763
Doramapimod,1.1031029
BMS-754807,3.923179
BI-2536,2.972899
Cetuximab,1.0462816
Doxorubicin,1.4108882
Etoposide,2.9824688
Bleomycin,4.544249
Bicalutamide,0.4650152
Bleomycin (50 uM),2.5755801
Pemetrexed,2.5358815
AICA Ribonucleotide,1.5359204
