Drug,MSE_gene
Oxaliplatin,1.7948073
Ulixertinib,1.3089576
Fulvestrant,0.7893755
Uprosertib,2.1463122
Dactinomycin,1.3955871
Docetaxel,3.598798
Camptothecin,2.6266694
5-Fluorouracil,2.4152994
Afatinib,1.7244626
Taselisib,2.5172472
PD0325901,1.875329
Sapitinib,2.028586
Alpelisib,1.7256073
SCH772984,1.8721281
LGK974,0.82352924
Luminespib,2.5613873
Linsitinib,1.2359875
GSK1904529A,1.058649
EPZ5676,0.67188656
EPZ004777,0.71028906
Irinotecan,2.4264128
PLX-4720,1.9029256
Nutlin-3a (-),1.7267189
MG-132,0.5560521
Staurosporine,1.471154
MK-2206,1.838301
Trametinib,2.614451
Palbociclib,1.5751219
MK-1775,1.0549566
Cisplatin,2.171447
Pictilisib,1.4358859
AZD7762,1.4785656
Olaparib,1.2828454
Dasatinib,3.0549521
AZD3759,0.83008015
PD173074,1.7259847
Vorinostat,0.7175066
Dabrafenib,2.0104449
Paclitaxel,2.8953831
AZD4547,2.1841772
Lapatinib,2.1005528
Sorafenib,1.1377236
Nilotinib,1.9246142
Tamoxifen,0.9420208
Gemcitabine,6.8420377
Venetoclax,2.0428178
Bortezomib,0.91569304
Wee1 Inhibitor,1.7127073
Osimertinib,1.085908
AGI-5198,0.6577389
Ipatasertib,1.5558147
Erlotinib,1.1145169
Sepantronium bromide,1.6961182
Cediranib,1.4183136
Buparlisib,0.5561636
YK-4-279,1.6797403
AZD8186,1.5977232
UMI-77,1.4734576
Cytarabine,2.7783175
BPD-00008900,1.0931545
MIM1,0.942002
Dactolisib,1.7990191
NVP-ADW742,1.7275064
Gefitinib,1.2353421
Telomerase Inhibitor IX,1.0639747
GDC0810,0.8213059
WEHI-539,2.3494186
BDP-00009066,1.1207792
Epirubicin,1.5853397
GSK2578215A,0.79864085
I-BRD9,1.1887076
P22077,1.4265958
AZD6738,1.4730918
AZD5363,1.4282956
BMS-536924,1.527661
ABT737,2.477328
WIKI4,0.84241086
Afuresertib,1.5018234
Savolitinib,1.3475006
Navitoclax,2.6922212
Cyclophosphamide,0.63381326
MIRA-1,0.9139769
Pyridostatin,1.172683
Temozolomide,0.9574343
Vinorelbine,2.677353
Vinblastine,2.9994392
Pevonedistat,2.9411335
Foretinib,1.3256738
BIBR-1532,1.0187515
MK-8776,1.626521
Talazoparib,3.15774
AMG-319,0.89009213
AZ6102,1.008799
VX-11e,1.4935329
LJI308,0.68056804
AT13148,1.9402839
Rapamycin,1.7286482
GSK591,1.0974457
VE821,1.6021847
GNE-317,1.7110213
Crizotinib,1.7902672
Entinostat,1.9110056
Alisertib,3.4020338
Fludarabine,2.4821923
Mitoxantrone,3.4464796
Niraparib,1.4216086
JAK1_8709,1.1254857
Leflunomide,0.5785319
IRAK4_4710,0.94114614
Entospletinib,1.3265892
BMS-345541,1.1130877
Podophyllotoxin bromide,1.7198303
Gallibiscoquinazole,0.651984
Sinularin,0.87272596
PCI-34051,1.2274615
Carmustine,0.890033
Topotecan,2.7716348
AGI-6780,0.98054725
VSP34_8731,1.187773
MN-64,1.0380149
ML323,0.8707883
XAV939,0.92608374
PFI3,0.6935184
Zoledronate,0.65035963
CZC24832,0.82628065
KRAS (G12C) Inhibitor-12,1.6517625
ERK_2440,1.9267672
Acetalax,2.9585388
LY2109761,0.8204553
AZD1332,2.0694985
Mirin,1.1081946
OTX015,2.6385777
Wnt-C59,1.0011009
PRIMA-1MET,2.5675712
PRT062607,1.6873192
AZD5438,1.7562306
Obatoclax Mesylate,1.1387099
AZD2014,2.1995986
OF-1,1.382563
Selumetinib,2.218536
WZ4003,1.7887665
Teniposide,2.1886907
Picolinici-acid,0.5842464
JAK_8517,2.2295363
Elephantin,1.4966896
Ruxolitinib,0.9105549
VE-822,2.2080896
ERK_6604,1.5819535
IWP-2,0.64470375
PAK_5339,0.77471
RVX-208,0.9453056
TAF1_5496,2.1221306
Dinaciclib,1.8550262
Nelarabine,0.7798194
IGF1R_3801,2.7185297
GSK343,0.7048446
CDK9_5576,1.7146969
LCL161,1.0327585
I-BET-762,1.7216887
AZD5153,2.7301683
CDK9_5038,2.6987658
AZD1208,0.76818204
Dihydrorotenone,2.4019492
ULK1_4989,1.8287039
Sabutoclax,1.026307
AZ960,2.0719256
IAP_5620,1.7137542
Ibrutinib,2.0807695
AZD5991,3.7714815
Eg5_9814,2.1545904
Vincristine,4.283686
GSK2606414,1.1552396
AZD5582,4.0959687
Daporinad,2.465808
OSI-027,1.6082964
AZD8055,2.1238954
SB216763,1.6937774
Axitinib,1.7151576
RO-3306,1.2859975
Tozasertib,1.6988721
GSK269962A,1.3393809
KU-55933,1.1506726
PF-4708671,1.0680978
AZD6482,1.7480755
ZM447439,0.8657961
JQ1,4.2041526
NU7441,1.2820914
SB505124,2.8580792
Ribociclib,1.0489714
Doramapimod,1.0301701
BMS-754807,3.9551492
BI-2536,2.9638944
Cetuximab,0.83680516
Doxorubicin,1.3870981
Etoposide,3.0104256
Bleomycin,4.5577483
Bicalutamide,0.43533504
Bleomycin (50 uM),2.5702798
Pemetrexed,2.5608032
AICA Ribonucleotide,1.2643083
