Drug,corr_gene
Oxaliplatin,0.6581649253517545
Ulixertinib,0.5262360693311465
Fulvestrant,0.5618075335005321
Uprosertib,0.5388155644766608
Dactinomycin,0.5817632537028941
Docetaxel,0.5639310024713723
Camptothecin,0.6056683162252667
5-Fluorouracil,0.6095223510503329
Afatinib,0.4918509309987584
Taselisib,0.4997888272247562
PD0325901,0.6389958066755728
Sapitinib,0.5754882735628911
Alpelisib,0.45620620921730004
SCH772984,0.6380634190633434
LGK974,0.5704268441800031
Luminespib,0.493725287453797
Linsitinib,0.5595325162632263
GSK1904529A,0.48322423033589645
EPZ5676,0.6195540984408383
EPZ004777,0.5822751429853544
Irinotecan,0.6343086243612541
PLX-4720,0.39897667664253805
Nutlin-3a (-),0.710442221818629
MG-132,0.46553129370606194
Staurosporine,0.45376245043233626
MK-2206,0.5318443815473595
Trametinib,0.681120647488823
Palbociclib,0.6107332936671253
MK-1775,0.6737078155539937
Cisplatin,0.667100972196041
Pictilisib,0.40805707286019843
AZD7762,0.6080844171825115
Olaparib,0.540556065388951
Dasatinib,0.6112041137704385
AZD3759,0.479556300102061
PD173074,0.46584076023349696
Vorinostat,0.6683379774967468
Dabrafenib,0.6184038238510811
Paclitaxel,0.6237668939733441
AZD4547,0.4326053955499553
Lapatinib,0.4743460395073126
Sorafenib,0.6166624693577083
Nilotinib,0.6798878909099566
Tamoxifen,0.5100890426415499
Gemcitabine,0.6003506169583759
Venetoclax,0.6564529142434739
Bortezomib,0.4380848658380566
Wee1 Inhibitor,0.6375391012683976
Osimertinib,0.5222543787199139
AGI-5198,0.5104097995255461
Ipatasertib,0.5193821286760054
Erlotinib,0.499922395700658
Sepantronium bromide,0.5165823124251951
Cediranib,0.38112305440150307
Buparlisib,0.5145430294689651
YK-4-279,0.6550349433107556
AZD8186,0.3157610480893796
UMI-77,0.3962111242720293
Cytarabine,0.6982254026778894
BPD-00008900,0.4928099021436127
MIM1,0.5311766235785542
Dactolisib,0.3901767285836985
NVP-ADW742,0.517542624428856
Gefitinib,0.46126214724090214
Telomerase Inhibitor IX,0.580293111700291
GDC0810,0.4938033859314587
WEHI-539,0.5658332166962305
BDP-00009066,0.49720388141137395
Epirubicin,0.6416459814296236
GSK2578215A,0.5243216018651989
I-BRD9,0.6054991216401433
P22077,0.5444492300387751
AZD6738,0.5983110568909565
AZD5363,0.5406764539188891
BMS-536924,0.412625676154991
ABT737,0.6761519000610323
WIKI4,0.28127146047467766
Afuresertib,0.538096660361178
Savolitinib,0.3882388815535066
Navitoclax,0.6144207472007543
Cyclophosphamide,0.5551132400263965
MIRA-1,0.6577007018158184
Pyridostatin,0.49809811159618006
Temozolomide,0.6838967660107774
Vinorelbine,0.6617080134859403
Vinblastine,0.6475087627441123
Pevonedistat,0.5990566171375342
Foretinib,0.5631786138312147
BIBR-1532,0.4823261846233718
MK-8776,0.666214441120598
Talazoparib,0.5552309843384045
AMG-319,0.6571159202888968
AZ6102,0.44654133848860506
VX-11e,0.579282134191998
LJI308,0.6387556630464344
AT13148,0.5348838659405837
Rapamycin,0.5231990602774954
GSK591,0.4451970447742044
VE821,0.6544143490096055
GNE-317,0.25147653177281853
Crizotinib,0.5781534801077284
Entinostat,0.5383535397162922
Alisertib,0.6299445019715695
Fludarabine,0.6073584967483041
Mitoxantrone,0.6044577327049214
Niraparib,0.632415489573589
JAK1_8709,0.5573418757495512
Leflunomide,0.5774322469632595
IRAK4_4710,0.3758669765170213
Entospletinib,0.41989759146203504
BMS-345541,0.6351099442440971
Podophyllotoxin bromide,0.6056376396087563
Gallibiscoquinazole,0.5137800284409514
Sinularin,0.5027277685959243
PCI-34051,0.5829700744108224
Carmustine,0.5502989325123271
Topotecan,0.5676408311147285
AGI-6780,0.5409868223098224
VSP34_8731,0.46403223805898974
MN-64,0.47256753234005344
ML323,0.5602143601665978
XAV939,0.36333250099112346
PFI3,0.5536022458096441
Zoledronate,0.6324210796760292
CZC24832,0.5850351992633979
KRAS (G12C) Inhibitor-12,0.6301150466686254
ERK_2440,0.5286367256137459
Acetalax,0.6041329266962769
LY2109761,0.524988559873936
AZD1332,0.328997223629401
Mirin,0.5395879825092615
OTX015,0.5064895590344458
Wnt-C59,0.5533424560703557
PRIMA-1MET,0.5446311754069604
PRT062607,0.4825377847301623
AZD5438,0.5739792796815357
Obatoclax Mesylate,0.41457752303507533
AZD2014,0.2610855634675592
OF-1,0.4631851455962829
Selumetinib,0.6956964952720779
WZ4003,0.3788146563047887
Teniposide,0.6981781989300104
Picolinici-acid,0.549012452827121
JAK_8517,0.4745201883516761
Elephantin,0.6145228720022622
Ruxolitinib,0.5662360673530664
VE-822,0.5735836667219983
ERK_6604,0.5729951490611528
IWP-2,0.5997146865410354
PAK_5339,0.5493952188754295
RVX-208,0.5154461748289676
TAF1_5496,0.514334912275805
Dinaciclib,0.4860612311720351
Nelarabine,0.6567579378945408
IGF1R_3801,0.48440980288264435
GSK343,0.5534539635395683
CDK9_5576,0.5142836834791371
LCL161,0.4558887905411899
I-BET-762,0.5530054600916443
AZD5153,0.5591728914758578
CDK9_5038,0.5370672007675438
AZD1208,0.6115655336012438
Dihydrorotenone,0.3839196762888778
ULK1_4989,0.5596392327466778
Sabutoclax,0.6325235154717407
AZ960,0.5996041542326478
IAP_5620,0.4938364644597404
Ibrutinib,0.5487934279762344
AZD5991,0.7357399937126234
Eg5_9814,0.5891416318044231
Vincristine,0.6594065886712575
GSK2606414,0.5701395076969895
AZD5582,0.4344800621434333
Daporinad,0.6054535449906069
OSI-027,0.7076879984737388
AZD8055,0.40239429791446923
SB216763,0.27428162153119745
Axitinib,0.37095062500370746
RO-3306,0.3006677281653184
Tozasertib,0.7455263557082451
GSK269962A,0.5434024972794529
KU-55933,0.4789795302610494
PF-4708671,0.3659290400534572
AZD6482,0.07345103116012093
ZM447439,0.5677508883806113
JQ1,0.03168498355183538
NU7441,0.3569858896354514
