Drug,corr_gene
Oxaliplatin,0.6606240168455333
Ulixertinib,0.5252657583102118
Fulvestrant,0.5536742582862229
Uprosertib,0.5458159727151037
Dactinomycin,0.5724739252640529
Docetaxel,0.552383798983326
Camptothecin,0.5927840970020326
5-Fluorouracil,0.6140281778418224
Afatinib,0.49451932774844387
Taselisib,0.503303926331297
PD0325901,0.6382015956215192
Sapitinib,0.5729672170042117
Alpelisib,0.4600141910837454
SCH772984,0.6413785644683099
LGK974,0.5778136197316806
Luminespib,0.49206114467358186
Linsitinib,0.5593098180289273
GSK1904529A,0.4806135839020048
EPZ5676,0.6243059807543704
EPZ004777,0.5799378568885771
Irinotecan,0.6319479324617715
PLX-4720,0.40168080243039717
Nutlin-3a (-),0.7090454877315107
MG-132,0.4851740441010334
Staurosporine,0.4474445417757833
MK-2206,0.5331400848781388
Trametinib,0.6823772314067167
Palbociclib,0.6121175264893417
MK-1775,0.668263389273221
Cisplatin,0.6697295773342695
Pictilisib,0.4051034611969027
AZD7762,0.6055532776415995
Olaparib,0.5486943008661826
Dasatinib,0.6141520947606092
AZD3759,0.4747234368205227
PD173074,0.4579820995812385
Vorinostat,0.6661305836906987
Dabrafenib,0.6108287478575084
Paclitaxel,0.619795770092189
AZD4547,0.42157134688011666
Lapatinib,0.47065748822638587
Sorafenib,0.6141301671581385
Nilotinib,0.684748708070926
Tamoxifen,0.509518717389896
Gemcitabine,0.5992205673312543
Venetoclax,0.6544534294908444
Bortezomib,0.45016472950970715
Wee1 Inhibitor,0.6317770427883229
Osimertinib,0.5263460135552351
AGI-5198,0.5123653113479985
Ipatasertib,0.5232775203404465
Erlotinib,0.502891730590288
Sepantronium bromide,0.5259802113532641
Cediranib,0.37520881861321775
Buparlisib,0.5157898143634323
YK-4-279,0.6552537278689172
AZD8186,0.31426143012393537
UMI-77,0.40066051551650783
Cytarabine,0.6978046191311131
BPD-00008900,0.49397981941591285
MIM1,0.5330564633206779
Dactolisib,0.3927506074621489
NVP-ADW742,0.5075926665642624
Gefitinib,0.4674154775154895
Telomerase Inhibitor IX,0.5771820849194831
GDC0810,0.5034265824977279
WEHI-539,0.5667746508535089
BDP-00009066,0.48956351121393055
Epirubicin,0.6380194181409669
GSK2578215A,0.5203102137891227
I-BRD9,0.6103495780369181
P22077,0.5492696648288256
AZD6738,0.5965216373956201
AZD5363,0.5355433451914777
BMS-536924,0.4101292289177976
ABT737,0.6752840077334235
WIKI4,0.2729535965469001
Afuresertib,0.5405662499552193
Savolitinib,0.3912877845507382
Navitoclax,0.6158656427597988
Cyclophosphamide,0.5655909158514091
MIRA-1,0.660809334898599
Pyridostatin,0.5069545198481133
Temozolomide,0.676622386984036
Vinorelbine,0.6596108531351852
Vinblastine,0.6434263580031563
Pevonedistat,0.600632827009062
Foretinib,0.5695996268398117
BIBR-1532,0.4799378315876889
MK-8776,0.6704774956410074
Talazoparib,0.5557690232822089
AMG-319,0.6530175677830293
AZ6102,0.44773239765474926
VX-11e,0.5757890274099551
LJI308,0.6428700909584296
AT13148,0.5339512794890899
Rapamycin,0.5184248452159448
GSK591,0.46186538920430315
VE821,0.6567412764085405
GNE-317,0.24618257606281257
Crizotinib,0.5755619374128633
Entinostat,0.542227531584722
Alisertib,0.6270329846614797
Fludarabine,0.6128239355513803
Mitoxantrone,0.6037414774506636
Niraparib,0.6367599758318496
JAK1_8709,0.5604077859663147
Leflunomide,0.5753764256167276
IRAK4_4710,0.3836334198924277
Entospletinib,0.4256578224951446
BMS-345541,0.6415113537083552
Podophyllotoxin bromide,0.6032627595512243
Gallibiscoquinazole,0.509627273560892
Sinularin,0.4984177909403065
PCI-34051,0.5872095824136461
Carmustine,0.5436394685314603
Topotecan,0.56367499738678
AGI-6780,0.5436405262684585
VSP34_8731,0.4666828425206382
MN-64,0.48262922216411386
ML323,0.5509436652355553
XAV939,0.3756595695187437
PFI3,0.5560929234565126
Zoledronate,0.6315534726317589
CZC24832,0.5865087505786137
KRAS (G12C) Inhibitor-12,0.6334284597401698
ERK_2440,0.5285719339962106
Acetalax,0.6028041578232521
LY2109761,0.5326591992507392
AZD1332,0.3237301698393058
Mirin,0.5396768091629198
OTX015,0.5126011847234632
Wnt-C59,0.5472817843763661
PRIMA-1MET,0.5492506107517601
PRT062607,0.4847962055941939
AZD5438,0.5759368566944081
Obatoclax Mesylate,0.4128248386656864
AZD2014,0.2727427871155522
OF-1,0.4674381717497923
Selumetinib,0.6920021955891769
WZ4003,0.3847021454837104
Teniposide,0.6926496480689492
Picolinici-acid,0.5524900404344439
JAK_8517,0.46992623888768564
Elephantin,0.6148767472927616
Ruxolitinib,0.5641369445413618
VE-822,0.5794008430796052
ERK_6604,0.5758266673869801
IWP-2,0.5944111099839289
PAK_5339,0.5493939547864443
RVX-208,0.5153718475072733
TAF1_5496,0.5146594021749482
Dinaciclib,0.4767019232333324
Nelarabine,0.6529838126844789
IGF1R_3801,0.487855765689304
