Drug,corr_gene
Oxaliplatin,0.6411159574290016
Ulixertinib,0.5041995030957553
Fulvestrant,0.5717790684166
Uprosertib,0.5417178819297994
Dactinomycin,0.576516327114454
Docetaxel,0.5363952557113925
Camptothecin,0.5901903099807553
5-Fluorouracil,0.5848923583121481
Afatinib,0.4883467652377599
Taselisib,0.4978433137608832
PD0325901,0.6292200970890868
Sapitinib,0.55937278154062
Alpelisib,0.4449672503205764
SCH772984,0.6277011830157728
LGK974,0.5740914051833582
Luminespib,0.4997900956841084
Linsitinib,0.5723623664830233
GSK1904529A,0.46621331289334966
EPZ5676,0.5887621627090546
EPZ004777,0.5567351166900478
Irinotecan,0.6324610041178784
PLX-4720,0.4015817190710184
Nutlin-3a (-),0.7093245449240506
MG-132,0.44774295334421893
Staurosporine,0.4715579156499514
MK-2206,0.5249019401937975
Trametinib,0.6683331144894717
Palbociclib,0.5909711264487085
MK-1775,0.6750194081509744
Cisplatin,0.6693825636746891
Pictilisib,0.39595081539876387
AZD7762,0.6210261696325479
Olaparib,0.5566880058722739
Dasatinib,0.6323458036707073
AZD3759,0.48322510908537475
PD173074,0.44042072996078807
Vorinostat,0.6413391628755872
Dabrafenib,0.5920911886076566
Paclitaxel,0.6174375416119097
AZD4547,0.3987916761588448
Lapatinib,0.46242366003381224
Sorafenib,0.6092521298149475
Nilotinib,0.6844031500456902
Tamoxifen,0.48850355200500595
Gemcitabine,0.6062237739069514
Venetoclax,0.6467890992993305
Bortezomib,0.44054497507918045
Wee1 Inhibitor,0.6333453621399354
Osimertinib,0.5199960922758763
AGI-5198,0.5059992005683804
Ipatasertib,0.5145069591211776
Erlotinib,0.4859436564685999
Sepantronium bromide,0.5263943651190566
Cediranib,0.35232311055621496
Buparlisib,0.48477436674128865
YK-4-279,0.6455566095892082
AZD8186,0.3337004452066628
UMI-77,0.4141074664611322
Cytarabine,0.6835599466007274
BPD-00008900,0.4728462838755132
MIM1,0.5397388536916433
Dactolisib,0.35755545612863215
NVP-ADW742,0.5226886783753721
Gefitinib,0.46549266071178064
Telomerase Inhibitor IX,0.5782121979210078
GDC0810,0.5069441888958939
WEHI-539,0.5578258127784077
BDP-00009066,0.4794914947637622
Epirubicin,0.6206482900527106
GSK2578215A,0.5083211990267591
I-BRD9,0.6139601932186702
P22077,0.5592612193826452
AZD6738,0.5684833963147815
AZD5363,0.5416796820481826
BMS-536924,0.403026923958401
ABT737,0.6798287442441284
WIKI4,0.23249300844741316
Afuresertib,0.5230164991299608
Savolitinib,0.38704471829417086
Navitoclax,0.613367306228088
Cyclophosphamide,0.5708762881293474
MIRA-1,0.6662423236501045
Pyridostatin,0.5090327392348355
Temozolomide,0.6704930463262835
Vinorelbine,0.6607298955602795
Vinblastine,0.6368916468023065
Pevonedistat,0.5957385199769671
Foretinib,0.5608839972624693
BIBR-1532,0.4857801193787509
MK-8776,0.6636286462936201
Talazoparib,0.5872734762884444
AMG-319,0.6500102826109209
AZ6102,0.44787364409773217
VX-11e,0.5542832154098737
LJI308,0.6262392469041504
AT13148,0.5488967354437798
Rapamycin,0.5442953967924343
GSK591,0.47787076475885865
VE821,0.6723595639343796
GNE-317,0.20608959577202618
Crizotinib,0.5501951253676809
Entinostat,0.5272160850943427
Alisertib,0.6318424276615524
Fludarabine,0.5835830710879805
Mitoxantrone,0.6043595505233836
Niraparib,0.645030302119313
JAK1_8709,0.5257356645973815
Leflunomide,0.5727335489637333
IRAK4_4710,0.33036126671374444
Entospletinib,0.4065192501188731
BMS-345541,0.620984070780917
Podophyllotoxin bromide,0.6042982068236356
Gallibiscoquinazole,0.5318706384264635
Sinularin,0.4947905524894427
PCI-34051,0.5628466471028486
Carmustine,0.5151116635295833
Topotecan,0.5748984666197852
AGI-6780,0.5580351585283155
VSP34_8731,0.45249479107801327
MN-64,0.4683248964819613
