Drug,corr_gene
Oxaliplatin,0.6336373469424248
Ulixertinib,0.5269154332327274
Fulvestrant,0.5387961657059168
Uprosertib,0.5298623561517408
Dactinomycin,0.5579158173641428
Docetaxel,0.5447438027346369
Camptothecin,0.6044649097554636
5-Fluorouracil,0.5883587524512028
Afatinib,0.4824909145967605
Taselisib,0.49163458147941214
PD0325901,0.6403953377613347
Sapitinib,0.5509822558785269
Alpelisib,0.4313067694744134
SCH772984,0.6250753901427231
LGK974,0.5226418347069482
Luminespib,0.5072721456833541
Linsitinib,0.541383151774502
GSK1904529A,0.4265045328053415
EPZ5676,0.5605007555899717
EPZ004777,0.5214875068881668
Irinotecan,0.6320739963508397
PLX-4720,0.36262224702918555
Nutlin-3a (-),0.6840682400377041
MG-132,0.45988360374524395
Staurosporine,0.4343765506780803
MK-2206,0.5182941072167438
Trametinib,0.681314247537752
Palbociclib,0.6035845270948275
MK-1775,0.6732356773811272
Cisplatin,0.6703103907519039
Pictilisib,0.3838924225578522
AZD7762,0.6037384073001351
Olaparib,0.5393913879979249
Dasatinib,0.6100718558579648
AZD3759,0.45359430724002897
PD173074,0.4629511044158458
Vorinostat,0.6617959287379571
Dabrafenib,0.6118199235895756
Paclitaxel,0.6177289123730101
AZD4547,0.4152016700293194
Lapatinib,0.4587739611079926
Sorafenib,0.608534956633445
Nilotinib,0.6590788606368991
Tamoxifen,0.48453476612214297
Gemcitabine,0.6000559989529282
Venetoclax,0.6472899488145615
Bortezomib,0.3868564897665851
Wee1 Inhibitor,0.6349716261998274
Osimertinib,0.5103444031177687
AGI-5198,0.4529773817809219
Ipatasertib,0.4955745230475199
Erlotinib,0.49215475021221533
Sepantronium bromide,0.47035363616378933
Cediranib,0.3486719916745533
Buparlisib,0.5075670784471937
YK-4-279,0.6540487598326234
AZD8186,0.283512923601919
UMI-77,0.3756230899200287
Cytarabine,0.6897497273787148
BPD-00008900,0.46857586329873885
MIM1,0.511285628493777
Dactolisib,0.41142203922746723
NVP-ADW742,0.5156907148840348
Gefitinib,0.437611551070501
Telomerase Inhibitor IX,0.5750759129488356
GDC0810,0.4689415394091819
WEHI-539,0.5356307415316475
BDP-00009066,0.4836438067334106
Epirubicin,0.6288427687268208
GSK2578215A,0.49147177719195423
I-BRD9,0.5803468466105451
P22077,0.5374090986867569
AZD6738,0.5674708769949666
AZD5363,0.5062757151834401
BMS-536924,0.40920896474023616
ABT737,0.6621879915415982
WIKI4,0.22068007644224302
Afuresertib,0.5243859938345394
Savolitinib,0.38012425519348525
Navitoclax,0.60134823983458
Cyclophosphamide,0.5289290245277072
MIRA-1,0.6278952871944965
Pyridostatin,0.487389160822847
Temozolomide,0.6548247732661856
Vinorelbine,0.6536778976630827
Vinblastine,0.6325320248712013
Pevonedistat,0.5972266107592605
