Drug,corr_gene
Oxaliplatin,0.6642254476107914
Ulixertinib,0.5247699772562636
Fulvestrant,0.557703700920234
Uprosertib,0.544983640106887
Dactinomycin,0.5786741662193488
Docetaxel,0.5606624360856942
Camptothecin,0.6021615445217258
5-Fluorouracil,0.613651055428747
Afatinib,0.4950978769252187
Taselisib,0.5050564751806519
PD0325901,0.6373316528309645
Sapitinib,0.5683653594358449
Alpelisib,0.47048748185754147
SCH772984,0.6356489160891917
LGK974,0.5719815853026756
Luminespib,0.4926826513182604
Linsitinib,0.5715831665575206
GSK1904529A,0.48411924777549653
EPZ5676,0.6252668608654139
EPZ004777,0.5833537890939919
Irinotecan,0.6380839202013731
PLX-4720,0.39676412638379255
Nutlin-3a (-),0.70668051641355
MG-132,0.4824865119437329
Staurosporine,0.44903010644974
MK-2206,0.5342638966449875
Trametinib,0.6800785316389948
Palbociclib,0.6078967529612264
MK-1775,0.6749659881460472
Cisplatin,0.6678382750087615
Pictilisib,0.40920336452161116
AZD7762,0.5978671469396629
Olaparib,0.5516838092331012
Dasatinib,0.6127349001424591
AZD3759,0.47853362510936726
PD173074,0.46628167781752944
Vorinostat,0.6702583094417811
Dabrafenib,0.6122367742884325
Paclitaxel,0.6253728103265568
AZD4547,0.42366990345723854
Lapatinib,0.4784545169548675
Sorafenib,0.6124197612599074
Nilotinib,0.6781636563440119
Tamoxifen,0.5021584899665528
Gemcitabine,0.6035561026008238
Venetoclax,0.6636025208031338
Bortezomib,0.43953826128823514
Wee1 Inhibitor,0.6380097456353959
Osimertinib,0.5311650452654085
AGI-5198,0.5127320084656575
Ipatasertib,0.5227970348366349
Erlotinib,0.5041939384658438
Sepantronium bromide,0.5186592598627017
Cediranib,0.3623450597865676
Buparlisib,0.5212570882975707
YK-4-279,0.6557050929772217
AZD8186,0.3213673747244301
UMI-77,0.3969682912741618
Cytarabine,0.6935858072608451
BPD-00008900,0.5027378001002532
MIM1,0.5249808616999461
Dactolisib,0.40127090310298574
NVP-ADW742,0.5155527995947746
Gefitinib,0.46352457296418514
Telomerase Inhibitor IX,0.5808603734197402
GDC0810,0.49120296888428483
WEHI-539,0.5655216334164133
BDP-00009066,0.48988275028061945
Epirubicin,0.6413474588628598
GSK2578215A,0.529276018033669
I-BRD9,0.6064516775580915
P22077,0.5510089370187365
AZD6738,0.5878996854890473
AZD5363,0.53884187754271
BMS-536924,0.40180893141233254
ABT737,0.6775106535487223
WIKI4,0.26160494073947316
Afuresertib,0.5402375841043934
Savolitinib,0.3959240401821658
Navitoclax,0.6219000470153887
Cyclophosphamide,0.577676002023295
MIRA-1,0.6627504344978419
Pyridostatin,0.5000497726856666
Temozolomide,0.6807824351328474
Vinorelbine,0.6678291543009788
Vinblastine,0.6580768649645801
Pevonedistat,0.5975256575971957
Foretinib,0.5588165280345048
BIBR-1532,0.47920769992063333
MK-8776,0.6609826388824578
Talazoparib,0.5570996440524347
AMG-319,0.6494567786967929
AZ6102,0.4470369023306625
VX-11e,0.5781325079539503
LJI308,0.6387315193517398
AT13148,0.5435449009696904
Rapamycin,0.5153058908694679
GSK591,0.4562846373896654
VE821,0.6582181236749041
GNE-317,0.2621467101608629
Crizotinib,0.5863512293775635
Entinostat,0.5423098130244476
Alisertib,0.6300663564190949
Fludarabine,0.6092146668964387
Mitoxantrone,0.6021289685617015
Niraparib,0.6392420677883319
JAK1_8709,0.550699396979743
Leflunomide,0.5744205939372641
IRAK4_4710,0.381855211063983
Entospletinib,0.4174563523188662
BMS-345541,0.6365437859645546
Podophyllotoxin bromide,0.6156462324718661
Gallibiscoquinazole,0.5075070619255003
Sinularin,0.5030730975501183
PCI-34051,0.5868902667389022
Carmustine,0.5441673098096511
Topotecan,0.5657485943702087
AGI-6780,0.5417688656101147
VSP34_8731,0.46758497810326216
MN-64,0.4980050683480338
ML323,0.5577122449902532
XAV939,0.35701594600681796
PFI3,0.5487557047116955
Zoledronate,0.6376101564937164
CZC24832,0.5760041783876007
KRAS (G12C) Inhibitor-12,0.6336475967417861
ERK_2440,0.5255592670453159
Acetalax,0.6037731098881782
LY2109761,0.5375223161882543
AZD1332,0.32772550468071726
Mirin,0.5341683558840525
OTX015,0.5055576945591014
Wnt-C59,0.5467395945834139
PRIMA-1MET,0.5422999611394778
PRT062607,0.47726368921661466
AZD5438,0.5782573589123159
Obatoclax Mesylate,0.4001848281457867
AZD2014,0.2505264398526313
OF-1,0.45739359992087547
Selumetinib,0.6840224653208076
WZ4003,0.3746346211257825
Teniposide,0.6949443953663128
Picolinici-acid,0.5588114379614593
JAK_8517,0.46788678843973364
Elephantin,0.6152295026833838
Ruxolitinib,0.5659359196223551
VE-822,0.5720280526874083
ERK_6604,0.5685423558831055
IWP-2,0.6032136952628859
PAK_5339,0.5492768970893112
RVX-208,0.5161600291543111
TAF1_5496,0.5073037525269397
Dinaciclib,0.4758158672564201
Nelarabine,0.6563404627025673
IGF1R_3801,0.48288372192593404
GSK343,0.5519194565709571
CDK9_5576,0.5203137224718029
LCL161,0.44928776015195404
I-BET-762,0.549299192652625
AZD5153,0.5598927437753083
CDK9_5038,0.5413569836617305
AZD1208,0.6097292351927137
Dihydrorotenone,0.37260074251182185
ULK1_4989,0.5613324475516659
Sabutoclax,0.6265850736759375
AZ960,0.6015302758170251
IAP_5620,0.49704320977692334
Ibrutinib,0.552081395575249
AZD5991,0.7363415940765144
Eg5_9814,0.600048324046371
Vincristine,0.6582748856339535
GSK2606414,0.5606607864565916
AZD5582,0.430629786192437
Daporinad,0.5909024797862827
OSI-027,0.7039705502730614
AZD8055,0.4204701995615334
SB216763,0.2618581041300374
Axitinib,0.3644095933536453
RO-3306,0.3168966793547735
Tozasertib,0.7665819591978763
GSK269962A,0.45001903610452676
KU-55933,0.3726987965688172
PF-4708671,0.3409184529805853
AZD6482,0.09905128726775675
ZM447439,0.44601138359566384
JQ1,0.008410013112263338
NU7441,0.2819044430860626
SB505124,0.0933745890182622
Ribociclib,0.285913912194712
Doramapimod,0.23944354153139202
BMS-754807,0.19385498936904072
BI-2536,0.7225560031408883
Cetuximab,0.25554889099700573
Doxorubicin,0.4557341254184475
Etoposide,0.43395133170920425
Bleomycin,0.3542687102709422
Bicalutamide,0.21964000896521357
Bleomycin (50 uM),0.6108561384557502
Pemetrexed,0.5852953485769075
AICA Ribonucleotide,0.49885491832054374
