Drug,corr_gene
Oxaliplatin,0.633681427992542
Ulixertinib,0.5244116532290979
Fulvestrant,0.540457426930312
Uprosertib,0.5299402446712856
Dactinomycin,0.5558464831970609
Docetaxel,0.5425265023225356
Camptothecin,0.603014751270217
5-Fluorouracil,0.5866294931507139
Afatinib,0.48304086034428784
Taselisib,0.49041784919415576
PD0325901,0.6409916701823917
Sapitinib,0.549077884387544
Alpelisib,0.4298813484622075
SCH772984,0.6232059352002304
LGK974,0.5204513149824574
Luminespib,0.5056070754213527
Linsitinib,0.5395181837447296
GSK1904529A,0.42605409910329933
EPZ5676,0.5592521863386464
EPZ004777,0.5165950016924127
Irinotecan,0.6324288034352459
PLX-4720,0.3599224724862796
Nutlin-3a (-),0.6840317337065899
MG-132,0.47013552098808176
Staurosporine,0.4268343930569833
MK-2206,0.5195477990002555
Trametinib,0.681442909498265
Palbociclib,0.6026876768514197
MK-1775,0.6723256940127184
Cisplatin,0.6709853331242424
Pictilisib,0.3835898895836301
AZD7762,0.6027572342495581
Olaparib,0.5413523317136125
Dasatinib,0.6081835007899352
AZD3759,0.4518349290737554
PD173074,0.46137675782591736
Vorinostat,0.6612204883781964
Dabrafenib,0.6108337439054888
Paclitaxel,0.6154169864495107
AZD4547,0.41503215011948424
Lapatinib,0.46005945472651233
Sorafenib,0.6079327890154584
Nilotinib,0.6583882718026607
Tamoxifen,0.4825248957238998
Gemcitabine,0.6000946403950322
Venetoclax,0.6466826687860779
Bortezomib,0.38978911446674025
Wee1 Inhibitor,0.6306941133965881
Osimertinib,0.5084555569575524
AGI-5198,0.4510571174685811
Ipatasertib,0.4970266626802573
Erlotinib,0.494254477199406
Sepantronium bromide,0.46663166140116535
Cediranib,0.34776957775588063
Buparlisib,0.5026120398619058
YK-4-279,0.6505251997275603
AZD8186,0.2825684813502265
UMI-77,0.3771117483782489
Cytarabine,0.6898204528982254
BPD-00008900,0.46737074388308775
MIM1,0.5094942262577327
Dactolisib,0.41363752281022614
NVP-ADW742,0.5137257599884482
Gefitinib,0.43877563790543905
Telomerase Inhibitor IX,0.5720962943534446
GDC0810,0.4685384536966396
WEHI-539,0.532654732087417
BDP-00009066,0.4808263478434517
Epirubicin,0.6298697904356139
GSK2578215A,0.4924686957134253
I-BRD9,0.5820991664841115
P22077,0.5380743596317015
AZD6738,0.5687824924977215
AZD5363,0.5077743232219865
BMS-536924,0.4091019590845073
ABT737,0.662798878944397
WIKI4,0.22260724710427968
Afuresertib,0.5211101382660914
Savolitinib,0.37511107309888136
Navitoclax,0.5991917398399377
Cyclophosphamide,0.5235673045847093
MIRA-1,0.6270193108310578
Pyridostatin,0.48684832204142753
Temozolomide,0.6522267372127478
Vinorelbine,0.6508607252427259
Vinblastine,0.6295005495012003
Pevonedistat,0.593173974216877
Foretinib,0.53816093471836
BIBR-1532,0.4565204638554039
MK-8776,0.6534664121408004
Talazoparib,0.5625050831545193
AMG-319,0.6336616344010688
AZ6102,0.43566826696868044
VX-11e,0.5719566856302709
LJI308,0.6151542955912825
AT13148,0.5244796366892431
Rapamycin,0.5288080572087961
GSK591,0.4199280270470216
VE821,0.6402502060997664
GNE-317,0.2798917363589192
Crizotinib,0.5613560332036138
Entinostat,0.5327096341794177
Alisertib,0.6195239582862619
Fludarabine,0.6003544671458253
