Drug,MSE_gene
Oxaliplatin,1.8289535
Ulixertinib,1.3062606
Fulvestrant,0.7407846
Uprosertib,2.177946
Dactinomycin,1.441451
Docetaxel,3.8469028
Camptothecin,2.761732
5-Fluorouracil,2.4427912
Afatinib,1.7277683
Taselisib,2.5701828
PD0325901,1.7938052
Sapitinib,2.0321283
Alpelisib,1.8001096
SCH772984,1.8245118
LGK974,0.82765067
Luminespib,2.5738943
Linsitinib,1.2524601
GSK1904529A,1.0033653
EPZ5676,0.5868158
EPZ004777,0.63996553
Irinotecan,2.4707255
PLX-4720,1.8105437
Nutlin-3a (-),1.7203273
MG-132,0.5849406
Staurosporine,1.4092464
MK-2206,1.8947259
Trametinib,2.547576
Palbociclib,1.5989574
MK-1775,1.0847346
Cisplatin,2.1699946
Pictilisib,1.5168254
AZD7762,1.5024291
Olaparib,1.2512335
Dasatinib,3.2790534
AZD3759,0.75541407
PD173074,1.7898779
Vorinostat,0.731952
Dabrafenib,2.078057
Paclitaxel,3.0360837
AZD4547,2.1966174
Lapatinib,2.130042
Sorafenib,1.1204009
Nilotinib,1.9217091
Tamoxifen,0.916698
Gemcitabine,6.8815312
Venetoclax,2.0684686
Bortezomib,0.88647854
Wee1 Inhibitor,1.684251
Osimertinib,1.0923225
AGI-5198,0.596106
Ipatasertib,1.6223428
Erlotinib,1.0052869
Sepantronium bromide,1.7639169
Cediranib,1.5056756
Buparlisib,0.5698163
YK-4-279,1.710368
AZD8186,1.5339161
UMI-77,1.4532672
Cytarabine,2.8480031
BPD-00008900,1.0669996
MIM1,0.88870263
Dactolisib,1.9534595
NVP-ADW742,1.7183106
Gefitinib,1.2393525
Telomerase Inhibitor IX,1.090324
GDC0810,0.77675027
WEHI-539,2.437182
BDP-00009066,1.068152
Epirubicin,1.6403323
GSK2578215A,0.7484057
I-BRD9,1.1597431
P22077,1.407838
AZD6738,1.5006573
AZD5363,1.4821101
BMS-536924,1.4180623
ABT737,2.5019035
WIKI4,0.8124717
Afuresertib,1.5909438
Savolitinib,1.2959586
Navitoclax,2.70938
Cyclophosphamide,0.6060304
MIRA-1,0.84309834
Pyridostatin,1.1841159
Temozolomide,0.92023414
Vinorelbine,2.7736447
Vinblastine,3.1845205
Pevonedistat,2.957095
Foretinib,1.3092133
BIBR-1532,0.9353312
MK-8776,1.6431116
Talazoparib,3.0847673
AMG-319,0.83078545
AZ6102,0.9426852
VX-11e,1.4831005
LJI308,0.5880662
AT13148,1.8610171
Rapamycin,1.7257189
GSK591,0.9221477
VE821,1.520923
GNE-317,1.793843
Crizotinib,1.8320022
Entinostat,1.8832326
Alisertib,3.4568446
Fludarabine,2.3942719
Mitoxantrone,3.5898392
Niraparib,1.3739226
JAK1_8709,1.0922915
Leflunomide,0.5272109
IRAK4_4710,0.9067563
Entospletinib,1.2778937
BMS-345541,1.0344099
Podophyllotoxin bromide,1.7560213
Gallibiscoquinazole,0.634714
Sinularin,0.8274458
PCI-34051,1.1670026
Carmustine,0.7710434
Topotecan,2.7743819
AGI-6780,0.9140051
VSP34_8731,1.1317182
MN-64,0.976808
ML323,0.8004861
XAV939,0.85363346
PFI3,0.6022485
Zoledronate,0.5706836
CZC24832,0.7251564
KRAS (G12C) Inhibitor-12,1.5925398
ERK_2440,1.8746316
Acetalax,2.8887572
LY2109761,0.7617843
AZD1332,2.001757
Mirin,0.9743593
OTX015,2.5914533
Wnt-C59,0.91117483
PRIMA-1MET,2.5240977
PRT062607,1.6921264
AZD5438,1.7639062
Obatoclax Mesylate,1.114084
AZD2014,2.1046407
OF-1,1.3283168
Selumetinib,2.1571453
WZ4003,1.6801546
Teniposide,2.2935004
Picolinici-acid,0.5106311
JAK_8517,2.165301
Elephantin,1.4508071
Ruxolitinib,0.8499378
VE-822,2.1258407
ERK_6604,1.4858124
IWP-2,0.6367836
PAK_5339,0.7615325
RVX-208,0.87605023
TAF1_5496,2.075551
Dinaciclib,1.8041472
Nelarabine,0.62183344
IGF1R_3801,2.627788
GSK343,0.63266915
CDK9_5576,1.7450341
LCL161,0.93834597
I-BET-762,1.5783889
AZD5153,2.6946788
CDK9_5038,2.7542713
AZD1208,0.68515474
Dihydrorotenone,2.3824935
ULK1_4989,1.8388491
Sabutoclax,1.0376155
AZ960,2.1655617
IAP_5620,1.7084267
Ibrutinib,2.0695536
AZD5991,3.761336
Eg5_9814,2.228008
Vincristine,4.4362774
GSK2606414,1.0700395
AZD5582,4.1122155
Daporinad,2.4336581
OSI-027,1.6679544
AZD8055,2.3187885
SB216763,1.5866718
Axitinib,2.0129607
RO-3306,0.8679519
Tozasertib,2.1839366
GSK269962A,1.3230525
KU-55933,1.0248433
PF-4708671,0.9402201
AZD6482,1.658152
ZM447439,0.99697936
JQ1,4.0191007
NU7441,1.0211226
SB505124,3.0158296
Ribociclib,1.5396885
Doramapimod,0.91705596
BMS-754807,3.6703532
BI-2536,3.1735692
Cetuximab,0.73882306
Doxorubicin,1.4136229
Etoposide,3.0845444
Bleomycin,4.7158265
Bicalutamide,0.37579572
Bleomycin (50 uM),2.5473888
Pemetrexed,2.6278338
AICA Ribonucleotide,1.1165853
