Drug,corr_gene
Oxaliplatin,0.6511473891738049
Ulixertinib,0.5162530248676033
Fulvestrant,0.5708672102736045
Uprosertib,0.5430336868675953
Dactinomycin,0.5708592146725198
Docetaxel,0.5394728274755816
Camptothecin,0.5987886868231919
5-Fluorouracil,0.6010832339512443
Afatinib,0.477400086662511
Taselisib,0.5108061737957807
PD0325901,0.6538994115177159
Sapitinib,0.5618475339982731
Alpelisib,0.45196776342341916
SCH772984,0.6473168107686125
LGK974,0.5588809206604494
Luminespib,0.504209093931373
Linsitinib,0.5477984936776722
GSK1904529A,0.47595056024966836
EPZ5676,0.6133897888396556
EPZ004777,0.5780188186397064
Irinotecan,0.6379482035791297
PLX-4720,0.3837323095094709
Nutlin-3a (-),0.7064981040021976
MG-132,0.4668200161375766
Staurosporine,0.46781671641834716
MK-2206,0.5347187803287903
Trametinib,0.6962640967164782
Palbociclib,0.6053151706598182
MK-1775,0.6698731772097439
Cisplatin,0.6663887166527223
Pictilisib,0.3907661045447151
AZD7762,0.5894077384876792
Olaparib,0.5687391416752043
Dasatinib,0.5820926330152723
AZD3759,0.5031987399442487
PD173074,0.45731312950638225
Vorinostat,0.6503514126262364
Dabrafenib,0.5928601519279826
Paclitaxel,0.6192718947895061
AZD4547,0.4205661215455189
Lapatinib,0.4605093657768431
Sorafenib,0.60702734736652
Nilotinib,0.6733782404266881
Tamoxifen,0.5142618677466922
Gemcitabine,0.6039637170201178
Venetoclax,0.6588515299289588
Bortezomib,0.4651707734857411
Wee1 Inhibitor,0.6442615258484493
Osimertinib,0.5313560572669989
AGI-5198,0.5057596857873192
Ipatasertib,0.5210527751842482
Erlotinib,0.5453864767270875
Sepantronium bromide,0.4974802887313323
Cediranib,0.3524281575896705
Buparlisib,0.5199845040223592
YK-4-279,0.6513934263374408
AZD8186,0.3683415469391782
UMI-77,0.4010344206610317
Cytarabine,0.6887470025477589
BPD-00008900,0.4746591541629147
MIM1,0.5241359689788789
Dactolisib,0.3870534454130916
NVP-ADW742,0.5030037946162769
Gefitinib,0.4345930788001506
Telomerase Inhibitor IX,0.5846883133805445
GDC0810,0.5003524890528561
WEHI-539,0.5331385338927368
BDP-00009066,0.5002116893412416
Epirubicin,0.6316663867181102
GSK2578215A,0.5179445906584355
I-BRD9,0.6037113331816872
P22077,0.5617891449910696
AZD6738,0.5766892485138517
AZD5363,0.5284719230384087
BMS-536924,0.4168359318083984
ABT737,0.6624348597907175
WIKI4,0.2686642273668378
Afuresertib,0.5032196738615183
Savolitinib,0.4081299666858139
Navitoclax,0.6021859019255329
Cyclophosphamide,0.5663691766868464
MIRA-1,0.6627026617034263
Pyridostatin,0.4989197205885465
Temozolomide,0.6883928784225284
Vinorelbine,0.6574574101418473
Vinblastine,0.6352415477051557
Pevonedistat,0.5991418082263177
Foretinib,0.549323767625704
BIBR-1532,0.4860625986134548
MK-8776,0.6500038962612421
Talazoparib,0.5818801574422496
AMG-319,0.6547492179808574
AZ6102,0.4665986994530718
VX-11e,0.5778336538741957
LJI308,0.634532604393604
AT13148,0.531870705598124
Rapamycin,0.5357468522280566
GSK591,0.47176629304059325
VE821,0.6486611970153988
GNE-317,0.24861096547385836
Crizotinib,0.5571618793289246
Entinostat,0.5563327366778692
Alisertib,0.6165782405764064
Fludarabine,0.6002548291700595
Mitoxantrone,0.5932403381887953
Niraparib,0.641804911441974
JAK1_8709,0.5508692867289956
Leflunomide,0.5457840255719006
IRAK4_4710,0.3884734440120705
Entospletinib,0.4106159693302226
BMS-345541,0.6401746521659788
Podophyllotoxin bromide,0.6161228324674243
Gallibiscoquinazole,0.520789872885061
Sinularin,0.48979803469116306
PCI-34051,0.5780188949444967
Carmustine,0.5444287017915148
Topotecan,0.5909488454869436
AGI-6780,0.5569050465233304
VSP34_8731,0.45778738032325916
MN-64,0.48399959651802055
ML323,0.5556988231292954
XAV939,0.37023022390624205
PFI3,0.5435159754806109
Zoledronate,0.625574678794194
CZC24832,0.5779948261602004
