Drug,corr_gene
Oxaliplatin,0.6517661943218036
Ulixertinib,0.5033375052738813
Fulvestrant,0.5825920784268661
Uprosertib,0.5263034548164067
Dactinomycin,0.5816486667431431
Docetaxel,0.5267290831328553
Camptothecin,0.5832465014349553
5-Fluorouracil,0.6009913285514898
Afatinib,0.48812660558746673
Taselisib,0.48283563143017616
PD0325901,0.6569460384666055
Sapitinib,0.5583023520172696
Alpelisib,0.4297973770464607
SCH772984,0.6488424020381223
LGK974,0.5719565985019432
Luminespib,0.4908295964205618
Linsitinib,0.5525945950661431
GSK1904529A,0.5115303393628982
EPZ5676,0.6514833517165275
EPZ004777,0.5995061806590736
Irinotecan,0.630315677772622
PLX-4720,0.4013723903337348
Nutlin-3a (-),0.7032114509045908
MG-132,0.43840365965605227
Staurosporine,0.4717059246519564
MK-2206,0.5130199752702037
Trametinib,0.6905007716150504
Palbociclib,0.5979144300075231
MK-1775,0.666570407507026
Cisplatin,0.6636826269974263
Pictilisib,0.35814005294424034
AZD7762,0.5841851572156371
Olaparib,0.5595324251535884
Dasatinib,0.5745646365560724
AZD3759,0.5255264249846433
PD173074,0.4337937157585664
Vorinostat,0.6581941431867273
Dabrafenib,0.5816790541372827
Paclitaxel,0.6026721962317376
AZD4547,0.41540766900694637
Lapatinib,0.4560593800461353
Sorafenib,0.6189940802579474
Nilotinib,0.6781633828072129
Tamoxifen,0.5128048036724366
Gemcitabine,0.5987002223582207
Venetoclax,0.6625278557419614
Bortezomib,0.45475721813993325
Wee1 Inhibitor,0.6379755744282796
Osimertinib,0.5210489886710922
AGI-5198,0.538323645991712
Ipatasertib,0.474268037097469
Erlotinib,0.5718740003630635
Sepantronium bromide,0.5032728915867152
Cediranib,0.2876094846334041
Buparlisib,0.5044016358509191
YK-4-279,0.6521626849274292
AZD8186,0.3323950251285525
UMI-77,0.39908794170388234
Cytarabine,0.6833647841126429
BPD-00008900,0.4929265265728663
MIM1,0.5478370758734898
Dactolisib,0.34160733557768885
NVP-ADW742,0.5043881157692268
Gefitinib,0.4552750526010824
Telomerase Inhibitor IX,0.5742125936922737
